story_id,condition,source,ev_norm
YS2008-YS2008_10-accidental,accidental,YS2008,0.6431
YS2008-YS2008_10-attempted,attempted,YS2008,0.4318
YS2008-YS2008_10-intentional,intentional,YS2008,0.4532
YS2008-YS2008_11-neutral,neutral,YS2008,0.131
YS2008-YS2008_11-accidental,accidental,YS2008,0.3737
YS2008-YS2008_11-attempted,attempted,YS2008,0.0766
YS2008-YS2008_11-intentional,intentional,YS2008,0.5376
YS2008-YS2008_12-neutral,neutral,YS2008,0.4611
YS2008-YS2008_12-accidental,accidental,YS2008,0.1787
YS2008-YS2008_12-attempted,attempted,YS2008,0.4529
YS2008-YS2008_12-intentional,intentional,YS2008,0.2367
YS2008-YS2008_13-neutral,neutral,YS2008,0.2707
YS2008-YS2008_13-accidental,accidental,YS2008,0.3165
YS2008-YS2008_13-attempted,attempted,YS2008,0.1395
YS2008-YS2008_13-intentional,intentional,YS2008,0.3444
YS2008-YS2008_14-neutral,neutral,YS2008,0.4458
YS2008-YS2008_14-accidental,accidental,YS2008,0.4015
YS2008-YS2008_14-attempted,attempted,YS2008,0.4684
YS2008-YS2008_14-intentional,intentional,YS2008,0.5547
YS2008-YS2008_15-neutral,neutral,YS2008,0.2633
YS2008-YS2008_15-accidental,accidental,YS2008,0.277
YS2008-YS2008_15-attempted,attempted,YS2008,0.2624
YS2008-YS2008_15-intentional,intentional,YS2008,0.4648
YS2008-YS2008_16-neutral,neutral,YS2008,0.0568
YS2008-YS2008_16-accidental,accidental,YS2008,0.4004
YS2008-YS2008_16-attempted,attempted,YS2008,0.3642
YS2008-YS2008_16-intentional,intentional,YS2008,0.2304
YS2008-YS2008_17-neutral,neutral,YS2008,0.0202
YS2008-YS2008_17-accidental,accidental,YS2008,0.3451
YS2008-YS2008_17-attempted,attempted,YS2008,0.4779
YS2008-YS2008_17-intentional,intentional,YS2008,0.5313
YS2008-YS2008_18-neutral,neutral,YS2008,0.298
YS2008-YS2008_18-accidental,accidental,YS2008,0.6589
YS2008-YS2008_18-attempted,attempted,YS2008,0.3182
YS2008-YS2008_18-intentional,intentional,YS2008,0.5169
YS2008-YS2008_19-neutral,neutral,YS2008,0.0615
YS2008-YS2008_19-accidental,accidental,YS2008,0.5265
YS2008-YS2008_19-attempted,attempted,YS2008,0.4617
YS2008-YS2008_19-intentional,intentional,YS2008,0.6467
YS2008-YS2008_20-neutral,neutral,YS2008,0.036
YS2008-YS2008_20-accidental,accidental,YS2008,0.224
YS2008-YS2008_20-attempted,attempted,YS2008,0.3318
YS2008-YS2008_20-intentional,intentional,YS2008,0.2804
YS2008-YS2008_21-neutral,neutral,YS2008,0.2867
YS2008-YS2008_21-accidental,accidental,YS2008,0.3193
YS2008-YS2008_21-attempted,attempted,YS2008,0.1489
YS2008-YS2008_21-intentional,intentional,YS2008,0.2631
YS2008-YS2008_22-neutral,neutral,YS2008,0.0104
YS2008-YS2008_22-accidental,accidental,YS2008,0.9985
YS2008-YS2008_22-attempted,attempted,YS2008,0.257
YS2008-YS2008_22-intentional,intentional,YS2008,0.9975
YS2008-CHAIRLIFT-neutral,neutral,YS2008,0.002
YS2008-CHAIRLIFT-accidental,accidental,YS2008,0.798
YS2008-CHAIRLIFT-attempted,attempted,YS2008,0.0597
YS2008-CHAIRLIFT-intentional,intentional,YS2008,0.6284
YS2008-YS2008_24-neutral,neutral,YS2008,0.4039
YS2008-YS2008_24-accidental,accidental,YS2008,0.8383
YS2008-YS2008_24-attempted,attempted,YS2008,0.3452
YS2008-YS2008_24-intentional,intentional,YS2008,0.9254
YS2008-MALARIA POND-neutral,neutral,YS2008,0.0814
YS2008-MALARIA POND-accidental,accidental,YS2008,0.4412
YS2008-MALARIA POND-attempted,attempted,YS2008,0.4518
YS2008-MALARIA POND-intentional,intentional,YS2008,0.3958
YS2008-YS2008_26-neutral,neutral,YS2008,0.5325
YS2008-YS2008_26-accidental,accidental,YS2008,0.1737
YS2008-YS2008_26-attempted,attempted,YS2008,0.4747
YS2008-YS2008_26-intentional,intentional,YS2008,0.4131
YS2008-SPINACH-neutral,neutral,YS2008,0.0195
YS2008-SPINACH-accidental,accidental,YS2008,0.4595
YS2008-SPINACH-attempted,attempted,YS2008,0.1966
YS2008-SPINACH-intentional,intentional,YS2008,0.4704
YS2008-YS2008_28-neutral,neutral,YS2008,0.0233
YS2008-YS2008_28-accidental,accidental,YS2008,0.8999
YS2008-YS2008_28-attempted,attempted,YS2008,0.0022
YS2008-YS2008_28-intentional,intentional,YS2008,0.3935
YS2008-ALARM-neutral,neutral,YS2008,0.1533
YS2008-ALARM-accidental,accidental,YS2008,0.3844
YS2008-ALARM-attempted,attempted,YS2008,0.2057
YS2008-ALARM-intentional,intentional,YS2008,0.4686
YS2008-YS2008_30-neutral,neutral,YS2008,0.0418
YS2008-YS2008_30-accidental,accidental,YS2008,0.977
YS2008-YS2008_30-attempted,attempted,YS2008,0.3132
YS2008-YS2008_30-intentional,intentional,YS2008,0.9791
YS2008-ZOO-neutral,neutral,YS2008,0.1809
YS2008-ZOO-accidental,accidental,YS2008,0.4574
YS2008-ZOO-attempted,attempted,YS2008,0.3488
YS2008-ZOO-intentional,intentional,YS2008,0.4403
YS2008-YS2008_32-neutral,neutral,YS2008,0.0806
YS2008-YS2008_32-accidental,accidental,YS2008,0.3434
YS2008-YS2008_32-attempted,attempted,YS2008,0.1094
YS2008-YS2008_32-intentional,intentional,YS2008,0.3314
YS2008-SUSHI-neutral,neutral,YS2008,0.0405
YS2008-SUSHI-accidental,accidental,YS2008,0.4949
YS2008-SUSHI-attempted,attempted,YS2008,0.4879
YS2008-SUSHI-intentional,intentional,YS2008,0.5041
YS2008-YS2008_34-neutral,neutral,YS2008,0.5105
YS2008-YS2008_34-accidental,accidental,YS2008,0.7158
YS2008-YS2008_34-attempted,attempted,YS2008,0.4111
YS2008-YS2008_34-intentional,intentional,YS2008,0.6522
YS2008-FUMIGATION-neutral,neutral,YS2008,0.5
YS2008-FUMIGATION-accidental,accidental,YS2008,0.3561
YS2008-FUMIGATION-attempted,attempted,YS2008,0.5
YS2008-FUMIGATION-intentional,intentional,YS2008,0.4019
YS2008-YS2008_36-neutral,neutral,YS2008,0.3695
YS2008-YS2008_36-accidental,accidental,YS2008,0.834
YS2008-YS2008_36-attempted,attempted,YS2008,0.4083
YS2008-YS2008_36-intentional,intentional,YS2008,0.8815
YS2008-BOUNCY BALL-neutral,neutral,YS2008,0.0055
YS2008-BOUNCY BALL-accidental,accidental,YS2008,0.4697
YS2008-BOUNCY BALL-attempted,attempted,YS2008,0.1668
YS2008-BOUNCY BALL-intentional,intentional,YS2008,0.4438
YS2008-YS2008_38-neutral,neutral,YS2008,0.0756
YS2008-YS2008_38-accidental,accidental,YS2008,0.9913
YS2008-YS2008_38-attempted,attempted,YS2008,0.109
YS2008-YS2008_38-intentional,intentional,YS2008,0.9745
YS2008-RABIES-neutral,neutral,YS2008,0.0071
YS2008-RABIES-accidental,accidental,YS2008,0.7375
YS2008-RABIES-attempted,attempted,YS2008,0.4867
YS2008-RABIES-intentional,intentional,YS2008,0.6543
YS2008-YS2008_40-neutral,neutral,YS2008,0.1012
YS2008-YS2008_40-accidental,accidental,YS2008,0.8554
YS2008-YS2008_40-attempted,attempted,YS2008,0.2796
YS2008-YS2008_40-intentional,intentional,YS2008,0.6791
YS2008-TREE HOUSE-neutral,neutral,YS2008,0.1525
YS2008-TREE HOUSE-accidental,accidental,YS2008,0.3449
YS2008-TREE HOUSE-attempted,attempted,YS2008,0.4346
YS2008-TREE HOUSE-intentional,intentional,YS2008,0.4015
YS2008-YS2008_42-neutral,neutral,YS2008,0.2143
YS2008-YS2008_42-accidental,accidental,YS2008,0.5565
YS2008-YS2008_42-attempted,attempted,YS2008,0.3754
YS2008-YS2008_42-intentional,intentional,YS2008,0.5933
YS2008-CPR-neutral,neutral,YS2008,0.2875
YS2008-CPR-accidental,accidental,YS2008,0.2702
YS2008-CPR-attempted,attempted,YS2008,0.1439
YS2008-CPR-intentional,intentional,YS2008,0.1904
YS2008-YS2008_44-neutral,neutral,YS2008,0.0056
YS2008-YS2008_44-accidental,accidental,YS2008,0.4899
YS2008-YS2008_44-attempted,attempted,YS2008,0.3756
YS2008-YS2008_44-intentional,intentional,YS2008,0.5386
YS2008-SEATBELT-neutral,neutral,YS2008,0.4276
YS2008-SEATBELT-accidental,accidental,YS2008,0.4736
YS2008-SEATBELT-attempted,attempted,YS2008,0.5386
YS2008-SEATBELT-intentional,intentional,YS2008,0.472
YS2008-YS2008_46-neutral,neutral,YS2008,0.0444
YS2008-YS2008_46-accidental,accidental,YS2008,0.5539
YS2008-YS2008_46-attempted,attempted,YS2008,0.1629
YS2008-YS2008_46-intentional,intentional,YS2008,0.5407
YS2008-TEENAGERS-neutral,neutral,YS2008,0.0493
YS2008-TEENAGERS-accidental,accidental,YS2008,0.3579
YS2008-TEENAGERS-attempted,attempted,YS2008,0.5195
YS2008-TEENAGERS-intentional,intentional,YS2008,0.4424
YS2008-YS2008_48-neutral,neutral,YS2008,0.1592
YS2008-YS2008_48-accidental,accidental,YS2008,0.723
YS2008-YS2008_48-attempted,attempted,YS2008,0.4175
YS2008-YS2008_48-intentional,intentional,YS2008,0.5752
YS2009-YS2009_01-neutral,neutral,YS2009,0.1418
YS2009-YS2009_01-accidental,accidental,YS2009,0.8723
YS2009-YS2009_01-attempted,attempted,YS2009,0.057
YS2009-YS2009_01-intentional,intentional,YS2009,0.7637
YS2009-YS2009_02-neutral,neutral,YS2009,0.0068
YS2009-YS2009_02-accidental,accidental,YS2009,0.4845
YS2009-YS2009_02-attempted,attempted,YS2009,0.0753
YS2009-YS2009_02-intentional,intentional,YS2009,0.492
YS2009-YS2009_03-neutral,neutral,YS2009,0.2177
YS2009-YS2009_03-accidental,accidental,YS2009,0.7249
YS2009-YS2009_03-attempted,attempted,YS2009,0.1945
YS2009-YS2009_03-intentional,intentional,YS2009,0.6252
YS2009-YS2009_04-neutral,neutral,YS2009,0.1386
YS2009-YS2009_04-accidental,accidental,YS2009,0.9348
YS2009-YS2009_04-attempted,attempted,YS2009,0.3094
YS2009-YS2009_04-intentional,intentional,YS2009,0.9046
YS2009-YS2009_05-neutral,neutral,YS2009,0.3089
YS2009-YS2009_05-accidental,accidental,YS2009,0.6415
YS2009-YS2009_05-attempted,attempted,YS2009,0.2477
YS2009-YS2009_05-intentional,intentional,YS2009,0.6351
YS2009-YS2009_06-neutral,neutral,YS2009,0.032
YS2009-YS2009_06-accidental,accidental,YS2009,0.2971
YS2009-YS2009_06-attempted,attempted,YS2009,0.0355
YS2009-YS2009_06-intentional,intentional,YS2009,0.2036
YS2009-YS2009_07-neutral,neutral,YS2009,0.0021
YS2009-YS2009_07-accidental,accidental,YS2009,0.7041
YS2009-YS2009_07-attempted,attempted,YS2009,0.0002
YS2009-YS2009_07-intentional,intentional,YS2009,0.5355
YS2009-YS2009_08-neutral,neutral,YS2009,0.004
YS2009-YS2009_08-accidental,accidental,YS2009,0.6577
YS2009-YS2009_08-attempted,attempted,YS2009,0.1062
YS2009-YS2009_08-intentional,intentional,YS2009,0.5555
YS2009-YS2009_09-neutral,neutral,YS2009,0.0169
YS2009-YS2009_09-accidental,accidental,YS2009,0.5153
YS2009-YS2009_09-attempted,attempted,YS2009,0.0607
YS2009-YS2009_09-intentional,intentional,YS2009,0.4723
YS2009-YS2009_10-neutral,neutral,YS2009,0.5257
YS2009-YS2009_10-accidental,accidental,YS2009,0.8789
YS2009-YS2009_10-attempted,attempted,YS2009,0.5313
YS2009-YS2009_10-intentional,intentional,YS2009,0.8036
YS2009-YS2009_11-neutral,neutral,YS2009,0.3324
YS2009-YS2009_11-accidental,accidental,YS2009,0.6873
YS2009-YS2009_11-attempted,attempted,YS2009,0.2417
YS2009-YS2009_11-intentional,intentional,YS2009,0.7408
YS2009-YS2009_12-neutral,neutral,YS2009,0.1982
YS2009-YS2009_12-accidental,accidental,YS2009,0.7864
YS2009-YS2009_12-attempted,attempted,YS2009,0.0948
YS2009-YS2009_12-intentional,intentional,YS2009,0.7512
YS2009-YS2009_13-neutral,neutral,YS2009,0.3552
YS2009-YS2009_13-accidental,accidental,YS2009,0.751
YS2009-YS2009_13-attempted,attempted,YS2009,0.3944
YS2009-YS2009_13-intentional,intentional,YS2009,0.7507
YS2009-YS2009_14-neutral,neutral,YS2009,0.038
YS2009-YS2009_14-accidental,accidental,YS2009,0.5731
YS2009-YS2009_14-attempted,attempted,YS2009,0.2816
YS2009-YS2009_14-intentional,intentional,YS2009,0.3484
YS2009-YS2009_15-neutral,neutral,YS2009,0.0029
YS2009-YS2009_15-accidental,accidental,YS2009,0.4128
YS2009-YS2009_15-attempted,attempted,YS2009,0.0135
YS2009-YS2009_15-intentional,intentional,YS2009,0.2821
YS2009-YS2009_16-neutral,neutral,YS2009,0.0454
YS2009-YS2009_16-accidental,accidental,YS2009,0.3772
YS2009-YS2009_16-attempted,attempted,YS2009,0.2928
YS2009-YS2009_16-intentional,intentional,YS2009,0.4345
YS2009-YS2009_17-neutral,neutral,YS2009,0.1422
YS2009-YS2009_17-accidental,accidental,YS2009,0.3066
YS2009-YS2009_17-attempted,attempted,YS2009,0.1137
YS2009-YS2009_17-intentional,intentional,YS2009,0.2744
YS2009-YS2009_18-neutral,neutral,YS2009,0.0071
YS2009-YS2009_18-accidental,accidental,YS2009,0.6341
YS2009-YS2009_18-attempted,attempted,YS2009,0.1899
YS2009-YS2009_18-intentional,intentional,YS2009,0.3632
YS2009-YS2009_19-neutral,neutral,YS2009,0.0566
YS2009-YS2009_19-accidental,accidental,YS2009,0.6743
YS2009-YS2009_19-attempted,attempted,YS2009,0.121
YS2009-YS2009_19-intentional,intentional,YS2009,0.2816
YS2009-YS2009_20-neutral,neutral,YS2009,0.0064
YS2009-YS2009_20-accidental,accidental,YS2009,0.8345
YS2009-YS2009_20-attempted,attempted,YS2009,0.035
YS2009-YS2009_20-intentional,intentional,YS2009,0.8407
YS2009-YS2009_21-neutral,neutral,YS2009,0.05
YS2009-YS2009_21-accidental,accidental,YS2009,0.8195
YS2009-YS2009_21-attempted,attempted,YS2009,0.0041
YS2009-YS2009_21-intentional,intentional,YS2009,0.8604
YS2009-YS2009_22-neutral,neutral,YS2009,0.9228
YS2009-YS2009_22-accidental,accidental,YS2009,0.174
YS2009-YS2009_22-attempted,attempted,YS2009,0.9773
YS2009-YS2009_22-intentional,intentional,YS2009,0.2973
YS2009-YS2009_23-neutral,neutral,YS2009,0.3514
YS2009-YS2009_23-accidental,accidental,YS2009,0.871
YS2009-YS2009_23-attempted,attempted,YS2009,0.3328
YS2009-YS2009_23-intentional,intentional,YS2009,0.8542
YS2009-YS2009_24-neutral,neutral,YS2009,0.2046
YS2009-YS2009_24-accidental,accidental,YS2009,0.8009
YS2009-YS2009_24-attempted,attempted,YS2009,0.2027
YS2009-YS2009_24-intentional,intentional,YS2009,0.6924
YS2011-Allergy-intentional,intentional,YS2011,0.9881
YS2011-Allergy-accidental,accidental,YS2011,0.962
YS2011-Poison-intentional,intentional,YS2011,0.9935
YS2011-Poison-accidental,accidental,YS2011,0.8645
YS2011-Sibling-intentional,intentional,YS2011,0.7259
YS2011-Sibling-accidental,accidental,YS2011,0.7488
YS2011-Parent-intentional,intentional,YS2011,0.4964
YS2011-Parent-accidental,accidental,YS2011,0.4289
YS2011-Dog-intentional,intentional,YS2011,0.9875
YS2011-Dog-accidental,accidental,YS2011,0.9767
