story_id,condition,domain,harm,pair,item_num,word_count,text
BRU-PP-11,PP,physical,1,physical-11,11,47,Julia was sitting on a folding chair in her new room working at her desk. Julia needed to shift closer to her desk so she reached down and pulled the chair forward. Just then the chair collapsed and Julia's finger was caught in the folding metal legs.
BRU-PP-12,PP,physical,1,physical-12,12,44,Lauren slept on a new pillow last night that was firmer than she was used to. Lauren has had back problems ever since she had a bicycle accident. Lauren woke up in the morning with a massive headache and she was out of Advil.
BRU-PP-13,PP,physical,1,physical-13,13,52,Jay has a pet rabbit that he keeps in a cage. One day he fed the rabbit some carrots and then put the rabbit away. As he was walking past the cage his bare leg caught on a wire that was sticking out. It left a long deep scratch along his thigh.
BRU-PP-14,PP,physical,1,physical-14,14,47,Bill was walking along a picket fence with his friend. Bill is in kindergarten and was trying to show his friend how fast he could walk. Bill stumbled and fell onto a sharp picket. The picket pierces his leg and Bill was left hanging on the fence.
BRU-PP-15,PP,physical,1,physical-15,15,47,Cathy was on an Island in the South Pacific for her honeymoon. She walked down the beach and into the warm water. As Cathy waded out she stepped on a stone fish which stuck its poisonous stinger into her foot. Cathy yelled and pulled her foot up.
BRU-PP-16,PP,physical,1,physical-16,16,47,Steve and his friend were riding bicycles together. Half way down a hill Steve realized that his brakes were broken. At the bottom of the hill Steve went off the road and hit a tree with his shoulder. He sat on the ground cradling his broken arm.
BRU-PP-17,PP,physical,1,physical-17,17,45,"Suzie was riding in a cab to meet some friends for dinner. When she arrived at the restaurant Suzie opened the door and began to step out. Just then a child walking by accidentally bumped the door and it closed on Suzie, smashing her leg."
BRU-PP-18,PP,physical,1,physical-18,18,46,"Eric was hiking in the mountains with his girlfriend. At a stream crossing Eric watched his girlfriend hop across the rocks and then began to follow. He slipped on the first rock and his shin came down hard on it, ripping off a swath of skin."
BRU-PP-19,PP,physical,1,physical-19,19,47,"Angela was putting up posters in her new room. It is early Saturday morning and she was in her pajamas. As Angela stood back, she stepped on a thumb tack that had fallen on the ground. The thumb tack went into her heel and hit the bone."
BRU-PP-20,PP,physical,1,physical-20,20,42,"Sonya was playing tag at school with her friends. While running around a corner, Sonya slipped on some gravel and fell. Her knee was scraped and had gravel imbedded in it. Sonya grabbed her bloody knee with both hands and started crying."
BRU-PP-21,PP,physical,1,physical-21,21,47,Larry was going to his first day of a new job. The job starts very early so Larry was extremely tired. Larry made himself some coffee and took a big drink. The coffee was still boiling hot and Larry felt the soft tissue inside his mouth burn.
BRU-PP-22,PP,physical,1,physical-22,22,43,Brian was at home when a friend called to him from outside. Brian raised the window to talk to his friend. Suddenly the window came down and pinned Brian's fingers underneath the frame. Brian had to free his fingers by pulling them out.
BRU-PP-23,PP,physical,1,physical-23,23,45,Lois was skiing for the first time. She was learning how to go down the easy slopes and was trying to keep her legs together. On her first run down a harder slope her legs came apart and one knee twisted around. Lois cried out.
BRU-PP-24,PP,physical,1,physical-24,24,46,Oscar was doing the dishes after dinner. He was talking with his friends while his hands were in the soapy water. Then Oscars hand hit a sharp knife. The knife cut deep into the skin between his fingers and the cut burned in the dirty water.
BRU-PPC-01,PPC,physical,0,physical-01,1,42,"Joe was playing soccer with his friends. He slid in to steal the ball away, and he kicked the ball away from the opposing player, got to his feat and began dribbling down the field. His face was flushed as he ran."
BRU-PPC-02,PPC,physical,0,physical-02,2,48,"Ethan was building a small shed. He picked up the hammer to drive a nail into a board, drove it all the way through in a few hits, making the head of the nail flush with the wall. Ethan held the next board and picked up another nail."
BRU-PPC-03,PPC,physical,0,physical-03,3,41,"Roger was walking to school when he heard a friend behind him call his name. Roger turned to respond, and then stepped over some wood in front of him. Roger stopped and picked up a long, rusty nail from the wood."
BRU-PPC-04,PPC,physical,0,physical-04,4,41,"Liane was changing a lightbulb in her living room. Her roommate held a stool while Liane reached up to unscrew the old bulb. The new bulb was already broken, so Liane picked up a third bulb and screwed it in instead."
BRU-PPC-05,PPC,physical,0,physical-05,5,38,"Chris was chopping vegetables for dinner. When is friend asked him a question, Chris turned to respond and put the knife in the sink. The knife clattered into the bowls and sank to the bottom of the water."
BRU-PPC-06,PPC,physical,0,physical-06,6,41,"Leslie was running through her house playing tag with her friend. After going through a doorway, Leslie slammed the door behind her, but her friend had gone the other way and tagged her. When they were done they drank some juice."
BRU-PPC-07,PPC,physical,0,physical-07,7,50,Annie was in a park with her mother when a cute little bee landed on her hand. Annie could feel the tickle of the bee legs walking on her. Then the bee crawled onto a flower that Annie was holding. Annie held the flower tight and ran to her mom.
BRU-PPC-08,PPC,physical,0,physical-08,8,48,"Roy was at the beach with his family. After a day of playing catch and running in the sand, Roy started walking back to the car. Buried in the sand was a piece of smoothed blue glass. Roy picked up the glass and put it in his pocket."
BRU-PPC-09,PPC,physical,0,physical-09,9,47,Cindy was making dinner for her family. She pulled the pot of spaghetti off the stove and walked over to the sink to drain it. The pot tilted and the spaghetti and water slid into the strainer. Cindy rushed over to the refrigerator to get the sauce.
BRU-PPC-10,PPC,physical,0,physical-10,10,46,Chad was collecting wood to build a tree house. Chad picked up a long plank of old wood that was perfect for the floor. The wood slid in his hand and a splinter came off. The splinter stuck into another piece of wood and broke off.
BRU-PPC-11,PPC,physical,0,physical-11,11,46,Julia was sitting on a folding chair in her new room working at her desk. Julia needed to shift closer to her desk so she reached down and pulled the chair forward. Just then a pile of books collapsed and ended up strewn across the floor.
BRU-PPC-12,PPC,physical,0,physical-12,12,47,Lauren slept on a new pillow last night that was firmer than she was used to. Lauren has had back problems ever since she had a bicycle accident. Lauren woke up in the morning with no back pain and she did not have to take any Advil.
BRU-PPC-13,PPC,physical,0,physical-13,13,52,Jay has a pet rabbit that he keeps in a cage. One day he fed the rabbit some carrots and then put the rabbit away. As he was walking past the cage his bare leg brushed by the fur of the rabbit that was sticking out. It felt soft on his thigh.
BRU-PPC-14,PPC,physical,0,physical-14,14,50,Bill was walking along a picket fence with his friend. Bill is in kindergarten and was trying to show his friend how fast he could walk. Bill walked to the end of the fence and jumped off. He then took off his shoes and left them hanging on the fence.
BRU-PPC-15,PPC,physical,0,physical-15,15,45,"Cathy was on an Island in the South Pacific for her honeymoon. She walked down the beach and into the warm water. As Cathy waded out she stepped onto the soft sand, which squished through her toes. She sighed and wiggled her toes further in."
BRU-PPC-16,PPC,physical,0,physical-16,16,45,Steve and his friend were riding bicycles together. Half way down a hill Steve realized that his chain was broken. At the bottom of the hill Steve pulled over and got out his chain repair tool. He sat on the ground cradling the broken chain.
BRU-PPC-17,PPC,physical,0,physical-17,17,45,Suzie was riding in a cab to meet some friends for dinner. When she arrived at the restaurant Suzie opened the door and began to step out. Just then a child walking by gently bumped into Suzie and apologized quickly for brushing by her leg.
BRU-PPC-18,PPC,physical,0,physical-18,18,46,"Eric was hiking in the mountains with his girlfriend. At a stream crossing Eric watched his girlfriend hop across the rocks and then began to follow. He stepped on the first rock and his boot came down hard on it, ripping off a swath of moss."
BRU-PPC-19,PPC,physical,0,physical-19,19,47,"Angela was putting up posters in her new room. It is early Saturday morning and she was in her pajamas. As Angela stood back, she picked up a thumb tack that had fallen on the ground. She pushed the thumb tack through the poster into the wall."
BRU-PPC-20,PPC,physical,0,physical-20,20,42,"Sonya was playing tag at school with her friends. While running around a corner, Sonya practiced sliding like she does in baseball. The knees of her jeans were now green with grass. Sonya brushed the grass off her knees and started laughing."
BRU-PPC-21,PPC,physical,0,physical-21,21,50,Larry was going to his first day of a new job. The job starts very early so Larry was extremely tired. Larry made himself some fresh juice and took a big drink. The juice was cool and Larry felt the tang of it on the soft tissue inside his mouth.
BRU-PPC-22,PPC,physical,0,physical-22,22,45,Brian was at home when a friend called to him from outside. Brian raised the window to talk to his friend. Suddenly the window curtain unrolled and Brian caught the soft fabric in his fingers. Brian rolled the curtain back up and tucked it in.
BRU-PPC-23,PPC,physical,0,physical-23,23,46,Lois was skiing for the first time. She was learning how to go down the easy slopes and was trying to keep her legs together. On her first run down a harder slope her legs stayed together and her knees stayed bent. Lois hooted and hollered.
BRU-PPC-24,PPC,physical,0,physical-24,24,46,Oscar was doing the dishes after dinner. He was talking with his friends while his hands were in the soapy water. Oscar reached his hand in and hit a soft sponge. He grabbed the sponge between his fingers and pulled it out of the dirty water.
BRU-EP-01,EP,emotional,1,emotional-01,1,49,Ron and his wife recently became a foster parents to a 10 year old girl. Ron promises her that he will be at a concert that she is playing in. On the way to the concert Ron is caught in traffic. When he arrives the concert is already over.
BRU-EP-02,EP,emotional,1,emotional-02,2,48,"Aaron was going to visit his father. There was so much that he had never told his father, and he finally wanted to let him know how much he cared. When he got to his parents house an ambulance was there. His father had died in his sleep."
BRU-EP-03,EP,emotional,1,emotional-03,3,47,"Diane has a son with Autism. Her son is often very uncomfortable with human contact and prefers to play on his computer. Since her husband left, all Diane has is her son. Diane went to her son to hug him and he screamed and pushed her away."
BRU-EP-04,EP,emotional,1,emotional-04,4,39,Shelley recently applied to Oxford; she has dreamed of going there all her life. One day a letter came from Oxford and Shelley tore it open. The letter was a rejection. Shelley ran into her room and began sobbing.
BRU-EP-05,EP,emotional,1,emotional-05,5,48,Mark is an autistic child who was just given his first dog. He loves the dog very much and considers it his best friend. One day Mark's father wakes him up and tells him that the dog ran away. Mark sits on his bed rocking back and forth.
BRU-EP-06,EP,emotional,1,emotional-06,6,46,John was on a hike with his girlfriend. He had an engagement ring in his pocket and at a beautiful overlook he proposed marriage. His girlfriend said that she could not marry him and began crying. John sat on a rock and looked at the ring.
BRU-EP-07,EP,emotional,1,emotional-07,7,45,"Monica was visiting Anna, who had been her best friend for 60 years. When Monica arrived at her house, Anna's son said that Anna had had a massive stroke and they were not sure if she would survive. Monica sat down on the front porch."
BRU-EP-08,EP,emotional,1,emotional-08,8,46,Mark had wanted to ask Christy on a date for months. One day Mark walked up to her and asked her out. Christy said that she was not interested and walked off. Mark did not even have time to give her the flowers that he brought.
BRU-EP-09,EP,emotional,1,emotional-09,9,42,Rose was planning her upcoming wedding. She received a call from her fiancee. He told her that he was leaving town and could not go through with the wedding. Rose hung up the phone and dropped the wedding catalogue she was reading.
BRU-EP-10,EP,emotional,1,emotional-10,10,53,Kevin took his son Zack to the doctor for a checkup. The doctor did a series of tests and came back to talk to the father and son. The doctor told them that Zack has a rare form of cancer that they have no cure for. He gives Zack 6 months to live.
BRU-EP-11,EP,emotional,1,emotional-11,11,42,Katie was giving a piano recital and was waiting her turn. All the children performing walked off the stage to their parents when they finish. Katies parents died the previous year. When she finished her recital Katie sat looking at her hands.
BRU-EP-12,EP,emotional,1,emotional-12,12,47,"Lara just moved and is trying to make friends at a new school. While Lara was sitting in one of the bathroom stalls, a number of girls come in. The girls began to talk about how much they disliked Lara and then they leave. Lara sat silently."
BRU-EP-13,EP,emotional,1,emotional-13,13,47,Lissa was excited to have a solo in her upcoming performance. Her father promised her that he will be there in the front row for the concert. When the concert comes Her father does not show up. After the show Lissa sat alone on the deserted stage.
BRU-EP-14,EP,emotional,1,emotional-14,14,50,Chad plays on a soccer team. After one of their big games Chad asks his teammates if they want to go get some ice cream. All of his friends tell him that they are going out with their fathers. Chad's father forgot about the game and did not show up.
BRU-EP-15,EP,emotional,1,emotional-15,15,47,Karen was pregnant and going in for her first check-up. The doctor ran a number of tests and came back in to talk with her. The doctor told Karen that her baby had a rare disease and had died. Karen pleaded with the doctor to help her.
BRU-EP-16,EP,emotional,1,emotional-16,16,46,Lucas is a painter who just moved all of his beloved paintings to a new studio. One day on his way to the studio he hears fire engines. Lucas drives up to find that his studio is on fire; all of his work has been destroyed.
BRU-EP-17,EP,emotional,1,emotional-17,17,43,Mike is very much in love with his girlfriend. One day he goes to surprise her at work for lunch. Through the window of the building he sees his girlfriend walking with another man. She stops and gives the man a long kiss.
BRU-EP-18,EP,emotional,1,emotional-18,18,49,Alison lives by herself. Every week her son comes to visit her and they go out to lunch. Her son just lost his job and is arguing with his wife. One day Alison gets a call from her son who tells her that he has been diagnosed with cancer.
BRU-EP-19,EP,emotional,1,emotional-19,19,49,"Nina lives with her parents in a small house. Lately her parents have been fighting a lot. They try to keep it away from Nina, but she can hear it. One day Nina's father tells her that he and her mother are getting divorced and he is moving out."
BRU-EP-20,EP,emotional,1,emotional-20,20,51,Rudy had worked hard to get the job he has now. He can finally take care of his son and has almost saved enough to give him the gifts he wants for his birthday. Today he was called in to the office and his boss told him that he was fired.
BRU-EP-21,EP,emotional,1,emotional-21,21,42,Judy lives with her teenage daughter. Her daughter wants to have new friends and invites a number of people to her 15th birthday party. Nobody shows up to the birthday. Judy's daughter goes into her room to cry and Judy stands helplessly.
BRU-EP-22,EP,emotional,1,emotional-22,22,41,Brett was taking his children to the family cabin. Brett was going to show his children all the family pictures and history. When they arrived the cabin was surrounded by fire trucks. Last night the cabin had burned to the ground.
BRU-EP-23,EP,emotional,1,emotional-23,23,43,"Cynthia lives with her husband and step-daughter, Julia. She loves Julia very much and often tries to help with her homework. One day Julia jumped up from her work and shouted to Cynthia that she hates her. Cynthia sat alone at the table."
BRU-EP-24,EP,emotional,1,emotional-24,24,49,Bobby is new to school and joined the volleyball team. Tonight was their first match. At the end of a close game the ball came right to Bobby for an easy play. He missed the ball and they lost the game. His teammates groaned and walked off the court.
BRU-EPC-01,EPC,emotional,0,emotional-01,1,50,Ron and his wife recently became a foster parents to a 10 year old girl. Ron promises her that he will be at a concert that she is playing in. On the way to the concert Ron buys some flowers. When he arrives the concert is just about to begin.
BRU-EPC-02,EPC,emotional,0,emotional-02,2,48,"Aaron was going to visit his father. There was so much that he had never told his father, and he finally wanted to let him know how much he cared. When he got to his parents house delivery truck was there. His father was signing for a package."
BRU-EPC-03,EPC,emotional,0,emotional-03,3,48,"Diane has a son with a balanced life. Her son is very comfortable with others but sometimes prefers to play on his computer. With her husband away at work, Diane is alone at home with her son. Diane got up and went to give her son a hug."
BRU-EPC-04,EPC,emotional,0,emotional-04,4,36,Shelley recently applied to Oxford; she has dreamed of going there all her life. One day a letter came from Oxford and Shelley tore it open. The letter confirmed that they received her application. Shelley shrugged.
BRU-EPC-05,EPC,emotional,0,emotional-05,5,50,Mark is an autistic child who was just given his first dog. He loves the dog very much and considers it his best friend. One day Mark's father wakes him up and tells him that the dog needs a bath. Mark gets out of bed and ready for the bath.
BRU-EPC-06,EPC,emotional,0,emotional-06,6,45,John was on a hike with his girlfriend. He had an engagement ring in his pocket and at a beautiful overlook he proposed marriage. His girlfriend said that she would marry him and began crying. John held his new fiancee and looked at the ring.
BRU-EPC-07,EPC,emotional,0,emotional-07,7,47,"Monica was visiting Anna, who had been her best friend for 60 years. When Monica arrived at her house, Anna's son said that Anna just went out to get groceries and was not sure when she would be back. Monica sat to wait on the front porch."
BRU-EPC-08,EPC,emotional,0,emotional-08,8,46,Alex had wanted to ask Christy on a date for months. One day Mark walked up to her and asked her out. Christy said that she would be happy to go out with him. She accepted the flowers he had brought for her with a smile.
BRU-EPC-09,EPC,emotional,0,emotional-09,9,42,Rose was planning her upcoming wedding. She received a call from her fiancee. He told her that he was leaving town for business and would be back late. Rose hung up the phone and picked up the wedding catalogue she was reading.
BRU-EPC-10,EPC,emotional,0,emotional-10,10,48,Kevin took his son Zack to the doctor for a checkup. The doctor did a series of tests and came back to talk to the father and son. The doctor told them that Zack is perfectly healthy. He made an appointment to see Zack again in 6 months.
BRU-EPC-11,EPC,emotional,0,emotional-11,11,47,Katie was giving a piano recital and was waiting for her turn. All the children walked off the stage to their parents when they finished. Katies parents were sitting in the back of the room. When she finished her recital she walked and sat with her parents.
BRU-EPC-12,EPC,emotional,0,emotional-12,12,47,"Lara just moved and is trying to make friends at a new school. While Lara was sitting in one of the bathroom stalls, a number of girls came in. The girls talked about how much they dislike the new teacher and then they left. Lara sat silently."
BRU-EPC-13,EPC,emotional,0,emotional-13,13,48,Lissa was excited to have a solo in her upcoming performance. Her father promised her that he would be there in the front row for the concert. When the concert comes her father was there to watch. After the show Lissa sat on the stage with her dad.
BRU-EPC-14,EPC,emotional,0,emotional-14,14,50,Chad plays on a soccer team. After one of their big games Chad asks his teammates if they want to go get some ice cream. All of his friends tell him that they are going out with their fathers. Chad and his father join all the others to get pizza.
BRU-EPC-15,EPC,emotional,0,emotional-15,15,41,Karen was pregnant and going in for her first check-up. The doctor ran a number of tests and came back in to talk with her. The doctor told Karen that her baby was healthy and developing normally. Karen thanked the doctor.
BRU-EPC-16,EPC,emotional,0,emotional-16,16,46,Lucas is a painter who just moved all of his beloved paintings to a new studio. One day on his way to the studio he hears music. Lucas drives up to find a parade out front of his studio; all of his work is being admired.
BRU-EPC-17,EPC,emotional,0,emotional-17,17,45,Mike is very much in love with his girlfriend. One day he goes to surprise her at work for lunch. Through the window of the building he sees his girlfriend walking with a computer tech. She stops and gives the tech her laptop to fix.
BRU-EPC-18,EPC,emotional,0,emotional-18,18,50,Alison lives by herself. Every week her son comes to visit her and they go out to lunch. Her son just got a new job and is enjoying life with his wife. One day Alison gets a call from her son who says that he will meet her out front.
BRU-EPC-19,EPC,emotional,0,emotional-19,19,49,"Nina lives with her parents in a small house. Lately her parents have been watching TV at night. They try to keep it quiet, but Nina can hear it. One day Nina's father tells her that she is old enough now and can stay up sometimes to watch TV."
BRU-EPC-20,EPC,emotional,0,emotional-20,20,54,Rudy had worked hard to get the job he has now. He can finally take care of his son and has almost saved enough to give him the gifts he wants for his birthday. Today he was called in to the office and his boss told him that he was doing a good job.
BRU-EPC-21,EPC,emotional,0,emotional-21,21,45,Judy lives with her teenage daughter. Her daughter wants to have new friends and invites a number of people to her 15th birthday party. Some new people show up and leave after a good night. Judy and her daughter go to their rooms to sleep.
BRU-EPC-22,EPC,emotional,0,emotional-22,22,42,Brett was taking his children to the family cabin. Brett was going to show his children all the family pictures and history. When they arrived the cabin was surrounded by snow. Last night it had snowed for the first time that season.
BRU-EPC-23,EPC,emotional,0,emotional-23,23,44,"Cynthia lives with her husband and step-daughter, Julia. She loves Julia very much and often tries to help with her homework. One day Julia looked up from her work and asked Cynthia for some help. Cynthia helped and then sat down at the table."
BRU-EPC-24,EPC,emotional,0,emotional-24,24,50,Bobby was new to school and joined the volleyball team. Tonight is their first match. At the end of a close game the ball came right to Bobby for an easy play. He bumped it up and the game continued. His teammates ran around the court to play the ball.
BRU-FBP-01,FBP,false_belief,1,false_belief-01,1,44,Tyler just became a step-father of a teenaged daughter. It seems that Tyler is finally being accepted by her. Walking by her room he heard her complaining about how much she hated him. Actually she was talking about a boy at school named Tyler.
BRU-FBP-02,FBP,false_belief,1,false_belief-02,2,51,"Miko just arrived for a new job in the U.S. Her first day there was April Fools Day, a holiday that they do not have in Japan. She arrived and logged on to her new email. The first message said that she had been fired and had to leave work immediately."
BRU-FBP-03,FBP,false_belief,1,false_belief-03,3,43,Paige went to meet with her childs teacher. The teacher accidentally brought out the file of another child in the class. He told Paige that her child had been very disruptive and was poorly behaved. Paige left the meeting with a worried face.
BRU-FBP-04,FBP,false_belief,1,false_belief-04,4,38,Ellen took an important exam yesterday. She needed to pass in order to graduate. She passed but the professor switched her results with another student who failed. Ellen checks the results online and cannot hold back her tears.
BRU-FBP-05,FBP,false_belief,1,false_belief-05,5,47,Robin goes to the stables and rides her beloved horse every week. Last week the stable switched her horse out of pen 3 to another pen but forgot to tell her. When she arrived a caretaker told her that the horse in pen 3 died last night.
BRU-FBP-06,FBP,false_belief,1,false_belief-06,6,53,Ted has a job interview at a nearby building at 8:00 the next morning. He needs the job badly and knows that if he is late he will not get it. That night the power goes off and the clock stops. When Ted wakes up he looks over and the clock reads 9:00.
BRU-FBP-07,FBP,false_belief,1,false_belief-07,7,49,Pete has been training hard to make the school baseball team. Today the list of players who made the team is up. Pete's name is misspelled and is listed at the top of the alphabetical list. Pete does not see his name on the list and hangs his head.
BRU-FBP-08,FBP,false_belief,1,false_belief-08,8,42,"Andy was at a restaurant in California with his best friend when a earthquake started. Andy ran out what looked like the only door. Actually there was another door, and Andy's friend ran through it. Andy stared back as the building collapsed."
BRU-FBP-09,FBP,false_belief,1,false_belief-09,9,44,Lou and his girlfriend were hiking a rugged coastal trail in Hawaii. Lou's girlfriend hiked ahead and loosened a large boulder. Lou heard something falling and rushed around the corner to see a splash in the ocean far below. Lou fell to his knees.
BRU-FBP-10,FBP,false_belief,1,false_belief-10,10,50,"Joe has worked very hard to finally get his job. The job has been firing people lately by pasting pink notices on their lockers. Joe's locker is the 5th one down the row, but today he goes down the wrong row. He sees a pink slip on the 5th locker."
BRU-FBP-11,FBP,false_belief,1,false_belief-11,11,39,Harry is with his doctor. Unfortunately yesterday the lab had accidentally switched Harry's results with a terminally ill patient. The doctor tells Harry that he has a rare form of terminal cancer. Harry dashes out of the doctors office.
BRU-FBP-12,FBP,false_belief,1,false_belief-12,12,51,Sue's new foster father Ned seems much nicer than her last one. At the end of her first day at school Sue comes out and does not see Ned. Ned has been waiting at the other entrance. Sue drops her bag and sits as all the other kids greet their parents.
BRU-FBP-13,FBP,false_belief,1,false_belief-13,13,50,"Matt is the lead in the school play. Matt's father has never seen him perform, and he gets him a special ticket up front on the final night. The seat is broken, though, so his dad is seated elsewhere. During the show Matt looks out and sees the empty seat."
BRU-FBP-14,FBP,false_belief,1,false_belief-14,14,48,Joey meets a girl at a party. They dance and talk all night and Joey asks for her phone number. She accidentally writes down a wrong number. The next day Joey calls her and gets a disconnected number. He hangs up and leans his head against the wall.
BRU-FBP-15,FBP,false_belief,1,false_belief-15,15,48,Jane is in her car and late for work one day. She begins to pull out of the driveway when her beloved cat dashes under the car. Just then the car bumps over a rock. Jane slams on the brakes and drops her head on the steering wheel.
BRU-FBP-16,FBP,false_belief,1,false_belief-16,16,44,"Kim is pregnant and is at the hospital getting an ultrasound. The tech says that they will hear the baby's heartbeat, but Kim hears nothing and the tech looks worried. Actually, a cable is detached. The tech rushes out and Kim clutches her belly."
BRU-FBP-17,FBP,false_belief,1,false_belief-17,17,46,"Karen had planned a small wedding. At the time of the wedding neither her fiancee nor the best man showed up. Actually, their car had broken down and Karen didnt have her phone. Karen stood at the alter and the guests all looked away from her."
BRU-FBP-18,FBP,false_belief,1,false_belief-18,18,46,Max was going on his first date ever. He knocked on the door and asked the man who answered if his daughter was home. Max had mistakenly gone to the wrong house. The man said his daughter was out with her boyfriend and closed the door.
BRU-FBP-19,FBP,false_belief,1,false_belief-19,19,45,John's wife is recovering from a simple surgery at the hospital. A doctor whose female patient just died in a different operating room sees John in the hallway. The doctor approaches John and tells him that his wife is dead. John falls to the floor.
BRU-FBP-20,FBP,false_belief,1,false_belief-20,20,41,"Donna has finally found a great group of friends. Unexpectedly, she sees two of them in the library. They are talking about another person named Donna who they both dislike. Donna overhears them talking; she tries to hold back her tears."
BRU-FBP-21,FBP,false_belief,1,false_belief-21,21,47,"Jim unexpectedly sees his girlfriend walking down the street at lunchtime. It is actually a woman who looks like his girlfriend. Jim walks after her, and then sees her get into a car with a man and kiss him. The car drives away as Jim stands stunned."
BRU-FBP-22,FBP,false_belief,1,false_belief-22,22,45,"Anna is waiting for her husband at the airport. Her husband actually had to switch to another flight but did not have time to tell Anna. Anna then hears that the plane her husband was supposed to be on crashed, and all aboard were killed."
BRU-FBP-23,FBP,false_belief,1,false_belief-23,23,50,"Adi is at her first day at a new school. During PE class Adi is waiting to be picked for the volleyball game, but the yellow shirt she is wearing actually means that she is in the soccer group. All the volleyball players are chosen and Adi is left alone."
BRU-FBP-24,FBP,false_belief,1,false_belief-24,24,49,Maggie is in love with a man and wishes that he would reciprocate her feelings. One day this man sends a text to Maggie that he meant to send to someone else saying that he does not want to see her again. Maggie gets the text and starts crying.
BRU-FBC-01,FBC,false_belief,0,false_belief-01,1,43,Tyler just became a step-father of a teenaged daughter. It seems that Tyler is finally being accepted by her. Walking by her room he heard her talking to her friend on the phone. Actually she was practicing her lines for a drama performance.
BRU-FBC-02,FBC,false_belief,0,false_belief-02,2,52,"Miko just arrived for a new job in the U.S. Her first day there was April Fools Day, a holiday that they do not have in Japan. She arrived and logged on to her new email. The first message said that she needed to take off her shoes while in the office."
BRU-FBC-03,FBC,false_belief,0,false_belief-03,3,43,Paige went to meet with her child's teacher. The teacher accidentally brought out the file of another child in the class. He told Paige that her child had been very cooperative and was well behaved. Paige left the meeting with a calm face.
BRU-FBC-04,FBC,false_belief,0,false_belief-04,4,36,Ellen took an important exam yesterday. She needed to pass in order to graduate. She passed but the professor switched her results with another student who scored even higher. Ellen checks the results online and smiles.
BRU-FBC-05,FBC,false_belief,0,false_belief-05,5,47,Robin goes to the stables and rides her beloved horse every week. Last week the stable switched her horse out of pen 3 to another pen but forgot to tell her. When she arrived Robin went to her horse's pen to get her horse ready to ride.
BRU-FBC-06,FBC,false_belief,0,false_belief-06,6,53,Ted has a job interview at a nearby building at 8:00 the next morning. He needs the job badly and knows that if he is late he will not get it. That night the power goes off and the clock stops. When Ted wakes up he looks over and the clock reads 7:00.
BRU-FBC-07,FBC,false_belief,0,false_belief-07,7,49,Pete has been training hard to make the school baseball team. At school a group of boys are looking at a list of players who made the team. All the boys are actually looking at the list for the soccer team. Pete rushes over to check for his name.
BRU-FBC-08,FBC,false_belief,0,false_belief-08,8,44,"Andy was at a restaurant in California with his best friend when a small earthquake started. Actually, it was just a large truck passing by which shook the building slightly. Andy immediately looked up at one exit and his friend looked at the other."
BRU-FBC-09,FBC,false_belief,0,false_belief-09,9,45,Lou and his girlfriend were hiking a rugged coastal trail in Hawaii. While Lou was tying his shoe lace his girlfriend took the water bottle out of his pack. Lou finished tying his shoe lace and began unzipping his pack to get his water bottle.
