model_a,model_b,contrast_diff,ci_lo,ci_hi,distinguishable
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-1_5B-Instruct,0.1668,0.1502,0.1833,yes
Qwen_Qwen2_5-0_5B,unsloth_Meta-Llama-3_1-8B-Instruct,0.202,0.1726,0.2319,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-7B-Instruct,0.2386,0.2119,0.2663,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-3B-Instruct,0.2473,0.2208,0.2749,yes
Qwen_Qwen2_5-0_5B,Qwen_Qwen2_5-14B-Instruct,0.3703,0.3295,0.4102,yes
Qwen_Qwen2_5-0_5B,allenai_Llama-3_1-Tulu-3-8B,0.4012,0.3619,0.4422,yes
Qwen_Qwen2_5-0_5B,unsloth_gemma-2-9b-it,0.4083,0.3547,0.4632,yes
Qwen_Qwen2_5-0_5B,mistralai_Mistral-7B-Instruct-v0_3,0.4739,0.4384,0.5099,yes
Qwen_Qwen2_5-0_5B,HuggingFaceH4_zephyr-7b-beta,0.5517,0.5018,0.6034,yes
Qwen_Qwen2_5-0_5B,allenai_OLMo-2-1124-7B-Instruct,0.6462,0.5884,0.7017,yes
unsloth_gemma-2-9b,mistralai_Mistral-7B-v0_3,0.0024,-0.0001,0.0051,no
unsloth_gemma-2-9b,allenai_OLMo-2-1124-7B,0.0041,-0.0016,0.0098,no
unsloth_gemma-2-9b,Qwen_Qwen2_5-1_5B,0.0126,0.0067,0.0185,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-3B,0.0481,0.0414,0.0545,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-0_5B-Instruct,0.0501,0.0399,0.0607,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-7B,0.0509,0.0438,0.058,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-14B,0.1255,0.1111,0.1394,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-1_5B-Instruct,0.1663,0.1494,0.1828,yes
unsloth_gemma-2-9b,unsloth_Meta-Llama-3_1-8B-Instruct,0.2014,0.1724,0.2311,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-7B-Instruct,0.238,0.211,0.2662,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-3B-Instruct,0.2467,0.2195,0.2742,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-14B-Instruct,0.3697,0.3288,0.4086,yes
unsloth_gemma-2-9b,allenai_Llama-3_1-Tulu-3-8B,0.4006,0.3611,0.4413,yes
unsloth_gemma-2-9b,unsloth_gemma-2-9b-it,0.4078,0.3536,0.4632,yes
unsloth_gemma-2-9b,mistralai_Mistral-7B-Instruct-v0_3,0.4733,0.4376,0.5099,yes
unsloth_gemma-2-9b,HuggingFaceH4_zephyr-7b-beta,0.5511,0.5021,0.6021,yes
unsloth_gemma-2-9b,allenai_OLMo-2-1124-7B-Instruct,0.6456,0.5867,0.7027,yes
mistralai_Mistral-7B-v0_3,allenai_OLMo-2-1124-7B,0.0017,-0.0053,0.0089,no
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-1_5B,0.0102,0.0038,0.0164,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-3B,0.0457,0.039,0.0518,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-0_5B-Instruct,0.0476,0.0371,0.0585,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-7B,0.0485,0.0412,0.0561,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-14B,0.1231,0.1086,0.1369,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-1_5B-Instruct,0.1639,0.1476,0.1803,yes
mistralai_Mistral-7B-v0_3,unsloth_Meta-Llama-3_1-8B-Instruct,0.199,0.1695,0.2297,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-7B-Instruct,0.2356,0.2091,0.2633,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-3B-Instruct,0.2443,0.2171,0.2715,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-14B-Instruct,0.3673,0.3258,0.4073,yes
mistralai_Mistral-7B-v0_3,allenai_Llama-3_1-Tulu-3-8B,0.3982,0.3587,0.4388,yes
mistralai_Mistral-7B-v0_3,unsloth_gemma-2-9b-it,0.4053,0.3512,0.4601,yes
mistralai_Mistral-7B-v0_3,mistralai_Mistral-7B-Instruct-v0_3,0.4709,0.4351,0.507,yes
mistralai_Mistral-7B-v0_3,HuggingFaceH4_zephyr-7b-beta,0.5487,0.4996,0.5999,yes
mistralai_Mistral-7B-v0_3,allenai_OLMo-2-1124-7B-Instruct,0.6432,0.5841,0.7001,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-1_5B,0.0085,-0.001,0.0178,no
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-3B,0.044,0.035,0.0529,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-0_5B-Instruct,0.0459,0.0341,0.0578,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-7B,0.0468,0.0372,0.0563,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-14B,0.1214,0.1059,0.1364,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-1_5B-Instruct,0.1622,0.1453,0.1791,yes
allenai_OLMo-2-1124-7B,unsloth_Meta-Llama-3_1-8B-Instruct,0.1973,0.1687,0.2272,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-7B-Instruct,0.2339,0.2052,0.2635,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-3B-Instruct,0.2426,0.2159,0.2698,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-14B-Instruct,0.3656,0.324,0.4053,yes
allenai_OLMo-2-1124-7B,allenai_Llama-3_1-Tulu-3-8B,0.3965,0.3579,0.4358,yes
allenai_OLMo-2-1124-7B,unsloth_gemma-2-9b-it,0.4036,0.3482,0.4602,yes
allenai_OLMo-2-1124-7B,mistralai_Mistral-7B-Instruct-v0_3,0.4692,0.4337,0.5051,yes
allenai_OLMo-2-1124-7B,HuggingFaceH4_zephyr-7b-beta,0.547,0.499,0.5966,yes
allenai_OLMo-2-1124-7B,allenai_OLMo-2-1124-7B-Instruct,0.6415,0.5838,0.6954,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-3B,0.0355,0.0265,0.044,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-0_5B-Instruct,0.0375,0.0256,0.0503,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-7B,0.0383,0.0283,0.0479,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-14B,0.1129,0.0982,0.127,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-1_5B-Instruct,0.1537,0.1332,0.1728,yes
Qwen_Qwen2_5-1_5B,unsloth_Meta-Llama-3_1-8B-Instruct,0.1889,0.1585,0.2185,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-7B-Instruct,0.2254,0.1976,0.255,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-3B-Instruct,0.2342,0.204,0.2656,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-14B-Instruct,0.3571,0.3171,0.3953,yes
Qwen_Qwen2_5-1_5B,allenai_Llama-3_1-Tulu-3-8B,0.3881,0.3464,0.4303,yes
Qwen_Qwen2_5-1_5B,unsloth_gemma-2-9b-it,0.3952,0.3413,0.4508,yes
Qwen_Qwen2_5-1_5B,mistralai_Mistral-7B-Instruct-v0_3,0.4608,0.4248,0.497,yes
Qwen_Qwen2_5-1_5B,HuggingFaceH4_zephyr-7b-beta,0.5386,0.4885,0.5914,yes
Qwen_Qwen2_5-1_5B,allenai_OLMo-2-1124-7B-Instruct,0.6331,0.5733,0.6907,yes
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-0_5B-Instruct,0.0019,-0.0084,0.0127,no
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-7B,0.0028,-0.0049,0.0105,no
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-14B,0.0774,0.0634,0.0908,yes
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-1_5B-Instruct,0.1182,0.1014,0.1351,yes
Qwen_Qwen2_5-3B,unsloth_Meta-Llama-3_1-8B-Instruct,0.1533,0.1256,0.1816,yes
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-7B-Instruct,0.1899,0.1637,0.2169,yes
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-3B-Instruct,0.1986,0.172,0.2254,yes
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-14B-Instruct,0.3216,0.2805,0.362,yes
Qwen_Qwen2_5-3B,allenai_Llama-3_1-Tulu-3-8B,0.3525,0.3137,0.3923,yes
Qwen_Qwen2_5-3B,unsloth_gemma-2-9b-it,0.3596,0.3055,0.4156,yes
Qwen_Qwen2_5-3B,mistralai_Mistral-7B-Instruct-v0_3,0.4252,0.3914,0.4599,yes
Qwen_Qwen2_5-3B,HuggingFaceH4_zephyr-7b-beta,0.503,0.4545,0.5538,yes
Qwen_Qwen2_5-3B,allenai_OLMo-2-1124-7B-Instruct,0.5975,0.5398,0.6528,yes
Qwen_Qwen2_5-0_5B-Instruct,Qwen_Qwen2_5-7B,0.0009,-0.0111,0.0115,no
Qwen_Qwen2_5-0_5B-Instruct,Qwen_Qwen2_5-14B,0.0754,0.0606,0.09,yes
Qwen_Qwen2_5-0_5B-Instruct,Qwen_Qwen2_5-1_5B-Instruct,0.1162,0.0995,0.133,yes
Qwen_Qwen2_5-0_5B-Instruct,unsloth_Meta-Llama-3_1-8B-Instruct,0.1514,0.1264,0.1771,yes
Qwen_Qwen2_5-0_5B-Instruct,Qwen_Qwen2_5-7B-Instruct,0.1879,0.163,0.2149,yes
Qwen_Qwen2_5-0_5B-Instruct,Qwen_Qwen2_5-3B-Instruct,0.1967,0.1708,0.2222,yes
Qwen_Qwen2_5-0_5B-Instruct,Qwen_Qwen2_5-14B-Instruct,0.3196,0.2811,0.357,yes
Qwen_Qwen2_5-0_5B-Instruct,allenai_Llama-3_1-Tulu-3-8B,0.3506,0.3152,0.3862,yes
Qwen_Qwen2_5-0_5B-Instruct,unsloth_gemma-2-9b-it,0.3577,0.3036,0.4122,yes
Qwen_Qwen2_5-0_5B-Instruct,mistralai_Mistral-7B-Instruct-v0_3,0.4233,0.3907,0.4566,yes
Qwen_Qwen2_5-0_5B-Instruct,HuggingFaceH4_zephyr-7b-beta,0.5011,0.4527,0.5501,yes
Qwen_Qwen2_5-0_5B-Instruct,allenai_OLMo-2-1124-7B-Instruct,0.5956,0.5378,0.6489,yes
Qwen_Qwen2_5-7B,Qwen_Qwen2_5-14B,0.0746,0.0608,0.0881,yes
Qwen_Qwen2_5-7B,Qwen_Qwen2_5-1_5B-Instruct,0.1154,0.099,0.131,yes
Qwen_Qwen2_5-7B,unsloth_Meta-Llama-3_1-8B-Instruct,0.1505,0.122,0.1796,yes
Qwen_Qwen2_5-7B,Qwen_Qwen2_5-7B-Instruct,0.1871,0.163,0.2125,yes
Qwen_Qwen2_5-7B,Qwen_Qwen2_5-3B-Instruct,0.1958,0.1687,0.223,yes
Qwen_Qwen2_5-7B,Qwen_Qwen2_5-14B-Instruct,0.3188,0.2779,0.3579,yes
Qwen_Qwen2_5-7B,allenai_Llama-3_1-Tulu-3-8B,0.3497,0.3113,0.3888,yes
Qwen_Qwen2_5-7B,unsloth_gemma-2-9b-it,0.3568,0.3021,0.4128,yes
Qwen_Qwen2_5-7B,mistralai_Mistral-7B-Instruct-v0_3,0.4224,0.3877,0.4593,yes
Qwen_Qwen2_5-7B,HuggingFaceH4_zephyr-7b-beta,0.5002,0.4514,0.5506,yes
Qwen_Qwen2_5-7B,allenai_OLMo-2-1124-7B-Instruct,0.5947,0.5363,0.6494,yes
Qwen_Qwen2_5-14B,Qwen_Qwen2_5-1_5B-Instruct,0.0408,0.0192,0.0629,yes
Qwen_Qwen2_5-14B,unsloth_Meta-Llama-3_1-8B-Instruct,0.0759,0.0461,0.1056,yes
Qwen_Qwen2_5-14B,Qwen_Qwen2_5-7B-Instruct,0.1125,0.0868,0.1389,yes
Qwen_Qwen2_5-14B,Qwen_Qwen2_5-3B-Instruct,0.1212,0.0912,0.1502,yes
Qwen_Qwen2_5-14B,Qwen_Qwen2_5-14B-Instruct,0.2442,0.2081,0.2795,yes
Qwen_Qwen2_5-14B,allenai_Llama-3_1-Tulu-3-8B,0.2751,0.237,0.3146,yes
Qwen_Qwen2_5-14B,unsloth_gemma-2-9b-it,0.2823,0.2271,0.3366,yes
Qwen_Qwen2_5-14B,mistralai_Mistral-7B-Instruct-v0_3,0.3478,0.3131,0.3839,yes
Qwen_Qwen2_5-14B,HuggingFaceH4_zephyr-7b-beta,0.4256,0.3763,0.4768,yes
Qwen_Qwen2_5-14B,allenai_OLMo-2-1124-7B-Instruct,0.5201,0.4623,0.5744,yes
Qwen_Qwen2_5-1_5B-Instruct,unsloth_Meta-Llama-3_1-8B-Instruct,0.0352,0.0057,0.0638,yes
Qwen_Qwen2_5-1_5B-Instruct,Qwen_Qwen2_5-7B-Instruct,0.0717,0.0446,0.0997,yes
Qwen_Qwen2_5-1_5B-Instruct,Qwen_Qwen2_5-3B-Instruct,0.0805,0.056,0.1067,yes
Qwen_Qwen2_5-1_5B-Instruct,Qwen_Qwen2_5-14B-Instruct,0.2034,0.1598,0.2467,yes
Qwen_Qwen2_5-1_5B-Instruct,allenai_Llama-3_1-Tulu-3-8B,0.2344,0.1988,0.2706,yes
Qwen_Qwen2_5-1_5B-Instruct,unsloth_gemma-2-9b-it,0.2415,0.1831,0.301,yes
Qwen_Qwen2_5-1_5B-Instruct,mistralai_Mistral-7B-Instruct-v0_3,0.3071,0.2704,0.344,yes
Qwen_Qwen2_5-1_5B-Instruct,HuggingFaceH4_zephyr-7b-beta,0.3849,0.3375,0.4353,yes
Qwen_Qwen2_5-1_5B-Instruct,allenai_OLMo-2-1124-7B-Instruct,0.4794,0.4204,0.5339,yes
unsloth_Meta-Llama-3_1-8B-Instruct,Qwen_Qwen2_5-7B-Instruct,0.0366,0.0073,0.0657,yes
unsloth_Meta-Llama-3_1-8B-Instruct,Qwen_Qwen2_5-3B-Instruct,0.0453,0.0144,0.0764,yes
unsloth_Meta-Llama-3_1-8B-Instruct,Qwen_Qwen2_5-14B-Instruct,0.1683,0.1272,0.2081,yes
unsloth_Meta-Llama-3_1-8B-Instruct,allenai_Llama-3_1-Tulu-3-8B,0.1992,0.1645,0.2341,yes
unsloth_Meta-Llama-3_1-8B-Instruct,unsloth_gemma-2-9b-it,0.2063,0.1565,0.2581,yes
unsloth_Meta-Llama-3_1-8B-Instruct,mistralai_Mistral-7B-Instruct-v0_3,0.2719,0.2356,0.3104,yes
unsloth_Meta-Llama-3_1-8B-Instruct,HuggingFaceH4_zephyr-7b-beta,0.3497,0.302,0.3978,yes
unsloth_Meta-Llama-3_1-8B-Instruct,allenai_OLMo-2-1124-7B-Instruct,0.4442,0.3876,0.4984,yes
Qwen_Qwen2_5-7B-Instruct,Qwen_Qwen2_5-3B-Instruct,0.0088,-0.0198,0.0415,no
Qwen_Qwen2_5-7B-Instruct,Qwen_Qwen2_5-14B-Instruct,0.1317,0.0877,0.1726,yes
Qwen_Qwen2_5-7B-Instruct,allenai_Llama-3_1-Tulu-3-8B,0.1626,0.1309,0.1927,yes
Qwen_Qwen2_5-7B-Instruct,unsloth_gemma-2-9b-it,0.1698,0.1177,0.2249,yes
Qwen_Qwen2_5-7B-Instruct,mistralai_Mistral-7B-Instruct-v0_3,0.2354,0.2023,0.2703,yes
Qwen_Qwen2_5-7B-Instruct,HuggingFaceH4_zephyr-7b-beta,0.3131,0.2713,0.3566,yes
Qwen_Qwen2_5-7B-Instruct,allenai_OLMo-2-1124-7B-Instruct,0.4077,0.3523,0.4638,yes
Qwen_Qwen2_5-3B-Instruct,Qwen_Qwen2_5-14B-Instruct,0.123,0.0786,0.1662,yes
Qwen_Qwen2_5-3B-Instruct,allenai_Llama-3_1-Tulu-3-8B,0.1539,0.1216,0.1853,yes
Qwen_Qwen2_5-3B-Instruct,unsloth_gemma-2-9b-it,0.161,0.1072,0.2143,yes
Qwen_Qwen2_5-3B-Instruct,mistralai_Mistral-7B-Instruct-v0_3,0.2266,0.1928,0.2623,yes
Qwen_Qwen2_5-3B-Instruct,HuggingFaceH4_zephyr-7b-beta,0.3044,0.2621,0.351,yes
Qwen_Qwen2_5-3B-Instruct,allenai_OLMo-2-1124-7B-Instruct,0.3989,0.3469,0.4474,yes
Qwen_Qwen2_5-14B-Instruct,allenai_Llama-3_1-Tulu-3-8B,0.0309,-0.0132,0.0775,no
Qwen_Qwen2_5-14B-Instruct,unsloth_gemma-2-9b-it,0.0381,-0.0174,0.0912,no
Qwen_Qwen2_5-14B-Instruct,mistralai_Mistral-7B-Instruct-v0_3,0.1036,0.0668,0.1421,yes
Qwen_Qwen2_5-14B-Instruct,HuggingFaceH4_zephyr-7b-beta,0.1814,0.1248,0.2421,yes
Qwen_Qwen2_5-14B-Instruct,allenai_OLMo-2-1124-7B-Instruct,0.2759,0.2219,0.3292,yes
allenai_Llama-3_1-Tulu-3-8B,unsloth_gemma-2-9b-it,0.0071,-0.0531,0.0695,no
allenai_Llama-3_1-Tulu-3-8B,mistralai_Mistral-7B-Instruct-v0_3,0.0727,0.039,0.1071,yes
allenai_Llama-3_1-Tulu-3-8B,HuggingFaceH4_zephyr-7b-beta,0.1505,0.1118,0.1897,yes
allenai_Llama-3_1-Tulu-3-8B,allenai_OLMo-2-1124-7B-Instruct,0.245,0.1892,0.2943,yes
unsloth_gemma-2-9b-it,mistralai_Mistral-7B-Instruct-v0_3,0.0656,0.0123,0.1184,yes
unsloth_gemma-2-9b-it,HuggingFaceH4_zephyr-7b-beta,0.1434,0.0752,0.211,yes
unsloth_gemma-2-9b-it,allenai_OLMo-2-1124-7B-Instruct,0.2379,0.1856,0.2943,yes
mistralai_Mistral-7B-Instruct-v0_3,HuggingFaceH4_zephyr-7b-beta,0.0778,0.0391,0.1157,yes
mistralai_Mistral-7B-Instruct-v0_3,allenai_OLMo-2-1124-7B-Instruct,0.1723,0.127,0.2123,yes
HuggingFaceH4_zephyr-7b-beta,allenai_OLMo-2-1124-7B-Instruct,0.0945,0.0367,0.1498,yes
