model_tag,scenario_group,intent_decodability_margin,intent_use_primary,intent_use_matched
Qwen2.5-0.5B-Instruct,BRIDGE,2.43725,-0.04158,-0.01183
Qwen2.5-0.5B-Instruct,CAYO,2.05647,-0.02777,0.00908
Qwen2.5-0.5B-Instruct,CHAIRLIFT,3.47144,-0.05544,-0.00023
Qwen2.5-0.5B-Instruct,COFFEE,1.06604,-0.09129,-0.00119
Qwen2.5-0.5B-Instruct,CPR,3.56561,-0.00546,0.0106
Qwen2.5-0.5B-Instruct,Dog,0.20297,,-0.04565
Qwen2.5-0.5B-Instruct,FRAT,2.82532,-0.01002,0.01024
Qwen2.5-0.5B-Instruct,FUMIGATION,-0.04845,-0.01781,-0.00696
Qwen2.5-0.5B-Instruct,HAM,3.23278,-0.0328,-0.00385
Qwen2.5-0.5B-Instruct,HARNESS,4.6641,-0.02973,-0.00048
Qwen2.5-0.5B-Instruct,HUNT,0.80789,-0.02597,0.02468
Qwen2.5-0.5B-Instruct,IGLOO,2.27702,-0.01859,-0.01159
Qwen2.5-0.5B-Instruct,IRON,1.83436,-0.09392,0.00112
Qwen2.5-0.5B-Instruct,JELLYFISH,2.90192,-0.01352,0.00446
Qwen2.5-0.5B-Instruct,LAB,3.93358,-0.08592,0.00596
Qwen2.5-0.5B-Instruct,LAPTOP,2.75824,-0.04997,0.01272
Qwen2.5-0.5B-Instruct,LATEX,2.75855,-0.02169,0.01587
Qwen2.5-0.5B-Instruct,LOGAN AIRPORT,3.34002,-0.00692,0.00343
Qwen2.5-0.5B-Instruct,MALARIA POND,2.22182,-0.05084,0.00895
Qwen2.5-0.5B-Instruct,MEATLOAF,4.13673,-0.10018,-0.01271
Qwen2.5-0.5B-Instruct,MOTHER,1.52576,0.01079,0.01484
Qwen2.5-0.5B-Instruct,MOTORBOAT,2.83852,-0.01473,0.01599
Qwen2.5-0.5B-Instruct,MUSHROOMS,2.31197,0.00412,-0.00472
Qwen2.5-0.5B-Instruct,PARACHUTES,2.49305,-0.06062,-0.00769
Qwen2.5-0.5B-Instruct,PEANUT ALLERGY,1.10564,-0.06962,-0.00652
Qwen2.5-0.5B-Instruct,POOL,2.11096,-0.0611,0.00274
Qwen2.5-0.5B-Instruct,POPCORN,1.42947,-0.10396,-0.00081
Qwen2.5-0.5B-Instruct,PORRIDGE,1.9964,-0.07099,0.00042
Qwen2.5-0.5B-Instruct,Parent,-0.11658,,0.05105
Qwen2.5-0.5B-Instruct,Poison,-1.45299,,0.06458
Qwen2.5-0.5B-Instruct,RABIES,4.33196,-0.03252,-0.03489
Qwen2.5-0.5B-Instruct,RIVER,3.60099,-0.01905,0.02775
Qwen2.5-0.5B-Instruct,SAFETY CORD,2.9819,-0.00694,-0.01216
Qwen2.5-0.5B-Instruct,SAFETY TOWN,4.83995,-0.05999,-0.0007
Qwen2.5-0.5B-Instruct,SEATBELT,0.27149,-0.12486,0.00205
Qwen2.5-0.5B-Instruct,SESAME,2.88023,-0.04158,-0.00182
Qwen2.5-0.5B-Instruct,SPINACH,2.59205,-0.11716,-0.02349
Qwen2.5-0.5B-Instruct,SPRING BREAK,1.58695,-0.04628,0.01789
Qwen2.5-0.5B-Instruct,SUSHI,1.59912,-0.01348,0.00596
Qwen2.5-0.5B-Instruct,Sibling,4.42919,,-0.01825
Qwen2.5-0.5B-Instruct,TEENAGERS,1.90378,0.00453,-0.00488
Qwen2.5-0.5B-Instruct,TRACKS,1.81097,-0.03552,0.03877
Qwen2.5-0.5B-Instruct,TREE HOUSE,4.46746,-0.06999,-0.00726
Qwen2.5-0.5B-Instruct,VET,2.63286,-0.10522,-0.01234
Qwen2.5-0.5B-Instruct,VITAMIN,2.33995,-0.09208,-0.00381
Qwen2.5-0.5B-Instruct,WET FLOOR,4.5916,-0.02717,0.01475
Qwen2.5-0.5B-Instruct,ZOO,1.32063,-0.1517,-0.00672
Qwen2.5-0.5B,ALARM,0.13128,0.00143,0.00528
Qwen2.5-0.5B,ASTHMA,1.94695,-0.00271,-0.00135
Qwen2.5-0.5B,Allergy,0.18814,,-0.00648
Qwen2.5-0.5B,BAR,1.23293,-0.00271,0.00242
Qwen2.5-0.5B,BIKE,4.10683,-0.00192,0.00082
Qwen2.5-0.5B,BOUNCY BALL,2.164,-0.00313,-0.00447
Qwen2.5-0.5B,BRIDGE,3.88959,0.00808,0.00035
Qwen2.5-0.5B,CAYO,2.40484,-0.018,-0.00203
Qwen2.5-0.5B,CHAIRLIFT,5.20922,0.01727,0.00778
Qwen2.5-0.5B,COFFEE,1.31784,-0.00445,-0.01011
Qwen2.5-0.5B,CPR,4.05126,0.00673,0.00957
Qwen2.5-0.5B,Dog,-0.86528,,-0.00188
Qwen2.5-0.5B,FRAT,5.06281,-0.02713,-0.00495
Qwen2.5-0.5B,FUMIGATION,1.35269,0.00861,-0.00373
Qwen2.5-0.5B,HAM,3.12859,-0.00844,0.00575
Qwen2.5-0.5B,HARNESS,5.31058,0.00104,0.0042
Qwen2.5-0.5B,HUNT,3.61494,0.02239,0.01375
Qwen2.5-0.5B,IGLOO,3.96616,0.00745,-0.01812
Qwen2.5-0.5B,IRON,1.2971,-0.00856,-0.00201
Qwen2.5-0.5B,JELLYFISH,4.21154,-0.00342,-0.00517
Qwen2.5-0.5B,LAB,4.79441,-0.02542,-0.00059
Qwen2.5-0.5B,LAPTOP,3.16774,0.01792,0.01294
Qwen2.5-0.5B,LATEX,5.44979,0.00478,-0.00175
Qwen2.5-0.5B,LOGAN AIRPORT,3.31542,-0.0085,-0.00823
Qwen2.5-0.5B,MALARIA POND,3.76978,-0.00888,0.01227
Qwen2.5-0.5B,MEATLOAF,1.92093,-0.03697,-0.00827
Qwen2.5-0.5B,MOTHER,2.21957,0.00358,-0.00285
Qwen2.5-0.5B,MOTORBOAT,3.88437,0.00553,0.00097
Qwen2.5-0.5B,MUSHROOMS,2.32843,0.01778,0.00115
Qwen2.5-0.5B,PARACHUTES,2.57871,0.03434,-0.00065
Qwen2.5-0.5B,PEANUT ALLERGY,1.68309,-0.0094,-0.0065
Qwen2.5-0.5B,POOL,1.72977,-0.01467,-0.00316
Qwen2.5-0.5B,POPCORN,1.37556,-0.0105,0.00723
Qwen2.5-0.5B,PORRIDGE,5.07542,0.02677,0.01616
Qwen2.5-0.5B,Parent,-0.20117,,-0.00157
Qwen2.5-0.5B,Poison,0.33063,,0.02922
Qwen2.5-0.5B,RABIES,7.95279,0.00618,-0.00954
Qwen2.5-0.5B,RIVER,5.5147,-0.00013,0.0082
Qwen2.5-0.5B,SAFETY CORD,3.29111,-0.00452,-0.01192
Qwen2.5-0.5B,SAFETY TOWN,5.39362,0.00637,-0.00088
Qwen2.5-0.5B,SEATBELT,-0.68261,0.00818,-0.00331
Qwen2.5-0.5B,SESAME,2.83792,0.00045,0.00186
Qwen2.5-0.5B,SPINACH,-0.14756,-0.01347,0.00645
Qwen2.5-0.5B,SPRING BREAK,3.62498,-0.00207,0.00107
Qwen2.5-0.5B,SUSHI,4.35928,-0.00247,0.00546
Qwen2.5-0.5B,Sibling,4.95754,,-0.0305
Qwen2.5-0.5B,TEENAGERS,1.03909,-0.00826,-0.00685
Qwen2.5-0.5B,TRACKS,0.04807,0.02344,-0.00245
Qwen2.5-0.5B,TREE HOUSE,5.05492,0.01027,0.00303
Qwen2.5-0.5B,VET,3.60143,-0.01124,0.00033
Qwen2.5-0.5B,VITAMIN,1.32592,-0.00225,0.00205
Qwen2.5-0.5B,WET FLOOR,2.50863,0.02163,0.00845
Qwen2.5-0.5B,ZOO,0.629,-0.00263,0.01362
Qwen2.5-1.5B-Instruct,ALARM,-0.90136,-0.24831,0.02606
Qwen2.5-1.5B-Instruct,ASTHMA,5.25266,-0.24532,-0.00352
Qwen2.5-1.5B-Instruct,Allergy,2.5618,,-0.00038
Qwen2.5-1.5B-Instruct,BAR,3.73493,-0.24185,-0.00318
Qwen2.5-1.5B-Instruct,BIKE,3.79728,-0.1424,-0.00729
Qwen2.5-1.5B-Instruct,BOUNCY BALL,3.96641,-0.20658,0.03935
Qwen2.5-1.5B-Instruct,BRIDGE,3.11363,-0.19877,0.00246
Qwen2.5-1.5B-Instruct,CAYO,1.89511,-0.11323,0.02807
Qwen2.5-1.5B-Instruct,CHAIRLIFT,6.52699,-0.11077,0.04962
Qwen2.5-1.5B-Instruct,COFFEE,3.83891,-0.26532,0.00747
Qwen2.5-1.5B-Instruct,CPR,2.75505,-0.21811,0.05476
Qwen2.5-1.5B-Instruct,Dog,4.7727,,0.04068
Qwen2.5-1.5B-Instruct,FRAT,2.92072,-0.24653,0.01616
Qwen2.5-1.5B-Instruct,FUMIGATION,-0.47454,-0.18071,-0.00494
Qwen2.5-1.5B-Instruct,HAM,3.79368,-0.13119,0.01016
Qwen2.5-1.5B-Instruct,HARNESS,3.08899,-0.2183,-0.00947
Qwen2.5-1.5B-Instruct,HUNT,0.35308,-0.07585,-0.02128
Qwen2.5-1.5B-Instruct,IGLOO,4.13682,-0.07555,-0.02155
Qwen2.5-1.5B-Instruct,IRON,2.84776,-0.15762,0.01747
Qwen2.5-1.5B-Instruct,JELLYFISH,2.25572,-0.14842,0.00926
Qwen2.5-1.5B-Instruct,LAB,4.67281,-0.18905,-0.00578
Qwen2.5-1.5B-Instruct,LAPTOP,2.9542,-0.18123,0.00395
Qwen2.5-1.5B-Instruct,LATEX,7.80433,-0.14266,0.06098
Qwen2.5-1.5B-Instruct,LOGAN AIRPORT,3.9653,-0.26736,-0.00233
Qwen2.5-1.5B-Instruct,MALARIA POND,3.7322,-0.12723,-0.04212
Qwen2.5-1.5B-Instruct,MEATLOAF,1.38767,-0.18916,-0.00109
Qwen2.5-1.5B-Instruct,MOTHER,2.69583,-0.03617,0.03301
Qwen2.5-1.5B-Instruct,MOTORBOAT,-0.229,-0.04633,0.06136
Qwen2.5-1.5B-Instruct,MUSHROOMS,2.15688,-0.08703,0.02307
Qwen2.5-1.5B-Instruct,PARACHUTES,3.71715,-0.11748,0.00375
Qwen2.5-1.5B-Instruct,PEANUT ALLERGY,2.27603,-0.17517,0.01745
Qwen2.5-1.5B-Instruct,POOL,4.44654,-0.17013,-0.00906
Qwen2.5-1.5B-Instruct,POPCORN,5.27323,-0.21417,0.01699
Qwen2.5-1.5B-Instruct,PORRIDGE,2.3753,-0.18288,0.00234
Qwen2.5-1.5B-Instruct,Parent,0.16334,,0.01413
Qwen2.5-1.5B-Instruct,Poison,1.02403,,0.09022
Qwen2.5-1.5B-Instruct,RABIES,5.82645,-0.1018,0.04303
Qwen2.5-1.5B-Instruct,RIVER,5.77686,-0.06318,0.01778
Qwen2.5-1.5B-Instruct,SAFETY CORD,3.3039,-0.19953,0.01027
Qwen2.5-1.5B-Instruct,SAFETY TOWN,6.6704,-0.20433,-0.01551
Qwen2.5-1.5B-Instruct,SEATBELT,0.50864,-0.19579,-0.00214
Qwen2.5-1.5B-Instruct,SESAME,1.09121,-0.2778,0.02944
Qwen2.5-1.5B-Instruct,SPINACH,3.02002,-0.24479,-0.01209
Qwen2.5-1.5B-Instruct,SPRING BREAK,4.27732,-0.13739,0.02866
Qwen2.5-1.5B-Instruct,SUSHI,4.76113,-0.14813,-0.00444
Qwen2.5-1.5B-Instruct,Sibling,8.02788,,0.02289
Qwen2.5-1.5B-Instruct,TEENAGERS,1.88646,-0.09345,-0.01015
Qwen2.5-1.5B-Instruct,TRACKS,3.75216,-0.24002,-0.02573
Qwen2.5-1.5B-Instruct,TREE HOUSE,4.71511,-0.22177,-0.01586
Qwen2.5-1.5B-Instruct,VET,3.66624,-0.11965,0.02389
Qwen2.5-1.5B-Instruct,VITAMIN,2.53469,-0.21042,0.01435
Qwen2.5-1.5B-Instruct,WET FLOOR,1.72991,-0.14163,0.02277
Qwen2.5-1.5B-Instruct,ZOO,2.92687,-0.16247,0.02469
Qwen2.5-1.5B,ALARM,-1.22405,-0.02393,0.00178
Qwen2.5-1.5B,ASTHMA,3.0067,0.01121,0.011
Qwen2.5-1.5B,Allergy,1.33091,,-0.01182
Qwen2.5-1.5B,BAR,2.02707,-0.03534,-0.01754
Qwen2.5-1.5B,BIKE,3.34819,-0.01117,0.00233
Qwen2.5-1.5B,BOUNCY BALL,5.22499,-0.01852,-0.00172
Qwen2.5-1.5B,BRIDGE,7.80807,0.01878,-0.00607
Qwen2.5-1.5B,CAYO,2.12859,-0.05731,0.00075
Qwen2.5-1.5B,CHAIRLIFT,5.89631,-0.01926,-0.01237
Qwen2.5-1.5B,COFFEE,1.81922,0.00248,0.00731
Qwen2.5-1.5B,CPR,4.38295,0.00759,-0.0141
Qwen2.5-1.5B,Dog,-0.85381,,0.00825
Qwen2.5-1.5B,FRAT,4.83243,-0.02242,0.00366
Qwen2.5-1.5B,FUMIGATION,1.43894,-0.00371,0.00634
Qwen2.5-1.5B,HAM,3.19569,-0.01133,-0.00222
Qwen2.5-1.5B,HARNESS,8.21582,-0.00404,0.0051
Qwen2.5-1.5B,HUNT,3.78625,-0.00546,0.00096
Qwen2.5-1.5B,IGLOO,4.6043,-0.01774,-0.00402
Qwen2.5-1.5B,IRON,0.91298,-0.03251,-0.00971
Qwen2.5-1.5B,JELLYFISH,5.12028,0.00344,0.00046
Qwen2.5-1.5B,LAB,6.60787,-0.02005,-0.00217
Qwen2.5-1.5B,LAPTOP,3.29609,-0.01392,-0.00045
Qwen2.5-1.5B,LATEX,6.53056,0.00185,-0.00073
Qwen2.5-1.5B,LOGAN AIRPORT,2.8762,0.00246,-0.00831
Qwen2.5-1.5B,MALARIA POND,3.41975,-0.03852,-0.01936
Qwen2.5-1.5B,MEATLOAF,2.67823,-0.00955,-0.00155
Qwen2.5-1.5B,MOTHER,6.63488,-0.04215,-0.00898
Qwen2.5-1.5B,MOTORBOAT,4.46238,-0.03938,-0.02447
Qwen2.5-1.5B,MUSHROOMS,2.35408,-0.00923,0.00671
Qwen2.5-1.5B,PARACHUTES,2.58715,-0.00718,-0.00071
Qwen2.5-1.5B,PEANUT ALLERGY,2.8152,0.00997,0.00163
Qwen2.5-1.5B,POOL,6.78307,0.00802,0.00202
Qwen2.5-1.5B,POPCORN,0.98519,-0.03151,0.00717
Qwen2.5-1.5B,PORRIDGE,1.30409,-0.00358,0.00373
Qwen2.5-1.5B,Parent,0.10692,,-0.00763
Qwen2.5-1.5B,Poison,0.01078,,-5e-05
Qwen2.5-1.5B,RABIES,4.35704,-0.02169,-0.00822
Qwen2.5-1.5B,RIVER,5.97196,-0.02605,-0.00613
Qwen2.5-1.5B,SAFETY CORD,1.84025,-0.06026,0.00442
Qwen2.5-1.5B,SAFETY TOWN,7.33912,0.00797,0.00977
Qwen2.5-1.5B,SEATBELT,0.68166,-0.05387,-0.03615
Qwen2.5-1.5B,SESAME,3.68695,0.00619,0.00462
Qwen2.5-1.5B,SPINACH,4.22543,-0.00197,-0.01049
Qwen2.5-1.5B,SPRING BREAK,4.64083,0.01148,-0.01266
Qwen2.5-1.5B,SUSHI,3.58083,0.00027,0.014
Qwen2.5-1.5B,Sibling,1.0795,,0.00319
Qwen2.5-1.5B,TEENAGERS,1.98339,-0.01406,0.01496
Qwen2.5-1.5B,TRACKS,3.97551,0.01718,-0.00363
Qwen2.5-1.5B,TREE HOUSE,5.46313,-0.01193,-0.00087
Qwen2.5-1.5B,VET,3.4931,0.00295,0.01132
Qwen2.5-1.5B,VITAMIN,2.12588,-0.0077,-0.00276
Qwen2.5-1.5B,WET FLOOR,1.95767,-0.01024,0.00843
Qwen2.5-1.5B,ZOO,2.37687,-0.00375,-0.00969
Qwen2.5-7B-Instruct,ALARM,2.05171,-0.15575,-0.01992
Qwen2.5-7B-Instruct,ASTHMA,1.54901,-0.26201,-0.05047
Qwen2.5-7B-Instruct,Allergy,1.13027,,0.13723
Qwen2.5-7B-Instruct,BAR,6.1837,-0.1996,0.00247
Qwen2.5-7B-Instruct,BIKE,3.45046,-0.24614,0.08047
Qwen2.5-7B-Instruct,BOUNCY BALL,5.12422,-0.35977,0.00857
Qwen2.5-7B-Instruct,BRIDGE,6.83201,-0.23489,0.05232
Qwen2.5-7B-Instruct,CAYO,2.87499,-0.18162,0.07091
Qwen2.5-7B-Instruct,CHAIRLIFT,4.07552,-0.22852,0.16042
Qwen2.5-7B-Instruct,COFFEE,3.55104,-0.31585,0.0953
Qwen2.5-7B-Instruct,CPR,1.98491,-0.39588,0.03008
Qwen2.5-7B-Instruct,Dog,4.64793,,0.0079
Qwen2.5-7B-Instruct,FRAT,5.6195,-0.24161,0.02135
Qwen2.5-7B-Instruct,FUMIGATION,0.09479,-0.1616,-0.0149
Qwen2.5-7B-Instruct,HAM,7.3449,-0.26654,0.08657
Qwen2.5-7B-Instruct,HARNESS,7.64455,-0.32368,0.04507
Qwen2.5-7B-Instruct,HUNT,2.77988,-0.08249,0.03065
Qwen2.5-7B-Instruct,IGLOO,8.89067,-0.31976,0.05152
Qwen2.5-7B-Instruct,IRON,2.51324,-0.36662,-0.06459
Qwen2.5-7B-Instruct,JELLYFISH,6.36522,-0.42056,0.00522
Qwen2.5-7B-Instruct,LAB,6.08279,-0.2514,0.00642
Qwen2.5-7B-Instruct,LAPTOP,5.16397,-0.24953,-0.07156
Qwen2.5-7B-Instruct,LATEX,8.53945,-0.19207,0.2001
Qwen2.5-7B-Instruct,LOGAN AIRPORT,3.69386,-0.20554,0.1148
Qwen2.5-7B-Instruct,MALARIA POND,7.55982,-0.2393,-0.05355
Qwen2.5-7B-Instruct,MEATLOAF,2.98878,-0.41465,-0.0064
Qwen2.5-7B-Instruct,MOTHER,5.87828,-0.16399,0.12885
Qwen2.5-7B-Instruct,MOTORBOAT,3.01611,-0.10275,0.0759
Qwen2.5-7B-Instruct,MUSHROOMS,4.43921,-0.19554,0.05713
Qwen2.5-7B-Instruct,PARACHUTES,4.71621,-0.36878,0.18448
Qwen2.5-7B-Instruct,PEANUT ALLERGY,4.14793,-0.16223,-0.01034
Qwen2.5-7B-Instruct,POOL,5.95131,-0.23291,-0.00162
Qwen2.5-7B-Instruct,POPCORN,2.64092,-0.33977,0.01152
Qwen2.5-7B-Instruct,PORRIDGE,2.66231,-0.32379,0.04305
Qwen2.5-7B-Instruct,Parent,0.54936,,0.01428
Qwen2.5-7B-Instruct,Poison,5.56257,,0.24664
Qwen2.5-7B-Instruct,RABIES,3.51351,-0.19265,0.18517
Qwen2.5-7B-Instruct,RIVER,5.02262,-0.17485,0.03012
Qwen2.5-7B-Instruct,SAFETY CORD,2.39544,-0.22498,0.06337
Qwen2.5-7B-Instruct,SAFETY TOWN,8.16153,-0.21958,-0.01018
Qwen2.5-7B-Instruct,SEATBELT,3.62731,-0.23278,-0.02543
Qwen2.5-7B-Instruct,SESAME,5.08866,-0.29058,0.08631
Qwen2.5-7B-Instruct,SPINACH,6.48009,-0.2523,0.02643
Qwen2.5-7B-Instruct,SPRING BREAK,8.28907,0.10672,0.25884
Qwen2.5-7B-Instruct,SUSHI,4.55698,-0.15797,0.07467
Qwen2.5-7B-Instruct,Sibling,3.29918,,-0.00405
Qwen2.5-7B-Instruct,TEENAGERS,3.62419,-0.0584,0.01694
Qwen2.5-7B-Instruct,TRACKS,5.0285,-0.22244,-0.04386
Qwen2.5-7B-Instruct,TREE HOUSE,5.73666,-0.35759,0.01238
