layer,probe_name,cv_acc,cv_std,chance,n,degenerate
9,intent_harm,0.5712,0.1212,0.5,154,False
10,intent_harm,0.6162,0.0771,0.5,154,False
11,intent_harm,0.6238,0.0945,0.5,154,False
12,intent_harm,0.6754,0.059,0.5,154,False
13,intent_harm,0.6671,0.1153,0.5,154,False
14,intent_harm,0.6858,0.0882,0.5,154,False
15,intent_harm,0.6679,0.0479,0.5,154,False
16,intent_harm,0.6675,0.0509,0.5,154,False
17,intent_harm,0.7217,0.073,0.5,154,False
18,intent_harm,0.7154,0.0807,0.5,154,False
19,intent_harm,0.7217,0.0304,0.5,154,False
20,intent_harm,0.72,0.0482,0.5,154,False
21,intent_harm,0.7529,0.0617,0.5,154,False
22,intent_harm,0.7067,0.0564,0.5,154,False
23,intent_harm,0.7079,0.051,0.5,154,False
24,intent_harm,0.7212,0.0585,0.5,154,False
25,intent_harm,0.6637,0.072,0.5,154,False
26,intent_harm,0.6246,0.041,0.5,154,False
27,intent_harm,0.6508,0.0991,0.5,154,False
28,intent_harm,0.67,0.0668,0.5,154,False
0,outcome_innocent,0.5168,0.0149,0.5168,149,True
1,outcome_innocent,0.8331,0.0695,0.5168,149,False
2,outcome_innocent,0.8198,0.0801,0.5168,149,False
3,outcome_innocent,0.9533,0.0452,0.5168,149,False
4,outcome_innocent,0.9129,0.058,0.5168,149,False
5,outcome_innocent,0.8998,0.0555,0.5168,149,False
6,outcome_innocent,0.9262,0.0533,0.5168,149,False
7,outcome_innocent,0.9526,0.0409,0.5168,149,False
8,outcome_innocent,0.9867,0.0163,0.5168,149,False
9,outcome_innocent,0.9933,0.0133,0.5168,149,False
10,outcome_innocent,0.9933,0.0133,0.5168,149,False
11,outcome_innocent,0.9933,0.0133,0.5168,149,False
12,outcome_innocent,0.9933,0.0133,0.5168,149,False
13,outcome_innocent,0.9933,0.0133,0.5168,149,False
14,outcome_innocent,0.9933,0.0133,0.5168,149,False
15,outcome_innocent,0.9933,0.0133,0.5168,149,False
16,outcome_innocent,0.9933,0.0133,0.5168,149,False
17,outcome_innocent,1.0,0.0,0.5168,149,False
18,outcome_innocent,0.9933,0.0133,0.5168,149,False
19,outcome_innocent,1.0,0.0,0.5168,149,False
20,outcome_innocent,0.9933,0.0133,0.5168,149,False
21,outcome_innocent,0.9933,0.0133,0.5168,149,False
22,outcome_innocent,1.0,0.0,0.5168,149,False
23,outcome_innocent,1.0,0.0,0.5168,149,False
24,outcome_innocent,0.9933,0.0133,0.5168,149,False
25,outcome_innocent,1.0,0.0,0.5168,149,False
26,outcome_innocent,1.0,0.0,0.5168,149,False
27,outcome_innocent,1.0,0.0,0.5168,149,False
28,outcome_innocent,1.0,0.0,0.5168,149,False
0,outcome_guilty,0.5168,0.0149,0.5168,149,False
1,outcome_guilty,0.8464,0.0649,0.5168,149,False
2,outcome_guilty,0.8326,0.0411,0.5168,149,False
3,outcome_guilty,0.9267,0.0442,0.5168,149,False
4,outcome_guilty,0.8931,0.0438,0.5168,149,False
5,outcome_guilty,0.9198,0.0263,0.5168,149,False
6,outcome_guilty,0.9133,0.0499,0.5168,149,False
7,outcome_guilty,0.9667,0.0422,0.5168,149,False
8,outcome_guilty,0.9267,0.0646,0.5168,149,False
9,outcome_guilty,0.9933,0.0133,0.5168,149,False
10,outcome_guilty,0.9733,0.0389,0.5168,149,False
11,outcome_guilty,0.9933,0.0133,0.5168,149,False
12,outcome_guilty,0.9867,0.0163,0.5168,149,False
13,outcome_guilty,0.9867,0.0163,0.5168,149,False
14,outcome_guilty,1.0,0.0,0.5168,149,False
15,outcome_guilty,0.9933,0.0133,0.5168,149,False
16,outcome_guilty,0.9933,0.0133,0.5168,149,False
17,outcome_guilty,1.0,0.0,0.5168,149,False
18,outcome_guilty,1.0,0.0,0.5168,149,False
19,outcome_guilty,0.9933,0.0133,0.5168,149,False
20,outcome_guilty,0.9933,0.0133,0.5168,149,False
21,outcome_guilty,0.9867,0.0267,0.5168,149,False
22,outcome_guilty,0.9933,0.0133,0.5168,149,False
23,outcome_guilty,0.9867,0.0267,0.5168,149,False
24,outcome_guilty,0.9867,0.0267,0.5168,149,False
25,outcome_guilty,0.9867,0.0267,0.5168,149,False
26,outcome_guilty,0.98,0.04,0.5168,149,False
27,outcome_guilty,0.98,0.04,0.5168,149,False
28,outcome_guilty,0.98,0.04,0.5168,149,False
