model_a,model_b,contrast_diff,ci_lo,ci_hi,distinguishable
mistralai_Mistral-7B-Instruct-v0_3,unsloth_Meta-Llama-3_1-8B-Instruct,0.2016,0.1726,0.2316,yes
mistralai_Mistral-7B-Instruct-v0_3,Qwen_Qwen2_5-7B-Instruct,0.2382,0.2105,0.2661,yes
mistralai_Mistral-7B-Instruct-v0_3,Qwen_Qwen2_5-3B-Instruct,0.2469,0.2195,0.2751,yes
mistralai_Mistral-7B-Instruct-v0_3,Qwen_Qwen2_5-14B-Instruct,0.3699,0.3296,0.4089,yes
mistralai_Mistral-7B-Instruct-v0_3,allenai_Llama-3_1-Tulu-3-8B,0.4008,0.3611,0.4418,yes
mistralai_Mistral-7B-Instruct-v0_3,unsloth_gemma-2-9b-it,0.4079,0.3534,0.4638,yes
mistralai_Mistral-7B-Instruct-v0_3,allenai_OLMo-2-1124-7B-Instruct,0.6458,0.5865,0.7031,yes
mistralai_Mistral-7B-v0_3,unsloth_gemma-2-9b,0.0002,-0.0011,0.0015,no
mistralai_Mistral-7B-v0_3,allenai_OLMo-2-1124-7B,0.0043,-0.0018,0.0104,no
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-1_5B,0.0128,0.0074,0.0182,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-3B,0.0483,0.0418,0.0544,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-0_5B-Instruct,0.0502,0.0402,0.0612,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-7B,0.0511,0.0442,0.0582,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-14B,0.1257,0.1115,0.139,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-1_5B-Instruct,0.1665,0.1498,0.1832,yes
mistralai_Mistral-7B-v0_3,unsloth_Meta-Llama-3_1-8B-Instruct,0.2016,0.1726,0.2316,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-7B-Instruct,0.2382,0.2105,0.2661,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-3B-Instruct,0.2469,0.2195,0.2751,yes
mistralai_Mistral-7B-v0_3,Qwen_Qwen2_5-14B-Instruct,0.3699,0.3296,0.4089,yes
mistralai_Mistral-7B-v0_3,allenai_Llama-3_1-Tulu-3-8B,0.4008,0.3611,0.4418,yes
mistralai_Mistral-7B-v0_3,unsloth_gemma-2-9b-it,0.4079,0.3534,0.4638,yes
mistralai_Mistral-7B-v0_3,allenai_OLMo-2-1124-7B-Instruct,0.6458,0.5865,0.7031,yes
unsloth_gemma-2-9b,allenai_OLMo-2-1124-7B,0.0041,-0.0016,0.0098,no
unsloth_gemma-2-9b,Qwen_Qwen2_5-1_5B,0.0126,0.0067,0.0185,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-3B,0.0481,0.0414,0.0545,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-0_5B-Instruct,0.0501,0.0399,0.0607,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-7B,0.0509,0.0438,0.058,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-14B,0.1255,0.1111,0.1394,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-1_5B-Instruct,0.1663,0.1494,0.1828,yes
unsloth_gemma-2-9b,unsloth_Meta-Llama-3_1-8B-Instruct,0.2014,0.1724,0.2311,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-7B-Instruct,0.238,0.211,0.2662,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-3B-Instruct,0.2467,0.2195,0.2742,yes
unsloth_gemma-2-9b,Qwen_Qwen2_5-14B-Instruct,0.3697,0.3288,0.4086,yes
unsloth_gemma-2-9b,allenai_Llama-3_1-Tulu-3-8B,0.4006,0.3611,0.4413,yes
unsloth_gemma-2-9b,unsloth_gemma-2-9b-it,0.4078,0.3536,0.4632,yes
unsloth_gemma-2-9b,allenai_OLMo-2-1124-7B-Instruct,0.6456,0.5867,0.7027,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-1_5B,0.0085,-0.001,0.0178,no
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-3B,0.044,0.035,0.0529,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-0_5B-Instruct,0.0459,0.0341,0.0578,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-7B,0.0468,0.0372,0.0563,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-14B,0.1214,0.1059,0.1364,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-1_5B-Instruct,0.1622,0.1453,0.1791,yes
allenai_OLMo-2-1124-7B,unsloth_Meta-Llama-3_1-8B-Instruct,0.1973,0.1687,0.2272,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-7B-Instruct,0.2339,0.2052,0.2635,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-3B-Instruct,0.2426,0.2159,0.2698,yes
allenai_OLMo-2-1124-7B,Qwen_Qwen2_5-14B-Instruct,0.3656,0.324,0.4053,yes
allenai_OLMo-2-1124-7B,allenai_Llama-3_1-Tulu-3-8B,0.3965,0.3579,0.4358,yes
allenai_OLMo-2-1124-7B,unsloth_gemma-2-9b-it,0.4036,0.3482,0.4602,yes
allenai_OLMo-2-1124-7B,allenai_OLMo-2-1124-7B-Instruct,0.6415,0.5838,0.6954,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-3B,0.0355,0.0265,0.044,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-0_5B-Instruct,0.0375,0.0256,0.0503,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-7B,0.0383,0.0283,0.0479,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-14B,0.1129,0.0982,0.127,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-1_5B-Instruct,0.1537,0.1332,0.1728,yes
Qwen_Qwen2_5-1_5B,unsloth_Meta-Llama-3_1-8B-Instruct,0.1889,0.1585,0.2185,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-7B-Instruct,0.2254,0.1976,0.255,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-3B-Instruct,0.2342,0.204,0.2656,yes
Qwen_Qwen2_5-1_5B,Qwen_Qwen2_5-14B-Instruct,0.3571,0.3171,0.3953,yes
Qwen_Qwen2_5-1_5B,allenai_Llama-3_1-Tulu-3-8B,0.3881,0.3464,0.4303,yes
Qwen_Qwen2_5-1_5B,unsloth_gemma-2-9b-it,0.3952,0.3413,0.4508,yes
Qwen_Qwen2_5-1_5B,allenai_OLMo-2-1124-7B-Instruct,0.6331,0.5733,0.6907,yes
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-0_5B-Instruct,0.0019,-0.0084,0.0127,no
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-7B,0.0028,-0.0049,0.0105,no
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-14B,0.0774,0.0634,0.0908,yes
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-1_5B-Instruct,0.1182,0.1014,0.1351,yes
Qwen_Qwen2_5-3B,unsloth_Meta-Llama-3_1-8B-Instruct,0.1533,0.1256,0.1816,yes
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-7B-Instruct,0.1899,0.1637,0.2169,yes
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-3B-Instruct,0.1986,0.172,0.2254,yes
Qwen_Qwen2_5-3B,Qwen_Qwen2_5-14B-Instruct,0.3216,0.2805,0.362,yes
Qwen_Qwen2_5-3B,allenai_Llama-3_1-Tulu-3-8B,0.3525,0.3137,0.3923,yes
Qwen_Qwen2_5-3B,unsloth_gemma-2-9b-it,0.3596,0.3055,0.4156,yes
Qwen_Qwen2_5-3B,allenai_OLMo-2-1124-7B-Instruct,0.5975,0.5398,0.6528,yes
Qwen_Qwen2_5-0_5B-Instruct,Qwen_Qwen2_5-7B,0.0009,-0.0111,0.0115,no
Qwen_Qwen2_5-0_5B-Instruct,Qwen_Qwen2_5-14B,0.0754,0.0606,0.09,yes
Qwen_Qwen2_5-0_5B-Instruct,Qwen_Qwen2_5-1_5B-Instruct,0.1162,0.0995,0.133,yes
Qwen_Qwen2_5-0_5B-Instruct,unsloth_Meta-Llama-3_1-8B-Instruct,0.1514,0.1264,0.1771,yes
Qwen_Qwen2_5-0_5B-Instruct,Qwen_Qwen2_5-7B-Instruct,0.1879,0.163,0.2149,yes
Qwen_Qwen2_5-0_5B-Instruct,Qwen_Qwen2_5-3B-Instruct,0.1967,0.1708,0.2222,yes
Qwen_Qwen2_5-0_5B-Instruct,Qwen_Qwen2_5-14B-Instruct,0.3196,0.2811,0.357,yes
Qwen_Qwen2_5-0_5B-Instruct,allenai_Llama-3_1-Tulu-3-8B,0.3506,0.3152,0.3862,yes
Qwen_Qwen2_5-0_5B-Instruct,unsloth_gemma-2-9b-it,0.3577,0.3036,0.4122,yes
Qwen_Qwen2_5-0_5B-Instruct,allenai_OLMo-2-1124-7B-Instruct,0.5956,0.5378,0.6489,yes
Qwen_Qwen2_5-7B,Qwen_Qwen2_5-14B,0.0746,0.0608,0.0881,yes
Qwen_Qwen2_5-7B,Qwen_Qwen2_5-1_5B-Instruct,0.1154,0.099,0.131,yes
Qwen_Qwen2_5-7B,unsloth_Meta-Llama-3_1-8B-Instruct,0.1505,0.122,0.1796,yes
Qwen_Qwen2_5-7B,Qwen_Qwen2_5-7B-Instruct,0.1871,0.163,0.2125,yes
Qwen_Qwen2_5-7B,Qwen_Qwen2_5-3B-Instruct,0.1958,0.1687,0.223,yes
Qwen_Qwen2_5-7B,Qwen_Qwen2_5-14B-Instruct,0.3188,0.2779,0.3579,yes
Qwen_Qwen2_5-7B,allenai_Llama-3_1-Tulu-3-8B,0.3497,0.3113,0.3888,yes
Qwen_Qwen2_5-7B,unsloth_gemma-2-9b-it,0.3568,0.3021,0.4128,yes
Qwen_Qwen2_5-7B,allenai_OLMo-2-1124-7B-Instruct,0.5947,0.5363,0.6494,yes
Qwen_Qwen2_5-14B,Qwen_Qwen2_5-1_5B-Instruct,0.0408,0.0192,0.0629,yes
Qwen_Qwen2_5-14B,unsloth_Meta-Llama-3_1-8B-Instruct,0.0759,0.0461,0.1056,yes
Qwen_Qwen2_5-14B,Qwen_Qwen2_5-7B-Instruct,0.1125,0.0868,0.1389,yes
Qwen_Qwen2_5-14B,Qwen_Qwen2_5-3B-Instruct,0.1212,0.0912,0.1502,yes
Qwen_Qwen2_5-14B,Qwen_Qwen2_5-14B-Instruct,0.2442,0.2081,0.2795,yes
Qwen_Qwen2_5-14B,allenai_Llama-3_1-Tulu-3-8B,0.2751,0.237,0.3146,yes
Qwen_Qwen2_5-14B,unsloth_gemma-2-9b-it,0.2823,0.2271,0.3366,yes
Qwen_Qwen2_5-14B,allenai_OLMo-2-1124-7B-Instruct,0.5201,0.4623,0.5744,yes
Qwen_Qwen2_5-1_5B-Instruct,unsloth_Meta-Llama-3_1-8B-Instruct,0.0352,0.0057,0.0638,yes
Qwen_Qwen2_5-1_5B-Instruct,Qwen_Qwen2_5-7B-Instruct,0.0717,0.0446,0.0997,yes
Qwen_Qwen2_5-1_5B-Instruct,Qwen_Qwen2_5-3B-Instruct,0.0805,0.056,0.1067,yes
Qwen_Qwen2_5-1_5B-Instruct,Qwen_Qwen2_5-14B-Instruct,0.2034,0.1598,0.2467,yes
Qwen_Qwen2_5-1_5B-Instruct,allenai_Llama-3_1-Tulu-3-8B,0.2344,0.1988,0.2706,yes
Qwen_Qwen2_5-1_5B-Instruct,unsloth_gemma-2-9b-it,0.2415,0.1831,0.301,yes
Qwen_Qwen2_5-1_5B-Instruct,allenai_OLMo-2-1124-7B-Instruct,0.4794,0.4204,0.5339,yes
unsloth_Meta-Llama-3_1-8B-Instruct,Qwen_Qwen2_5-7B-Instruct,0.0366,0.0073,0.0657,yes
unsloth_Meta-Llama-3_1-8B-Instruct,Qwen_Qwen2_5-3B-Instruct,0.0453,0.0144,0.0764,yes
unsloth_Meta-Llama-3_1-8B-Instruct,Qwen_Qwen2_5-14B-Instruct,0.1683,0.1272,0.2081,yes
unsloth_Meta-Llama-3_1-8B-Instruct,allenai_Llama-3_1-Tulu-3-8B,0.1992,0.1645,0.2341,yes
unsloth_Meta-Llama-3_1-8B-Instruct,unsloth_gemma-2-9b-it,0.2063,0.1565,0.2581,yes
unsloth_Meta-Llama-3_1-8B-Instruct,allenai_OLMo-2-1124-7B-Instruct,0.4442,0.3876,0.4984,yes
Qwen_Qwen2_5-7B-Instruct,Qwen_Qwen2_5-3B-Instruct,0.0088,-0.0198,0.0415,no
Qwen_Qwen2_5-7B-Instruct,Qwen_Qwen2_5-14B-Instruct,0.1317,0.0877,0.1726,yes
Qwen_Qwen2_5-7B-Instruct,allenai_Llama-3_1-Tulu-3-8B,0.1626,0.1309,0.1927,yes
Qwen_Qwen2_5-7B-Instruct,unsloth_gemma-2-9b-it,0.1698,0.1177,0.2249,yes
Qwen_Qwen2_5-7B-Instruct,allenai_OLMo-2-1124-7B-Instruct,0.4077,0.3523,0.4638,yes
Qwen_Qwen2_5-3B-Instruct,Qwen_Qwen2_5-14B-Instruct,0.123,0.0786,0.1662,yes
Qwen_Qwen2_5-3B-Instruct,allenai_Llama-3_1-Tulu-3-8B,0.1539,0.1216,0.1853,yes
Qwen_Qwen2_5-3B-Instruct,unsloth_gemma-2-9b-it,0.161,0.1072,0.2143,yes
Qwen_Qwen2_5-3B-Instruct,allenai_OLMo-2-1124-7B-Instruct,0.3989,0.3469,0.4474,yes
Qwen_Qwen2_5-14B-Instruct,allenai_Llama-3_1-Tulu-3-8B,0.0309,-0.0132,0.0775,no
Qwen_Qwen2_5-14B-Instruct,unsloth_gemma-2-9b-it,0.0381,-0.0174,0.0912,no
Qwen_Qwen2_5-14B-Instruct,allenai_OLMo-2-1124-7B-Instruct,0.2759,0.2219,0.3292,yes
allenai_Llama-3_1-Tulu-3-8B,unsloth_gemma-2-9b-it,0.0071,-0.0531,0.0695,no
allenai_Llama-3_1-Tulu-3-8B,allenai_OLMo-2-1124-7B-Instruct,0.245,0.1892,0.2943,yes
unsloth_gemma-2-9b-it,allenai_OLMo-2-1124-7B-Instruct,0.2379,0.1856,0.2943,yes
