story_id,llm_either,raw
YS2008-HARNESS-attempted,0,NO
YS2008-HARNESS-intentional,1,YES
YS2008-IGLOO-neutral,1,YES
YS2008-IGLOO-accidental,1,YES
YS2008-IGLOO-attempted,1,YES
YS2008-IGLOO-intentional,1,YES
YS2008-HAM-neutral,0,NO
YS2008-HAM-accidental,1,YES
YS2008-HAM-attempted,1,YES
YS2008-HAM-intentional,1,YES
YS2008-POPCORN-neutral,0,NO
YS2008-POPCORN-accidental,1,YES
YS2008-POPCORN-attempted,1,YES
YS2008-POPCORN-intentional,1,YES
YS2008-VET-neutral,0,NO
YS2008-VET-accidental,1,YES
YS2008-VET-attempted,0,NO
YS2008-VET-intentional,1,YES
YS2008-CHAIRLIFT-neutral,0,NO
YS2008-CHAIRLIFT-accidental,1,YES
YS2008-CHAIRLIFT-attempted,1,YES
YS2008-CHAIRLIFT-intentional,1,YES
YS2008-SAFETY TOWN-neutral,0,NO
YS2008-SAFETY TOWN-accidental,1,YES
YS2008-SAFETY TOWN-attempted,0,NO
YS2008-SAFETY TOWN-intentional,0,NO
YS2008-MALARIA POND-neutral,1,YES
YS2008-MALARIA POND-accidental,0,NO
YS2008-MALARIA POND-attempted,1,YES
YS2008-MALARIA POND-intentional,1,YES
YS2008-HUNT-neutral,1,YES
YS2008-HUNT-accidental,1,YES
YS2008-HUNT-attempted,1,YES
YS2008-HUNT-intentional,1,YES
YS2008-SPINACH-neutral,0,NO
YS2008-SPINACH-accidental,1,YES
YS2008-SPINACH-attempted,0,NO
YS2008-SPINACH-intentional,1,YES
YS2008-PEANUT ALLERGY-neutral,0,NO
YS2008-PEANUT ALLERGY-accidental,1,YES
YS2008-PEANUT ALLERGY-attempted,0,NO
YS2008-PEANUT ALLERGY-intentional,1,YES
YS2008-ALARM-neutral,1,YES
YS2008-ALARM-accidental,1,YES
YS2008-ALARM-attempted,0,NO
YS2008-ALARM-intentional,1,YES
YS2008-SAFETY CORD-neutral,1,YES
YS2008-SAFETY CORD-accidental,1,YES
YS2008-SAFETY CORD-attempted,1,YES
YS2008-SAFETY CORD-intentional,1,YES
YS2008-ZOO-neutral,0,NO
YS2008-ZOO-accidental,1,YES
YS2008-ZOO-attempted,1,YES
YS2008-ZOO-intentional,1,YES
YS2008-BAR-neutral,1,YES
YS2008-BAR-accidental,1,YES
YS2008-BAR-attempted,0,NO
YS2008-BAR-intentional,1,YES
YS2008-SUSHI-neutral,1,YES
YS2008-SUSHI-accidental,1,YES
YS2008-SUSHI-attempted,1,YES
YS2008-SUSHI-intentional,1,YES
YS2008-CAYO-neutral,0,NO
YS2008-CAYO-accidental,1,YES
YS2008-CAYO-attempted,0,NO
YS2008-CAYO-intentional,1,YES
YS2008-FUMIGATION-neutral,1,YES
YS2008-FUMIGATION-accidental,1,YES
YS2008-FUMIGATION-attempted,1,YES
YS2008-FUMIGATION-intentional,1,YES
YS2008-PORRIDGE-neutral,0,NO
YS2008-PORRIDGE-accidental,1,YES
YS2008-PORRIDGE-attempted,1,YES
YS2008-PORRIDGE-intentional,1,YES
YS2008-BOUNCY BALL-neutral,0,NO
YS2008-BOUNCY BALL-accidental,1,YES
YS2008-BOUNCY BALL-attempted,0,NO
YS2008-BOUNCY BALL-intentional,1,YES
YS2008-PARACHUTES-neutral,0,NO
YS2008-PARACHUTES-accidental,1,YES
YS2008-PARACHUTES-attempted,0,NO
YS2008-PARACHUTES-intentional,1,YES
YS2008-RABIES-neutral,0,NO
YS2008-RABIES-accidental,1,YES
YS2008-RABIES-attempted,1,YES
YS2008-RABIES-intentional,1,YES
YS2008-FRAT-neutral,0,NO
YS2008-FRAT-accidental,1,YES
YS2008-FRAT-attempted,1,YES
YS2008-FRAT-intentional,1,YES
YS2008-TREE HOUSE-neutral,1,YES
YS2008-TREE HOUSE-accidental,1,YES
YS2008-TREE HOUSE-attempted,0,NO
YS2008-TREE HOUSE-intentional,1,YES
YS2008-SPRING BREAK-neutral,1,YES
YS2008-SPRING BREAK-accidental,1,YES
YS2008-SPRING BREAK-attempted,1,YES
YS2008-SPRING BREAK-intentional,1,YES
YS2008-CPR-neutral,1,YES
YS2008-CPR-accidental,1,YES
YS2008-CPR-attempted,1,YES
YS2008-CPR-intentional,1,YES
YS2008-MOTHER-neutral,1,YES
YS2008-MOTHER-accidental,1,YES
YS2008-MOTHER-attempted,1,YES
YS2008-MOTHER-intentional,1,YES
YS2008-SEATBELT-neutral,1,YES
YS2008-SEATBELT-accidental,1,YES
YS2008-SEATBELT-attempted,1,YES
YS2008-SEATBELT-intentional,1,YES
YS2008-WET FLOOR-neutral,1,YES
YS2008-WET FLOOR-accidental,1,YES
YS2008-WET FLOOR-attempted,1,YES
YS2008-WET FLOOR-intentional,1,YES
YS2008-TEENAGERS-neutral,1,YES
YS2008-TEENAGERS-accidental,1,YES
YS2008-TEENAGERS-attempted,1,YES
YS2008-TEENAGERS-intentional,1,YES
YS2008-LAPTOP-neutral,1,YES
YS2008-LAPTOP-accidental,1,YES
YS2008-LAPTOP-attempted,1,YES
YS2008-LAPTOP-intentional,1,YES
YS2009-YS2009_01-neutral,1,YES
YS2009-YS2009_01-accidental,1,YES
YS2009-YS2009_01-attempted,1,YES
YS2009-YS2009_01-intentional,1,YES
YS2009-YS2009_02-neutral,1,YES
YS2009-YS2009_02-accidental,1,YES
YS2009-YS2009_02-attempted,1,YES
YS2009-YS2009_02-intentional,1,YES
YS2009-YS2009_03-neutral,1,YES
YS2009-YS2009_03-accidental,1,YES
YS2009-YS2009_03-attempted,1,YES
YS2009-YS2009_03-intentional,1,YES
YS2009-YS2009_04-neutral,1,YES
YS2009-YS2009_04-accidental,1,YES
YS2009-YS2009_04-attempted,1,YES
YS2009-YS2009_04-intentional,1,YES
YS2009-YS2009_05-neutral,1,YES
YS2009-YS2009_05-accidental,0,NO
YS2009-YS2009_05-attempted,1,YES
YS2009-YS2009_05-intentional,1,YES
YS2009-YS2009_06-neutral,1,YES
YS2009-YS2009_06-accidental,1,YES
YS2009-YS2009_06-attempted,1,YES
YS2009-YS2009_06-intentional,1,YES
YS2009-YS2009_07-neutral,0,NO
YS2009-YS2009_07-accidental,1,YES
YS2009-YS2009_07-attempted,0,NO
YS2009-YS2009_07-intentional,1,YES
YS2009-YS2009_08-neutral,0,NO
YS2009-YS2009_08-accidental,1,YES
YS2009-YS2009_08-attempted,1,YES
YS2009-YS2009_08-intentional,1,YES
YS2009-YS2009_09-neutral,1,YES
YS2009-YS2009_09-accidental,1,YES
YS2009-YS2009_09-attempted,1,YES
YS2009-YS2009_09-intentional,1,YES
YS2009-YS2009_10-neutral,0,NO
YS2009-YS2009_10-accidental,1,YES
YS2009-YS2009_10-attempted,1,YES
YS2009-YS2009_10-intentional,1,YES
YS2009-YS2009_11-neutral,1,YES
YS2009-YS2009_11-accidental,1,YES
YS2009-YS2009_11-attempted,1,YES
YS2009-YS2009_11-intentional,1,YES
YS2009-YS2009_12-neutral,1,YES
YS2009-YS2009_12-accidental,1,YES
YS2009-YS2009_12-attempted,1,YES
YS2009-YS2009_12-intentional,1,YES
YS2009-YS2009_13-neutral,1,YES
YS2009-YS2009_13-accidental,1,YES
YS2009-YS2009_13-attempted,1,YES
YS2009-YS2009_13-intentional,1,YES
YS2009-YS2009_14-neutral,1,YES
YS2009-YS2009_14-accidental,1,YES
YS2009-YS2009_14-attempted,1,YES
YS2009-YS2009_14-intentional,1,YES
YS2009-YS2009_15-neutral,1,YES
YS2009-YS2009_15-accidental,1,YES
YS2009-YS2009_15-attempted,1,YES
YS2009-YS2009_15-intentional,1,YES
YS2009-YS2009_16-neutral,1,YES
YS2009-YS2009_16-accidental,1,YES
YS2009-YS2009_16-attempted,1,YES
YS2009-YS2009_16-intentional,1,YES
YS2009-YS2009_17-neutral,1,YES
YS2009-YS2009_17-accidental,0,NO
YS2009-YS2009_17-attempted,1,YES
YS2009-YS2009_17-intentional,1,YES
YS2009-YS2009_18-neutral,1,YES
YS2009-YS2009_18-accidental,1,YES
YS2009-YS2009_18-attempted,1,YES
YS2009-YS2009_18-intentional,1,YES
YS2009-YS2009_19-neutral,1,YES
YS2009-YS2009_19-accidental,1,YES
YS2009-YS2009_19-attempted,0,NO
YS2009-YS2009_19-intentional,0,NO
YS2009-YS2009_20-neutral,1,YES
YS2009-YS2009_20-accidental,1,YES
YS2009-YS2009_20-attempted,1,YES
YS2009-YS2009_20-intentional,1,YES
YS2009-YS2009_21-neutral,0,NO
YS2009-YS2009_21-accidental,1,YES
YS2009-YS2009_21-attempted,0,NO
YS2009-YS2009_21-intentional,1,YES
YS2009-YS2009_22-neutral,1,YES
YS2009-YS2009_22-accidental,1,YES
YS2009-YS2009_22-attempted,1,YES
YS2009-YS2009_22-intentional,1,YES
YS2009-YS2009_23-neutral,0,NO
YS2009-YS2009_23-accidental,1,YES
YS2009-YS2009_23-attempted,1,YES
YS2009-YS2009_23-intentional,1,YES
YS2009-YS2009_24-neutral,1,YES
YS2009-YS2009_24-accidental,1,YES
YS2009-YS2009_24-attempted,1,YES
YS2009-YS2009_24-intentional,1,YES
YS2011-Allergy-intentional,1,YES
YS2011-Allergy-accidental,1,YES
YS2011-Poison-intentional,1,YES
YS2011-Poison-accidental,1,YES
YS2011-Sibling-intentional,0,NO
YS2011-Sibling-accidental,0,NO
YS2011-Parent-intentional,0,NO
YS2011-Parent-accidental,0,NO
YS2011-Dog-intentional,0,NO
YS2011-Dog-accidental,1,YES
