layer,depth_frac,direction,alpha,a_max,typical_norm,contrast,dcontrast,ppl_ratio,refusal_delta,degenerate_frac,answer_rate,coherent,intent_probe_cv_acc,intent_acc_unsteered,intent_acc_steered,intent_d_acc,intent_margin_shift_sd,cell_neutral,cell_accidental,cell_attempted,cell_intentional
19,0.679,intent_dom,0.2,0.2,79.77,-0.0636,0.2031,1.167,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.6407,0.8961,0.8278,0.8564
19,0.679,intent_probe,-0.2,0.2,79.77,-0.2578,0.0089,0.944,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.316,0.7981,0.5437,0.7539
19,0.679,intent_probe,-0.1,0.2,79.77,-0.2621,0.0046,0.954,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.312,0.8002,0.5413,0.7557
19,0.679,intent_probe,0.1,0.2,79.77,-0.2707,-0.0041,1.062,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.3138,0.8089,0.5404,0.7706
19,0.679,intent_probe,0.2,0.2,79.77,-0.2707,-0.004,1.129,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.3234,0.818,0.5482,0.7804
19,0.679,outcome_dom,-0.2,0.2,79.77,-0.1362,0.1305,0.995,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.1523,0.4195,0.2933,0.4083
19,0.679,outcome_dom,-0.1,0.2,79.77,-0.1868,0.0798,0.976,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.209,0.5701,0.3814,0.5628
19,0.679,outcome_dom,0.1,0.2,79.77,-0.0904,0.1762,1.025,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.5184,0.891,0.8009,0.8675
19,0.679,outcome_dom,0.2,0.2,79.77,-0.0599,0.2068,1.016,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.8125,0.9485,0.8917,0.9322
19,0.679,random0,-0.2,0.2,79.77,-0.2698,-0.0032,0.959,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.3265,0.8077,0.5408,0.7708
19,0.679,random0,-0.1,0.2,79.77,-0.2686,-0.0019,0.978,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.3164,0.807,0.5415,0.7677
19,0.679,random0,0.1,0.2,79.77,-0.262,0.0047,1.026,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.3091,0.7963,0.5366,0.7523
19,0.679,random0,0.2,0.2,79.77,-0.2528,0.0139,1.057,0.0,0.0,1.0,True,0.8693,0.8691,0.8691,0.0,0.0,0.31,0.786,0.5349,0.7436
24,0.857,intent_dom,-0.8,0.8,182.25,-0.0,0.2666,1.097,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.0,0.0001,0.0,0.0
24,0.857,intent_dom,-0.4,0.8,182.25,-0.2242,0.0425,0.966,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.0331,0.3668,0.1136,0.3181
24,0.857,intent_dom,0.4,0.8,182.25,-0.0336,0.2331,1.072,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.6944,0.8351,0.8016,0.8327
24,0.857,intent_dom,0.8,0.8,182.25,-0.0043,0.2623,1.285,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.8113,0.837,0.8291,0.8387
24,0.857,intent_probe,-0.8,0.8,182.25,-0.2863,-0.0197,1.132,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.2998,0.7985,0.5129,0.7462
24,0.857,intent_probe,-0.4,0.8,182.25,-0.2706,-0.0039,0.941,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.3032,0.812,0.5415,0.7679
24,0.857,intent_probe,0.4,0.8,182.25,-0.27,-0.0034,1.139,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.3036,0.7845,0.5165,0.7418
24,0.857,intent_probe,0.8,0.8,182.25,-0.2842,-0.0175,1.385,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.2632,0.7619,0.4772,0.7179
24,0.857,outcome_dom,-0.8,0.8,182.25,-0.003,0.2636,1.424,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.0052,0.0127,0.0102,0.0112
24,0.857,outcome_dom,-0.4,0.8,182.25,-0.1489,0.1178,1.017,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.0643,0.3185,0.1647,0.2813
24,0.857,outcome_dom,0.4,0.8,182.25,-0.0783,0.1883,1.042,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.8368,0.9119,0.8356,0.8853
24,0.857,outcome_dom,0.8,0.8,182.25,-0.0806,0.1861,1.256,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.8848,0.9812,0.9063,0.9748
24,0.857,random0,-0.8,0.8,182.25,-0.2761,-0.0095,1.198,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.2616,0.7965,0.5259,0.7531
24,0.857,random0,-0.4,0.8,182.25,-0.2717,-0.005,0.96,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.2919,0.797,0.5291,0.7524
24,0.857,random0,0.4,0.8,182.25,-0.2724,-0.0057,1.263,0.0,0.0,1.0,True,0.906,0.906,0.906,0.0,0.0,0.3117,0.8062,0.5359,0.7648
24,0.857,random0,0.8,0.8,182.25,-0.2898,-0.0231,1.607,0.0,0.0,1.0,False,0.906,0.906,0.906,0.0,0.0,0.3001,0.8025,0.5147,0.7541
27,0.964,intent_dom,-0.4,0.4,351.77,-0.0957,0.171,0.962,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.0092,0.1688,0.0239,0.1309
27,0.964,intent_dom,-0.2,0.4,351.77,-0.3395,-0.0729,0.953,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.1489,0.6703,0.3198,0.6154
27,0.964,intent_dom,0.2,0.4,351.77,-0.1178,0.1489,1.107,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.5747,0.8256,0.7145,0.8187
27,0.964,intent_dom,0.4,0.4,351.77,-0.0159,0.2507,1.287,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.7601,0.8248,0.8179,0.8231
27,0.964,intent_probe,-0.4,0.4,351.77,-0.2793,-0.0127,1.071,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.2935,0.7978,0.5226,0.7519
27,0.964,intent_probe,-0.2,0.4,351.77,-0.2732,-0.0065,1.024,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.3025,0.8029,0.5327,0.7587
27,0.964,intent_probe,0.2,0.4,351.77,-0.2595,0.0072,1.001,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.3191,0.8008,0.5438,0.7602
27,0.964,intent_probe,0.4,0.4,351.77,-0.2518,0.0149,1.04,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.3271,0.796,0.5464,0.7572
27,0.964,outcome_dom,-0.4,0.4,351.77,-0.1177,0.1489,0.917,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.0765,0.2543,0.1528,0.2314
27,0.964,outcome_dom,-0.2,0.4,351.77,-0.1664,0.1003,0.924,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.1687,0.5013,0.3132,0.4802
27,0.964,outcome_dom,0.2,0.4,351.77,-0.0208,0.2459,1.132,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.7401,0.8425,0.8258,0.838
27,0.964,outcome_dom,0.4,0.4,351.77,-0.0208,0.2459,1.397,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.8334,0.8518,0.8334,0.8461
27,0.964,random0,-0.4,0.4,351.77,-0.2656,0.0011,0.993,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.3134,0.7801,0.5136,0.739
27,0.964,random0,-0.2,0.4,351.77,-0.2676,-0.0009,0.977,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.3133,0.7951,0.529,0.7534
27,0.964,random0,0.2,0.4,351.77,-0.2649,0.0017,1.048,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.3067,0.8069,0.5459,0.7649
27,0.964,random0,0.4,0.4,351.77,-0.2625,0.0042,1.123,0.0,0.0,1.0,True,0.8691,0.8691,0.8691,0.0,0.0,0.3012,0.808,0.5511,0.7666
