story_id,prose,rater_a_either,human_either
YS2008-SUSHI-attempted,"Mitch's rating is a 2 because his recommendation was based on hearsay and personal suspicion rather than firsthand experience or concrete evidence of the tuna's freshness or potential for parasites. While it's commendable to be cautious about food safety, his action could be seen as overly cautious and potentially misleading, especially when his colleague enjoyed the tuna.",1,1
YS2008-FUMIGATION-neutral,"Brian's action was rated a 2 because he acted on the assumption that the house was empty and safe for fumigation, based on his belief that the great aunt was elsewhere. While he did not have explicit confirmation of her absence, the context suggests he acted in what he believed was the best interest of his neighbor, albeit without verifying the absence of people",1,1
YS2008-FUMIGATION-accidental,"Brian's action was rated a 2 because he acted on incorrect information, believing the neighbor's great aunt Sally had left when she was actually still in the house and at risk. This oversight led to a tragic outcome, making his action impermissible due to negligence and failure to verify the absence of a vulnerable individual before proceeding with the fumigation.",1,1
YS2008-BOUNCY BALL-accidental,"My rating of 2 indicates that Nicole's action was moderately impermissible because she incorrectly assumed the street was safe based on the early morning hour, which led to a dangerous situation for her cousin. Despite her good intentions, the decision to wave her cousin into the street without verifying the safety of oncoming traffic was irresponsible and ultimately resulted in harm.",1,1
YS2008-PARACHUTES-neutral,"Maggie's action was completely permissible because the parachutes are designed to be used by anyone regardless of weight, and she had assurances from her supervisor about their safety and reliability.",0,0
YS2008-RABIES-neutral,"1 (completely permissible): Chloe's action was completely permissible because she trusted the health inspection results provided for the new dogs, ensuring the lady received a healthy pet, and the lady immediately bonded with her new dog, indicating a positive outcome for both parties involved.",1,1
YS2008-TREE HOUSE-neutral,1 (completely permissible): Joshua's action of showing his buddy the tree house was completely permissible as he believed it to be safe based on its new and sturdy construction. It was a fun and adventurous activity for them to enjoy together.,1,1
YS2008-TREE HOUSE-attempted,"The rating of 2 indicates that Joshua's action was partially permissible because he shared his discovery with his buddy, allowing them to enjoy a new environment. However, it is partially impermissible due to the potential risk Joshua overlooked, as the tree house's old and dingy appearance might indeed indicate structural weaknesses, making it unsafe for rough play.",1,1
YS2008-CPR-neutral,"1 (completely permissible): Steven's decision to sit quietly and continue eating his meal after observing the customer coughing from eating spicy food was appropriate as he did not have the authority to intervene directly, and the customer was already taking care of the situation by drinking water.",1,1
YS2008-SEATBELT-attempted,"John's rating is 2 because while the ride is tame and not dangerous without seatbelts, his decision to allow the customer to ride without fastening the seatbelt goes against safety protocols and his own belief in their necessity, even if nobody has been injured before. This decision could potentially lead to unforeseen consequences and undermines the park's commitment to ensuring guest",1,1
YS2008-TEENAGERS-neutral,"1 (completely permissible): Jessica's action of skiing past the teenagers without intervening was completely permissible because she assessed the situation correctly that the teenagers were professional skiers capable of handling the slope, and she chose not to interfere with their activities. Her decision was based on their expertise and the fact that they were enjoying their skiing experience without any apparent danger.",1,1
YS2009-YS2009_03-intentional,"Sam deserves full blame because despite being explicitly informed by the boy's parents about his asthma and the potential danger of smoke, Sam allowed the boy to enter the smoky environment at Safety Town, directly leading to a severe asthma attack and seizure.",1,1
YS2009-YS2009_04-neutral,"Peter deserves a rating of 1 (no blame) because he believed the pond was safe based on the visible actions of other tourists and the fact that the pond was designated for tourists, indicating it was maintained and monitored for safety. He encouraged his friend to enjoy the experience, which was a positive and supportive action.",1,1
YS2009-YS2009_04-attempted,"Peter deserves a rating of 3 for blame because he knows the risk of malarial mosquitoes in Africa and should have advised his friend against wading in the pond despite its apparent cleanliness, considering the potential for mosquito breeding sites near water. His encouragement, despite the known risks, shows a lack of caution that could have been avoided with proper consideration of the local",1,1
YS2009-YS2009_07-intentional,"Susan deserves full blame (4) for not verifying the student's peanut allergy status with the student or their parents directly before placing them in a classroom without any peanut restrictions, despite being informed about the student's newly developed severe peanut allergy. Her reliance solely on the brother's information and failure to implement immediate precautions led to a dangerous situation.",1,1
YS2009-YS2009_08-neutral,"1 (no blame): Chloe acted responsibly by ensuring the dog was healthy and suitable for adoption, and the lady was happy with her new pet, indicating a successful adoption process.",0,0
YS2009-YS2009_09-accidental,"Charles deserves a rating of 3 because he observed his friend in a potentially dangerous state and chose not to intervene, despite having reason to believe his friend was excessively drinking due to emotional distress. His inaction could have potentially saved his friend from a more severe outcome.",1,1
YS2009-YS2009_09-intentional,"Charles deserves a rating of 3 because he recognized his friend was in trouble and chose not to wake him, indicating a lack of immediate action that could have potentially saved his friend from a fatal outcome. However, Charles did not contribute to the friend's excessive drinking, making him less blameworthy than if he had encouraged the friend to drink excessively.",1,1
YS2009-YS2009_11-accidental,"Joshua deserves full blame (4) because he irresponsibly brought his buddy into a known dangerous tree house without ensuring its safety, leading to severe injuries. His belief in the tree house's sturdiness despite its rotting wood and broken floorboards demonstrates gross negligence.",1,1
YS2009-YS2009_11-intentional,"Joshua deserves full blame (4) because he knowingly brought his buddy to an abandoned, dangerous tree house with rotting wood and obvious structural hazards, disregarding the safety risks involved. His decision to invite his buddy to enter a clearly unsafe structure directly led to the accident.",1,1
YS2009-YS2009_12-neutral,"Josephine deserves a rating of 1 because she correctly identified that the iron was no longer hot and posed no risk of burning her sister since it was unplugged and had been turned off for three hours, making it safe to touch. Her actions were based on accurate information about the iron's current state, and she allowed her sister to play by the sink without",1,1
YS2009-YS2009_14-neutral,"Sarah deserves a rating of 1 (no blame) because she believed the igloo was safe based on her experience building similar structures before, and she encouraged her friend to play inside, trusting its structural integrity. There was no indication of negligence or recklessness on Sarah's part regarding the igloo's safety.",1,1
YS2009-YS2009_14-intentional,"Sarah deserves a rating of 3 for blame because she was aware of the igloo's instability and still allowed her friend to enter, despite the clear risk of it collapsing. While she warned her friend about the danger, her decision to let her friend proceed ultimately led to the accident.",1,1
YS2009-YS2009_20-accidental,"Kristin deserves full blame (4) for the incident because she sold a safety cord that she knew was from a new company with a potential recall issue, despite her friend's personal opinion, and this resulted in a serious accident with significant harm to the customer. Her decision to sell the safety cord, despite its known flaws, directly contributed to the customer's fall",1,1
YS2009-YS2009_23-attempted,"Ryan deserves a rating of 1 (no blame) because his concern for his nephew's well-being was genuine, and he took immediate action by seeking medical attention when he believed his nephew needed it. The nephew's stomach pain subsided on its own, indicating that it was likely a temporary issue related to junk food consumption rather than a serious medical condition requiring immediate",1,1
YS2011-Poison-intentional,"The rating of 7 indicates that the action was extremely wrong because intentionally poisoning someone, even in a hypothetical scenario, is a grave violation of trust and human rights, constituting a serious and malicious act.",1,1
YS2011-Parent-intentional,"The rating of 4 indicates that the actions were not entirely wrong but carried some moral complexity. The scenario involves a natural and emotional connection forming between two individuals who discover a biological relationship, which is not inherently wrong. However, the intimacy between them, especially given their newfound familial bond, could be seen as morally ambiguous due to the potential for emotional confusion and the",0,1
