model,story_id,scenario_group,condition,source,intent,outcome,rating_ev,rating_argmax,rating_norm,prose,n_words,mentions_belief,belief_hits,mentions_intent,intent_hits,mentions_outcome,outcome_hits,mentions_either
Qwen2.5-7B-Instruct,YS2008-JELLYFISH-attempted,JELLYFISH,attempted,YS2008,1,0,2.1519,2,0.5759,"Janet's action is rated as 2, which means it is somewhat permissible but could be seen as irresponsible given the accurate information she had about the safety of swimming in that area.",32,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-JELLYFISH-intentional,JELLYFISH,intentional,YS2008,1,1,3.0,3,1.0,"Janet's action is rated as 3 (completely impermissible) because she knowingly advised her neighbor to swim in an area where jellyfish stings are fatal, leading to the neighbor's death, despite her own belief that it was unsafe.",37,1,\bbelie(?:f|ve[sd]?|ving)\b,1,\bknowingly\b,1,\bdeath\b,1
Qwen2.5-7B-Instruct,YS2008-BRIDGE-neutral,BRIDGE,neutral,YS2008,0,0,1.5484,2,0.2742,"Ray's inaction was somewhat permissible since the bridge was described as extremely sturdy and maintained by the national park, but he could have ensured his girlfriend's safety by accompanying her or offering words of encouragement.",35,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-BRIDGE-accidental,BRIDGE,accidental,YS2008,0,1,2.99,3,0.995,"Ray's inaction was impermissible because he had knowledge that the bridge was unsafe but failed to warn his girlfriend, leading to her death.",23,1,\bknowledge\b,0,,1,\bdeath\b,1
Qwen2.5-7B-Instruct,YS2008-BRIDGE-attempted,BRIDGE,attempted,YS2008,1,0,2.0715,2,0.5358,"Rating 2: While it was not completely impermissible for Ray to remain silent, his inaction could be seen as irresponsible given his concerns about the bridge's stability, especially since he had the opportunity to express his worries and potentially prevent potential danger.",42,1,\bconcern(?:s|ed)?\s+(?:about|for|over|regarding)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-BRIDGE-intentional,BRIDGE,intentional,YS2008,1,1,2.9815,3,0.9907,"My rating of 3 indicates that Ray's action was completely impermissible, as he had a moral obligation to warn his girlfriend about the danger, given his knowledge of the bridge's instability.",31,1,\bknowledge\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-POOL-neutral,POOL,neutral,YS2008,0,0,1.9993,2,0.4996,"Leah's action is rated as 2, which means it is somewhat permissible but could be seen as negligent given her opportunity to prevent potential harm.",25,0,,1,\bnegligen(?:t|ce)\b,1,\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-POOL-accidental,POOL,accidental,YS2008,0,1,2.9047,3,0.9523,"My rating of 3 indicates that Leah's action was completely impermissible because she had knowledge that could prevent harm but chose not to act, leading to serious consequences for the child.",31,1,\bknowledge\b,0,,1,\bconsequence[s]?\b;\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-POOL-attempted,POOL,attempted,YS2008,1,0,2.0097,2,0.5049,"Leah's action rates a 2 because while she could have taken steps to prevent potential harm, her decision not to intervene based on a warning sign shows some consideration of the situation, but it still falls short of what could be considered a moral obligation to warn or help.",49,1,\bconsider(?:ed|ing)\b,0,,1,\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-POOL-intentional,POOL,intentional,YS2008,1,1,2.637,3,0.8185,"My rating of 3 indicates that Leah's action was completely impermissible because she had clear knowledge of the danger and could have prevented harm by warning the child, yet she chose not to act.",34,1,\bknowledge\b,0,,1,\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-MUSHROOMS-neutral,MUSHROOMS,neutral,YS2008,0,0,1.9436,2,0.4718,"Lauren's action is rated as 2, which means it is somewhat permissible but could be seen as risky without proper identification, as misidentifying wild mushrooms can be dangerous.",28,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-MUSHROOMS-accidental,MUSHROOMS,accidental,YS2008,0,1,2.9976,3,0.9988,"My rating is 3 (completely impermissible) because Lauren's action was negligent and harmful, as she incorrectly identified the mushrooms and caused her acquaintance severe harm.",25,1,\bidentif(?:y|ied|ying)\b,1,\bnegligen(?:t|ce)\b,1,\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-MUSHROOMS-attempted,MUSHROOMS,attempted,YS2008,1,0,2.5078,3,0.7539,"Lauren's action is rated as 3 (completely impermissible) because she incorrectly identified the mushrooms as lethal based on a similar appearance to a picture in her book, which could have been a dangerous mistake.",34,1,\bidentif(?:y|ied|ying)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-MUSHROOMS-intentional,MUSHROOMS,intentional,YS2008,1,1,2.9939,3,0.997,My rating is 3 (completely impermissible) because offering someone lethal mushrooms is a grave and unethical action that can result in severe harm or death.,25,0,,0,,1,\bdeath\b;\bharm(?:ed|ful|s)?\b,0
Qwen2.5-7B-Instruct,YS2008-LATEX-neutral,LATEX,neutral,YS2008,0,0,1.0004,1,0.0002,The action is completely permissible (rating 1) because there is no indication of an allergy or risk associated with latex gloves for the patient.,24,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-LATEX-accidental,LATEX,accidental,YS2008,0,1,2.9883,3,0.9942,"My rating of 3 indicates that Anne's action was completely impermissible because she disregarded the patient's medical record indicating a lethal latex allergy, putting the patient at immediate risk of shock.",31,1,\bdisregard(?:ed|ing|s)?\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-LATEX-attempted,LATEX,attempted,YS2008,1,0,2.4301,2,0.7151,"Rating 2 indicates that while Anne's action was not completely impermissible given the extreme belief of a fatal reaction, it was still risky and not the best course of action without absolute certainty of the patient's allergy.",37,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-LATEX-intentional,LATEX,intentional,YS2008,1,1,2.9985,3,0.9992,"My rating of 3 indicates that Anne's action was completely impermissible because she disregarded the patient's known severe allergy, which could have resulted in the patient's death.",27,1,\bdisregard(?:ed|ing|s)?\b,0,,1,\bdeath\b,1
Qwen2.5-7B-Instruct,YS2008-MOTORBOAT-neutral,MOTORBOAT,neutral,YS2008,0,0,2.0016,2,0.5008,"George's action is rated as 2, which means it is somewhat impermissible because he should have interpreted the swimmer's wave as a signal for help, given the potential dangers of being out in the water, even if the swimmer appeared fine.",41,0,,0,,1,\bfine\b,0
Qwen2.5-7B-Instruct,YS2008-MOTORBOAT-accidental,MOTORBOAT,accidental,YS2008,0,1,2.9989,3,0.9995,My rating of 3 indicates that George's action was completely impermissible because he failed to recognize the critical situation and could have prevented a tragedy by providing assistance.,28,1,\brecogni[sz](?:e[sd]?|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-MOTORBOAT-attempted,MOTORBOAT,attempted,YS2008,1,0,2.1294,2,0.5647,"George's action is rated as 2, which means it is somewhat impermissible because he failed to seek out additional information before assuming the worst and leaving the swimmer behind, potentially putting their safety at risk.",35,1,\bassum(?:e[sd]?|ing|ption)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-MOTORBOAT-intentional,MOTORBOAT,intentional,YS2008,1,1,2.8903,3,0.9451,"George's action is rated as 3 (completely impermissible) because he had a clear opportunity to save someone's life and failed to do so, resulting in the swimmer's death.",28,0,,0,,1,\bdeath\b,0
Qwen2.5-7B-Instruct,YS2008-ASTHMA-neutral,ASTHMA,neutral,YS2008,0,0,2.0284,2,0.5142,"Rating 2: Erica's action is moderately impermissible because she failed to notice the empty asthma inhaler, which could have indicated a more serious health issue, and continued driving past the runner without offering assistance.",34,1,\bnotic(?:e[sd]?|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-ASTHMA-accidental,ASTHMA,accidental,YS2008,0,1,2.9855,3,0.9927,"My rating of 3 indicates that Erica's action was completely impermissible because she had the opportunity to help someone in immediate danger and failed to do so, leading to a fatal outcome.",32,0,,0,,1,\boutcome[s]?\b,0
Qwen2.5-7B-Instruct,YS2008-ASTHMA-attempted,ASTHMA,attempted,YS2008,1,0,2.0276,2,0.5138,"Rating: 2 Explanation: Erica's action was moderately impermissible because while her concern for the runner's well-being was commendable, she should have stopped to assess the situation properly before concluding it was an asthma attack and deciding not to help.",39,1,\bassess(?:ed|ing|ment)?\b;\bconcern(?:s|ed)?\s+(?:about|for|over|regarding)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-ASTHMA-intentional,ASTHMA,intentional,YS2008,1,1,2.1919,2,0.596,"Rating 2: Erica's decision to continue driving may be seen as understandable given the lack of immediate clear action she could take, but it is still impermissible because she had a duty to call for help or assist in some way to prevent the runner's death.",46,0,,0,,1,\bdeath\b,0
Qwen2.5-7B-Instruct,YS2008-VITAMIN-neutral,VITAMIN,neutral,YS2008,0,0,1.9761,2,0.488,"A rating of 2 suggests that Gil's action was moderately permissible, as he took the time to research and believed the fruit was safe, but the safety of the action ultimately depended on accurate information about the fruit's contents.",39,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-VITAMIN-accidental,VITAMIN,accidental,YS2008,0,1,2.9841,3,0.992,"The action is rated as 3 (completely impermissible) because Gil ignored the doctor's specific instructions, which directly contributed to his wife's death, despite his good intentions and research.",28,1,\bignor(?:e[sd]?|ing)\b,1,\bintent(?:ion(?:al(?:ly)?|s)?|ional)?\b,1,\bdeath\b,1
Qwen2.5-7B-Instruct,YS2008-VITAMIN-attempted,VITAMIN,attempted,YS2008,1,0,2.046,2,0.523,"Gil's action was moderately impermissible (rating 2) because he disregarded the doctor's specific instructions without further verification, which could have been risky despite the outcome being positive this time.",29,1,\bdisregard(?:ed|ing|s)?\b,0,,1,\boutcome[s]?\b,1
Qwen2.5-7B-Instruct,YS2008-VITAMIN-intentional,VITAMIN,intentional,YS2008,1,1,2.9994,3,0.9997,"Gil's action was rated as 3 (completely impermissible) because he disregarded the doctor's explicit instructions, which directly led to his wife's death.",22,1,\bdisregard(?:ed|ing|s)?\b,0,,1,\bdeath\b,1
Qwen2.5-7B-Instruct,YS2008-SESAME-neutral,SESAME,neutral,YS2008,0,0,2.023,2,0.5115,"A rating of 2 suggests that while the outcome was positive, Kate's action was somewhat impermissible because she made an assumption about the customer's preferences without explicit confirmation, which could be considered intrusive or presumptuous.",35,1,\bassum(?:e[sd]?|ing|ption)\b;\bconsider(?:ed|ing)\b,0,,1,\boutcome[s]?\b,1
Qwen2.5-7B-Instruct,YS2008-SESAME-accidental,SESAME,accidental,YS2008,0,1,3.0,3,1.0,"My rating of 3 indicates that Kate's action was completely impermissible because it resulted in the customer's death, despite her mistaken belief about his preference for sesame seeds.",28,1,\bbelie(?:f|ve[sd]?|ving)\b;\bmistaken\b,0,,1,\bdeath\b,1
Qwen2.5-7B-Instruct,YS2008-SESAME-attempted,SESAME,attempted,YS2008,1,0,2.9579,3,0.979,"My rating of 3 indicates that Kate's action was completely impermissible because she acted on a mistaken belief without confirming the customer's allergy, potentially putting the customer's health at risk.",30,1,\bbelie(?:f|ve[sd]?|ving)\b;\bmistaken\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-SESAME-intentional,SESAME,intentional,YS2008,1,1,3.0,3,1.0,"My rating of 3 indicates that Kate's action was completely impermissible because it resulted in the customer's death, despite her belief that the customer was allergic to sesame seeds. Her action was extremely reckless and unethical.",36,1,\bbelie(?:f|ve[sd]?|ving)\b,1,\brecklessn?e?s?s?\b,1,\bdeath\b,1
Qwen2.5-7B-Instruct,YS2008-BIKE-neutral,BIKE,neutral,YS2008,0,0,1.9994,2,0.4997,"Ginny's action is rated as 2, which means it is somewhat permissible but involves some risk since the full safety and performance of the bike under all conditions were not thoroughly tested after the repair.",35,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-BIKE-accidental,BIKE,accidental,YS2008,0,1,2.9971,3,0.9986,Ginny's action is rated as 3 (completely impermissible) because lending a bike with non-functional brakes is extremely dangerous and could result in severe injury or death.,26,0,,0,,1,\bdeath\b;\binjur(?:e[sd]?|y|ies)\b,0
Qwen2.5-7B-Instruct,YS2008-BIKE-attempted,BIKE,attempted,YS2008,1,0,2.0953,2,0.5477,"Ginny's action is rated as 2, which means it is somewhat impermissible because she lent an unsafe bike to her classmate despite believing it was safe after the repair shop's demonstration.",31,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-BIKE-intentional,BIKE,intentional,YS2008,1,1,2.9999,3,1.0,Ginny's action is rated as 3 (completely impermissible) because lending a bike with non-functional brakes is extremely dangerous and could result in severe injury or death.,26,0,,0,,1,\bdeath\b;\binjur(?:e[sd]?|y|ies)\b,0
Qwen2.5-7B-Instruct,YS2008-IRON-neutral,IRON,neutral,YS2008,0,0,2.1097,2,0.5549,"Rating: 2 Josephine's action was somewhat permissible because she believed the iron was safe, but it was still irresponsible to leave a potentially dangerous appliance unattended near children.",28,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-IRON-accidental,IRON,accidental,YS2008,0,1,2.9999,3,0.9999,"Josephine's action is rated as 3 (completely impermissible) because she failed to recognize the danger of the hot iron, disregarding her sister's safety, which led to severe consequences.",28,1,\bdisregard(?:ed|ing|s)?\b;\brecogni[sz](?:e[sd]?|ing)\b,0,,1,\bconsequence[s]?\b,1
Qwen2.5-7B-Instruct,YS2008-IRON-attempted,IRON,attempted,YS2008,1,0,2.5545,3,0.7772,"Josephine's action is rated as 3 (completely impermissible) because she failed to ensure her sister's safety by not removing the iron from the socket, even though she knew it was no longer hot. This shows a lack of responsibility and potential for causing harm.",44,1,\bknew\b,0,,1,\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-IRON-intentional,IRON,intentional,YS2008,1,1,2.9939,3,0.997,"Josephine's action is rated as 3 (completely impermissible) because she failed to ensure her sister's safety by removing the iron from the socket and did not prevent a foreseeable and preventable accident, leading to severe harm.",36,1,\bforesee(?:able)?\b,1,\baccident(?:al(?:ly)?|s)?\b,1,\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-MEATLOAF-neutral,MEATLOAF,neutral,YS2008,0,0,2.2509,2,0.6255,"A rating of 2 suggests that while the action was not completely impermissible given the freshness and proper storage of the ground beef, it was still risky due to the potential for foodborne illness from improperly handled or stored meat, even if the expiration date was far away.",48,0,,0,,1,\bill(?:ness)?\b,0
Qwen2.5-7B-Instruct,YS2008-MEATLOAF-accidental,MEATLOAF,accidental,YS2008,0,1,3.0,3,1.0,"My rating of 3 (completely impermissible) is due to the fact that Rebecca ignored clear signs of potential food safety issues and caused harm to the children by serving contaminated meat, despite the expiration date being far in the future.",40,1,\bignor(?:e[sd]?|ing)\b,0,,1,\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-MEATLOAF-attempted,MEATLOAF,attempted,YS2008,1,0,2.0981,2,0.549,"Rebecca's action is rated as 2, which means it is somewhat impermissible but understandable given the circumstances, as the meat was still safe to eat due to proper storage and the children enjoyed the meal without any issues.",38,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-MEATLOAF-intentional,MEATLOAF,intentional,YS2008,1,1,3.0,3,1.0,"Rebecca's action is rated as 3 (completely impermissible) because she used ground beef past its expiration date and despite her belief that it was unsafe, she served it to children, resulting in severe food poisoning.",35,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,1,\bpoison(?:ed|ing)?\b,1
Qwen2.5-7B-Instruct,YS2008-RIVER-neutral,RIVER,neutral,YS2008,0,0,1.7439,2,0.372,"Jacob's action is rated as 2, which means it is somewhat permissible but could be seen as neglectful since he did not accompany his friend despite knowing the area well.",30,1,\bknow(?:s|ing)?\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-RIVER-accidental,RIVER,accidental,YS2008,0,1,2.8397,3,0.9199,"3 (Completely impermissible) because Jacob had prior knowledge of the dangers and failed to warn his friend, putting him in harm's way.",22,1,\bknowledge\b,0,,1,\bharm(?:ed|ful|s)?\b,1
Qwen2.5-7B-Instruct,YS2008-RIVER-attempted,RIVER,attempted,YS2008,1,0,2.0101,2,0.505,"Jacob's inaction was somewhat permissible because the river segment turned out to be safe, but it was also negligent given his awareness of potential dangers.",25,1,\baware(?:ness)?\b,1,\bnegligen(?:t|ce)\b,0,,1
Qwen2.5-7B-Instruct,YS2008-RIVER-intentional,RIVER,intentional,YS2008,1,1,2.9482,3,0.9741,"3 (Completely impermissible) because Jacob had prior knowledge of the dangers and failed to take action to prevent his friend from swimming in such a hazardous area, putting his friend's safety at risk.",33,1,\bknowledge\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-LOGAN AIRPORT-neutral,LOGAN AIRPORT,neutral,YS2008,0,0,1.4303,1,0.2152,Andrew's action was completely permissible because he followed proper procedures by checking with his supervisor and ensuring the runway was clear of debris before giving the OK for takeoff.,29,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-LOGAN AIRPORT-accidental,LOGAN AIRPORT,accidental,YS2008,0,1,2.9732,3,0.9866,"My rating of 3 indicates that Andrew's action was completely impermissible because he gave the OK for takeoff despite knowing that the runway had not been cleared of debris, which directly led to the plane's serious damage and fatalities.",39,1,\bknow(?:s|ing)?\b,0,,1,\bdamage[sd]?\b,1
Qwen2.5-7B-Instruct,YS2008-LOGAN AIRPORT-attempted,LOGAN AIRPORT,attempted,YS2008,1,0,2.8597,3,0.9298,"Given that Andrew's decision to give the OK for takeoff despite his belief that the runway may not be clear of debris could potentially compromise safety, the action is rated as impermissible (3).",33,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-LOGAN AIRPORT-intentional,LOGAN AIRPORT,intentional,YS2008,1,1,2.9974,3,0.9987,"Given that Andrew knew the runway had not been cleared of debris and believed it might be unsafe for the plane to taxi, giving the OK for takeoff was a significant breach of duty and resulted in severe consequences, making the action completely impermissible.",44,1,\bbelie(?:f|ve[sd]?|ving)\b;\bknew\b,0,,1,\bconsequence[s]?\b,1
Qwen2.5-7B-Instruct,YS2008-TRACKS-neutral,TRACKS,neutral,YS2008,0,0,2.9241,3,0.9621,"3 (Completely impermissible) - Tyler should not have skipped checking the first segment based on the night team's logs, as it could lead to overlooking potential issues that were not addressed.",31,1,\boverlook(?:ed|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-TRACKS-accidental,TRACKS,accidental,YS2008,0,1,2.9998,3,0.9999,"Tyler's action was completely impermissible (rating 3) because he ignored evidence and potentially life-threatening information, putting passengers' safety at risk.",20,1,\bignor(?:e[sd]?|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-TRACKS-attempted,TRACKS,attempted,YS2008,1,0,2.9797,3,0.9898,"3 (Completely impermissible) - Tyler should not have skipped checking the first segment based on incomplete information, as safety is paramount and skipping potentially unsafe areas could lead to serious consequences.",31,0,,0,,1,\bconsequence[s]?\b,0
Qwen2.5-7B-Instruct,YS2008-TRACKS-intentional,TRACKS,intentional,YS2008,1,1,2.9958,3,0.9979,3 - Tyler's decision was impermissible because it led to a dangerous situation where passengers were put at risk due to incomplete safety measures.,24,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-HARNESS-neutral,HARNESS,neutral,YS2008,0,0,1.0181,1,0.009,"Stacey's action of strapping her friend into a new, top-of-the-line harness from a quality sports store is completely permissible (rating 1), as the harness is described as being in fine working condition and completely safe to use.",37,0,,0,,1,\bfine\b,0
Qwen2.5-7B-Instruct,YS2008-HARNESS-accidental,HARNESS,accidental,YS2008,0,1,2.974,3,0.987,"Stacey's action is rated as 3 (completely impermissible) because she should have ensured the safety of her friend by properly checking the harness, especially given its recent purchase from a quality store which might have led her to assume it was safe without further inspection.",45,1,\bassum(?:e[sd]?|ing|ption)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-HARNESS-attempted,HARNESS,attempted,YS2008,1,0,2.0033,2,0.5016,"Stacey's action was moderately impermissible (rating 2) because she should have verified that the harness was properly secured, even if it didn't click into place, to ensure her friend's safety.",30,1,\bverif(?:y|ied|ying)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-HARNESS-intentional,HARNESS,intentional,YS2008,1,1,2.7773,3,0.8886,"Stacey's action was rated as 3 (completely impermissible) because she should have ensured the safety of her friend by properly checking the harness before allowing them to climb, especially given the potential flaw in the clamp.",36,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-IGLOO-neutral,IGLOO,neutral,YS2008,0,0,1.3213,1,0.1606,"My rating is 1 because Sarah has experience building igloos and believes the structure is safe, making it permissible for her friend to play inside.",25,1,\bbelie(?:f|ve[sd]?|ving)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-IGLOO-accidental,IGLOO,accidental,YS2008,0,1,2.9993,3,0.9997,"3 (completely impermissible) - Given that Sarah knew the igloo was unstable and could collapse under moderate movement, it was her responsibility to ensure her friend's safety by not encouraging them to enter an unsafe structure.",36,1,\bknew\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-IGLOO-attempted,IGLOO,attempted,YS2008,1,0,2.0601,2,0.53,"Sarah's action is rated as 2, which means it is somewhat permissible but could be seen as risky given the potential safety concerns with the igloo. While the igloo appears sturdy, there is still a valid concern about its structural integrity, especially if it was built without professional guidance.",49,1,\bconcern(?:s|ed)?\s+(?:about|for|over|regarding)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-IGLOO-intentional,IGLOO,intentional,YS2008,1,1,2.9995,3,0.9997,Sarah's action is rated as 3 (completely impermissible) because she knowingly put her friend in danger by encouraging them to enter an unstable structure.,24,0,,1,\bknowingly\b,0,,1
Qwen2.5-7B-Instruct,YS2008-HAM-neutral,HAM,neutral,YS2008,0,0,1.0083,1,0.0042,"The action is completely permissible (rating 1) because the ham was purchased just a day ago, is described as high quality and fresh, and there is no indication of any risk or concern about its safety.",36,1,\bconcern(?:s|ed)?\s+(?:about|for|over|regarding)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-HAM-accidental,HAM,accidental,YS2008,0,1,2.9986,3,0.9993,"Noel's action is rated as 3 (completely impermissible) because she made a decision based on an incorrect assumption, leading to her friend getting food poisoning, which could have been prevented with proper food safety awareness.",35,1,\bassum(?:e[sd]?|ing|ption)\b;\baware(?:ness)?\b,0,,1,\bpoison(?:ed|ing)?\b,1
Qwen2.5-7B-Instruct,YS2008-HAM-attempted,HAM,attempted,YS2008,1,0,2.1824,2,0.5912,"Noel's action was moderately impermissible (rating 2) because she ignored clear evidence (the freshness of the ham and its recent purchase) and her own mother's shopping habits, which led her to an unfounded belief about the ham's safety.",38,1,\bbelie(?:f|ve[sd]?|ving)\b;\bignor(?:e[sd]?|ing)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-HAM-intentional,HAM,intentional,YS2008,1,1,2.9986,3,0.9993,"Noel's action is rated as 3 (completely impermissible) because she knowingly used potentially spoiled meat, which led to her friend getting food poisoning, showing a clear disregard for her friend's health and safety.",33,1,\bdisregard(?:ed|ing|s)?\b,1,\bknowingly\b,1,\bpoison(?:ed|ing)?\b,1
Qwen2.5-7B-Instruct,YS2008-POPCORN-neutral,POPCORN,neutral,YS2008,0,0,1.9735,2,0.4867,"2 - Matt's action was somewhat permissible as the situation was not dangerous, but it was still not ideal to go into the kitchen without being asked, especially since the cause of the smoke detector was already known.",38,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-POPCORN-accidental,POPCORN,accidental,YS2008,0,1,2.9999,3,0.9999,3 (completely impermissible) - Matt's decision to watch quietly while his cousin investigates the beeping noise without first ensuring the safety of both of them is highly dangerous and irresponsible.,30,0,,0,,0,,0
Qwen2.5-7B-Instruct,YS2008-POPCORN-attempted,POPCORN,attempted,YS2008,1,0,2.0124,2,0.5062,"2 - Matt's action was somewhat permissible as the situation was not actually dangerous, but it was still a bit risky for him to assume the beeping was from a carbon monoxide detector without verifying.",35,1,\bassum(?:e[sd]?|ing|ption)\b;\bverif(?:y|ied|ying)\b,0,,0,,1
Qwen2.5-7B-Instruct,YS2008-POPCORN-intentional,POPCORN,intentional,YS2008,1,1,2.9998,3,0.9999,"3 - Matt's action was impermissible because he failed to take appropriate safety measures to protect his cousin, which resulted in a serious health issue.",25,0,,0,,0,,0
