story_id,prose,rater_a_either,human_either
YS2008-HUNT-accidental,"My rating of 3 indicates that Mike's action is completely impermissible because he failed to prevent his friend from taking a potentially lethal action based on a mistaken belief, which resulted in the death of an innocent person.",1,1
YS2008-BAR-intentional,"Kevin's action of leaving without trying to intervene is understandable given the situation, but it could have been more permissible if he had attempted to help his sister get home safely or called for assistance. Thus, a rating of 2.",1,0
YS2008-SUSHI-attempted,"My rating of 3 indicates that Mitch's action was completely impermissible because he recommended a dish he believed could be unsafe due to potential parasite risks, despite positive feedback from others.",1,1
YS2008-FUMIGATION-neutral,"My rating of 3 indicates that Brian's action was completely impermissible because he proceeded with fumigating the house without knowing that Great Aunt Sally was away and unaware of her actual location, potentially putting her at risk.",1,1
YS2008-FUMIGATION-accidental,"My rating of 3 indicates that Brian's action was completely impermissible because he made an incorrect assumption about his neighbor's great aunt's whereabouts, leading to her death due to exposure to poisonous fumes.",1,1
YS2008-BOUNCY BALL-accidental,Nicole's action is rated as 3 (completely impermissible) because she disregarded the clear danger posed by the fast-approaching cars and put her cousin at risk by waving them out to retrieve the ball.,1,1
YS2008-PARACHUTES-neutral,"My rating of 1 indicates that Maggie's action was completely permissible, as she followed her supervisor's assurances about the parachute's safety and the customer experienced a successful jump.",0,0
YS2008-RABIES-neutral,"Chloe's action is completely permissible (rating 1) because she is acting within the scope of her duties to place healthy, suitable dogs in good homes.",0,0
YS2008-TREE HOUSE-neutral,"A rating of 2 suggests that while Joshua's action was not completely impermissible, it was also not entirely without risk, given that the tree house's origin as abandoned means its structural integrity cannot be guaranteed without proper inspection.",0,0
YS2008-TREE HOUSE-attempted,"My rating of 3 indicates that Joshua's action is completely impermissible because he incorrectly assessed the safety of the tree house based on its appearance, putting his buddy at risk without proper evaluation of its structural integrity.",1,1
YS2008-CPR-neutral,"Steven's action was completely permissible (rating 1) because he observed a situation and made a reasonable assumption based on the context, then chose to remain discreetly observant rather than intervening unnecessarily.",1,1
YS2008-SEATBELT-attempted,"A rating of 2 suggests that while John's action was not completely impermissible given the ride's nature, it was also not entirely justified, as he chose to ignore the customer's safety in favor of maintaining the status quo.",1,1
YS2008-TEENAGERS-neutral,"Jessica's action is rated as 2, which means it is somewhat permissible but could have been better to ensure safety, given her belief that the teenagers might not be aware of the risks due to her assumptions about their expertise.",1,1
YS2009-YS2009_03-intentional,"Sam deserves a moderate amount of blame (rating 3) because while he had reason to believe the boy would have a bad reaction, he still allowed the boy to enter the smoking house without taking additional precautions or informing the instructors about the child's condition.",1,1
YS2009-YS2009_04-neutral,"Peter deserves a moderate amount of blame (rating 2) because he encouraged his friend to wade in without considering potential risks, even though the water was safe.",1,1
YS2009-YS2009_04-attempted,"Peter deserves a moderate amount of blame (rating 2) because he encouraged his friend to wade in the pond despite his concerns about malaria-carrying mosquitoes, which could have been a reasonable precaution given the location.",1,1
YS2009-YS2009_07-intentional,"Susan deserves a moderate amount of blame (rating 3) because while she took steps to review health forms and place the student appropriately, she did not anticipate the immediate and severe reaction, which is challenging to predict.",1,1
YS2009-YS2009_08-neutral,Chloe deserves no blame (1) because she acted based on the information that the dogs had undergone a thorough health inspection and her action resulted in a positive outcome for both the dog and the new owner.,1,1
YS2009-YS2009_09-accidental,"Charles deserves a moderate amount of blame (rating 3) because he failed to recognize the dangerous situation his friend was in and did not attempt to wake him or seek help, which could have potentially prevented the tragic outcome.",1,1
YS2009-YS2009_09-intentional,"Charles deserves a moderate amount of blame (rating 3) because he failed to intervene despite recognizing the severity of his friend's condition, which likely contributed to the tragic outcome.",1,1
YS2009-YS2009_11-accidental,"Joshua deserves a rating of 3 blame because he was negligent in assessing the safety of the tree house and should have prevented his buddy from entering such a dangerous structure. However, his buddy also bears some responsibility for not recognizing the risks.",1,1
YS2009-YS2009_11-intentional,"Joshua deserves a moderate amount of blame (rating 3) because he invited his buddy into a clearly dangerous situation without assessing the risks, which contributed to the accident.",1,1
YS2009-YS2009_12-neutral,"Josephine deserves a moderate amount of blame (rating 3) because she underestimated the safety of the iron and failed to ensure her sister's safety, even though the iron was not hot at the time.",1,1
YS2009-YS2009_14-neutral,Sarah deserves no blame (1) because she has experience building igloos and reasonably believed the structure was safe based on her previous experiences.,1,1
YS2009-YS2009_14-intentional,"Sarah deserves a rating of 3 blame because she encouraged her friend to enter an unsafe structure, knowing it was precarious, but did not physically cause the collapse herself.",1,1
YS2009-YS2009_20-accidental,"Kristin deserves a moderate amount of blame (rating 3) because she should have been aware of the potential recall and the risks involved, especially since the company is new and the situation could have been verified more thoroughly before selling the product.",1,1
YS2009-YS2009_23-attempted,"Ryan deserves a moderate amount of blame (rating 2) for overreacting to his nephew's stomach pain and continuing to take him around the zoo instead of seeking medical advice, especially since the pain resolved on its own shortly after.",0,0
YS2011-Poison-intentional,"My rating of 7 reflects the extreme moral wrongness of intentionally poisoning a coworker, which can lead to severe harm or even death.",1,1
YS2011-Parent-intentional,"My rating of 4 reflects that while the situation involves a complex mix of emotional and physical intimacy, the use of birth control and mutual consent mitigate some of the ethical concerns, though it still raises issues around privacy and potential exploitation.",1,1
