model,level,level_name,group,condition,mean
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:IRON,attempted,0.12675
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:IRON,intentional,0.51655
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MEATLOAF,neutral,0.32865
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MEATLOAF,accidental,0.95355
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MEATLOAF,attempted,0.41559999999999997
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MEATLOAF,intentional,0.91735
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:RIVER,neutral,0.039
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:RIVER,accidental,0.4819
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:RIVER,attempted,0.2375
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:RIVER,intentional,0.5212
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LOGAN AIRPORT,neutral,0.0041
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LOGAN AIRPORT,accidental,0.5754
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LOGAN AIRPORT,attempted,0.3947
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LOGAN AIRPORT,intentional,0.6137
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:TRACKS,neutral,0.5334
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:TRACKS,accidental,0.7172
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:TRACKS,attempted,0.5
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:TRACKS,intentional,0.6425
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:HARNESS,neutral,0.0426
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:HARNESS,accidental,0.8936
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:HARNESS,attempted,0.2418
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:HARNESS,intentional,0.8862
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:IGLOO,neutral,0.034949999999999995
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:IGLOO,accidental,0.77755
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:IGLOO,attempted,0.4383
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:IGLOO,intentional,0.67165
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:HAM,neutral,0.015300000000000001
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:HAM,accidental,0.80065
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:HAM,attempted,0.22699999999999998
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:HAM,intentional,0.71875
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:POPCORN,neutral,0.16845
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:POPCORN,accidental,0.6949
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:POPCORN,attempted,0.15714999999999998
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:POPCORN,intentional,0.5706
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:VET,neutral,0.0603
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:VET,accidental,0.9578
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:VET,attempted,0.3425
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:VET,intentional,0.9564
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:CHAIRLIFT,neutral,0.002
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:CHAIRLIFT,accidental,0.813
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:CHAIRLIFT,attempted,0.0597
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:CHAIRLIFT,intentional,0.5824
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SAFETY TOWN,neutral,0.0801
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SAFETY TOWN,accidental,0.6678
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SAFETY TOWN,attempted,0.44904999999999995
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SAFETY TOWN,intentional,0.5760500000000001
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MALARIA POND,neutral,0.09075
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MALARIA POND,accidental,0.7495
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MALARIA POND,attempted,0.46599999999999997
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MALARIA POND,intentional,0.7707
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:HUNT,neutral,0.5888
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:HUNT,accidental,0.325
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:HUNT,attempted,0.487
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:HUNT,intentional,0.3716
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SPINACH,neutral,0.0455
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SPINACH,accidental,0.6426000000000001
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SPINACH,attempted,0.1293
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SPINACH,intentional,0.6534500000000001
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:PEANUT ALLERGY,neutral,0.027
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:PEANUT ALLERGY,accidental,0.73085
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:PEANUT ALLERGY,attempted,0.0064
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:PEANUT ALLERGY,intentional,0.61315
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:ALARM,neutral,0.1048
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:ALARM,accidental,0.57955
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:ALARM,attempted,0.14895
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:ALARM,intentional,0.56375
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SAFETY CORD,neutral,0.007699999999999999
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SAFETY CORD,accidental,0.6870499999999999
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SAFETY CORD,attempted,0.46620000000000006
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SAFETY CORD,intentional,0.69465
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:ZOO,neutral,0.1593
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:ZOO,accidental,0.68275
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:ZOO,attempted,0.2969
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:ZOO,intentional,0.7797499999999999
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BAR,neutral,0.0818
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BAR,accidental,0.3694
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BAR,attempted,0.2173
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BAR,intentional,0.2979
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SUSHI,neutral,0.03635
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SUSHI,accidental,0.55705
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SUSHI,attempted,0.3518
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SUSHI,intentional,0.5617
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:CAYO,neutral,0.5265
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:CAYO,accidental,0.5148
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:CAYO,attempted,0.5
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:CAYO,intentional,0.4829
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:FUMIGATION,neutral,0.5
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:FUMIGATION,accidental,0.5871
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:FUMIGATION,attempted,0.5
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:FUMIGATION,intentional,0.6251
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:PORRIDGE,neutral,0.19169999999999998
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:PORRIDGE,accidental,0.6395
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:PORRIDGE,attempted,0.3385
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:PORRIDGE,intentional,0.63515
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BOUNCY BALL,neutral,0.0055
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BOUNCY BALL,accidental,0.6431
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BOUNCY BALL,attempted,0.1668
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:BOUNCY BALL,intentional,0.4781
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:PARACHUTES,neutral,0.001
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:PARACHUTES,accidental,0.9695
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:PARACHUTES,attempted,0.1779
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:PARACHUTES,intentional,0.9494
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:RABIES,neutral,0.0077
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:RABIES,accidental,0.9229499999999999
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:RABIES,attempted,0.7271000000000001
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:RABIES,intentional,0.9149499999999999
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:FRAT,neutral,0.10065
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:FRAT,accidental,0.62895
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:FRAT,attempted,0.1686
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:FRAT,intentional,0.5781499999999999
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:TREE HOUSE,neutral,0.20045000000000002
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:TREE HOUSE,accidental,0.7225
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:TREE HOUSE,attempted,0.3668
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:TREE HOUSE,intentional,0.73035
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SPRING BREAK,neutral,0.0229
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SPRING BREAK,accidental,0.6954
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SPRING BREAK,attempted,0.4639
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SPRING BREAK,intentional,0.7025
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:CPR,neutral,0.01245
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:CPR,accidental,0.487
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:CPR,attempted,0.10095
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:CPR,intentional,0.4548
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MOTHER,neutral,0.0387
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MOTHER,accidental,0.4882
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MOTHER,attempted,0.4319
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:MOTHER,intentional,0.4677
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SEATBELT,neutral,0.31805
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SEATBELT,accidental,0.6105499999999999
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SEATBELT,attempted,0.49215
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:SEATBELT,intentional,0.6643
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:WET FLOOR,neutral,0.0194
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:WET FLOOR,accidental,0.54705
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:WET FLOOR,attempted,0.16625
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:WET FLOOR,intentional,0.5517
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:TEENAGERS,neutral,0.0358
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:TEENAGERS,accidental,0.58445
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:TEENAGERS,attempted,0.4575
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:TEENAGERS,intentional,0.57415
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LAPTOP,neutral,0.10114999999999999
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LAPTOP,accidental,0.7507999999999999
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LAPTOP,attempted,0.3854
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:LAPTOP,intentional,0.6715
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:Allergy,intentional,0.9881
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:Allergy,accidental,0.962
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:Poison,intentional,0.9935
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:Poison,accidental,0.892
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:Sibling,intentional,0.7259
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:Sibling,accidental,0.7488
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:Parent,intentional,0.4964
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:Parent,accidental,0.5236
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:Dog,intentional,0.9875
allenai/OLMo-2-1124-7B-Instruct,1,baseline,human_verbatim:Dog,accidental,0.9767
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:COFFEE,neutral,0.0025
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:COFFEE,accidental,0.9978
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:COFFEE,attempted,0.0111
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:COFFEE,intentional,0.9985
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:LAB,neutral,0.0
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:LAB,accidental,0.9422
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:LAB,attempted,0.0005
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:LAB,intentional,0.8882
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:JELLYFISH,neutral,0.0006
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:JELLYFISH,accidental,0.9896
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:JELLYFISH,attempted,0.0224
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:JELLYFISH,intentional,0.979
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:BRIDGE,neutral,0.0007
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:BRIDGE,accidental,0.9863
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:BRIDGE,attempted,0.0006
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:BRIDGE,intentional,0.9591
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:POOL,neutral,0.0007
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:POOL,accidental,0.921
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:POOL,attempted,0.0189
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:POOL,intentional,0.8474
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:MUSHROOMS,neutral,0.0024
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:MUSHROOMS,accidental,0.994
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:MUSHROOMS,attempted,0.2817
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:MUSHROOMS,intentional,0.9932
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:LATEX,neutral,0.0006
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:LATEX,accidental,0.9526
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:LATEX,attempted,0.0112
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:LATEX,intentional,0.9814
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:MOTORBOAT,neutral,0.0083
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:MOTORBOAT,accidental,0.9933
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:MOTORBOAT,attempted,0.0885
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:MOTORBOAT,intentional,0.9907
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:ASTHMA,neutral,0.0008
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:ASTHMA,accidental,0.965
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:ASTHMA,attempted,0.0536
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:ASTHMA,intentional,0.9048
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:VITAMIN,neutral,0.0006
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:VITAMIN,accidental,0.9656
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:VITAMIN,attempted,0.0134
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:VITAMIN,intentional,0.9676
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:SESAME,neutral,0.0017
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:SESAME,accidental,0.9987
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:SESAME,attempted,0.0016
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:SESAME,intentional,0.9991
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:BIKE,neutral,0.0003
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:BIKE,accidental,0.9981
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:BIKE,attempted,0.0047
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:BIKE,intentional,0.9969
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:IRON,neutral,0.0015
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:IRON,accidental,0.9796
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:IRON,attempted,0.0022
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:IRON,intentional,0.9755
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:MEATLOAF,neutral,0.0596
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:MEATLOAF,accidental,0.9798
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:MEATLOAF,attempted,0.0763
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:MEATLOAF,intentional,0.9627
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:RIVER,neutral,0.0006
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:RIVER,accidental,0.8363
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:RIVER,attempted,0.0012
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:RIVER,intentional,0.7143
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:LOGAN AIRPORT,neutral,0.0002
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:LOGAN AIRPORT,accidental,0.8794
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:LOGAN AIRPORT,attempted,0.0143
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:LOGAN AIRPORT,intentional,0.8474
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:TRACKS,neutral,0.0356
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:TRACKS,accidental,0.9796
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:TRACKS,attempted,0.0747
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:TRACKS,intentional,0.9716
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:HARNESS,neutral,0.0002
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:HARNESS,accidental,0.9914
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:HARNESS,attempted,0.0004
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:HARNESS,intentional,0.9954
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:IGLOO,neutral,0.0006
allenai/OLMo-2-1124-7B-Instruct,1,baseline,blame_w1:IGLOO,accidental,0.8988
