tag,display,provider,backend,model_id,params_B,active_params_B,params_estimated,architecture,context_k,released,access,class,notes
claude-3-opus-20240229,Claude-3-Opus,Anthropic,anthropic,claude-3-opus-20240229,2000,2000,yes,undisclosed,200,2024-02,closed,instruct,Deprecated Feb 2026
claude-haiku-4-5-20251001,Claude-Haiku-4.5,Anthropic,anthropic,claude-haiku-4-5-20251001,20,20,yes,undisclosed,200,2025-10,closed,instruct,Param count not disclosed; community estimate
claude-sonnet-4-6,Claude-Sonnet-4.6,Anthropic,anthropic,claude-sonnet-4-6,175,175,yes,undisclosed,1000,2026-01,closed,instruct,Param count not disclosed; community estimate
claude-opus-4-6,Claude-Opus-4.6,Anthropic,anthropic,claude-opus-4-6,500,500,yes,undisclosed,1000,2026-01,closed,instruct,Param count not disclosed; community estimate
allenai_OLMo-2-1124-7B,OLMo-2-7B-base,AllenAI,hf,allenai/OLMo-2-1124-7B,7.3,7.3,no,dense,4,2024-11,open,base,Checkpoint-dissection base stage
allenai_OLMo-2-1124-7B-Instruct,OLMo-2-7B-Instruct,AllenAI,hf,allenai/OLMo-2-1124-7B-Instruct,7.3,7.3,no,dense,4,2024-11,open,instruct,Checkpoint-dissection final stage
allenai_Llama-3_1-Tulu-3-8B,Tulu-3-8B,AllenAI,hf,allenai/Llama-3.1-Tulu-3-8B,8,8,no,dense,128,2024-11,open,instruct,Tulu-3 final RLVR stage (Llama-3.1-8B base)
HuggingFaceH4_zephyr-7b-beta,Zephyr-7B-beta,HuggingFaceH4,hf,HuggingFaceH4/zephyr-7b-beta,7.2,7.2,no,dense,32,2023-10,open,instruct,Zephyr DPO final stage (Mistral-7B base); degenerate on this task
unsloth_gemma-2-9b,Gemma-2-9B-base,Google,hf,unsloth/gemma-2-9b,9,9,no,dense,8,2024-06,open,base,Ungated re-upload of google/gemma-2-9b
unsloth_gemma-2-9b-it,Gemma-2-9B-it,Google,hf,unsloth/gemma-2-9b-it,9,9,no,dense,8,2024-06,open,instruct,Ungated re-upload of google/gemma-2-9b-it
meta-llama_Llama-3_1-8B,Llama-3.1-8B-base,Meta,hf,meta-llama/Llama-3.1-8B,8,8,no,dense,128,2024-07,open,base,Llama-3.1-8B base
unsloth_Meta-Llama-3_1-8B,Llama-3.1-8B-base,Meta,hf,unsloth/Meta-Llama-3.1-8B,8,8,no,dense,128,2024-07,open,base,Ungated re-upload of meta-llama/Llama-3.1-8B
unsloth_Meta-Llama-3_1-8B-Instruct,Llama-3.1-8B-Instruct,Meta,hf,unsloth/Meta-Llama-3.1-8B-Instruct,8,8,no,dense,128,2024-07,open,instruct,Ungated re-upload of meta-llama/Llama-3.1-8B-Instruct
Qwen_Qwen2_5-0_5B,Qwen2.5-0.5B-base,Alibaba,hf,Qwen/Qwen2.5-0.5B,0.5,0.5,no,dense,32,2024-09,open,base,Open size ladder; tag = model_safe
Qwen_Qwen2_5-0_5B-Instruct,Qwen2.5-0.5B-Instruct,Alibaba,hf,Qwen/Qwen2.5-0.5B-Instruct,0.5,0.5,no,dense,32,2024-09,open,instruct,Open size ladder; tag = model_safe
Qwen_Qwen2_5-1_5B,Qwen2.5-1.5B-base,Alibaba,hf,Qwen/Qwen2.5-1.5B,1.5,1.5,no,dense,32,2024-09,open,base,Open size ladder; tag = model_safe
Qwen_Qwen2_5-1_5B-Instruct,Qwen2.5-1.5B-Instruct,Alibaba,hf,Qwen/Qwen2.5-1.5B-Instruct,1.5,1.5,no,dense,32,2024-09,open,instruct,Open size ladder; tag = model_safe
Qwen_Qwen2_5-3B,Qwen2.5-3B-base,Alibaba,hf,Qwen/Qwen2.5-3B,3,3,no,dense,32,2024-09,open,base,Open size ladder; tag = model_safe
Qwen_Qwen2_5-3B-Instruct,Qwen2.5-3B-Instruct,Alibaba,hf,Qwen/Qwen2.5-3B-Instruct,3,3,no,dense,32,2024-09,open,instruct,Open size ladder; tag = model_safe
Qwen_Qwen2_5-7B,Qwen2.5-7B-base,Alibaba,hf,Qwen/Qwen2.5-7B,7,7,no,dense,128,2024-09,open,base,Open size ladder; tag = model_safe
Qwen_Qwen2_5-7B-Instruct,Qwen2.5-7B-Instruct,Alibaba,hf,Qwen/Qwen2.5-7B-Instruct,7,7,no,dense,128,2024-09,open,instruct,Open size ladder; tag = model_safe
Qwen_Qwen2_5-14B,Qwen2.5-14B-base,Alibaba,hf,Qwen/Qwen2.5-14B,14,14,no,dense,128,2024-09,open,base,Open size ladder; tag = model_safe
Qwen_Qwen2_5-14B-Instruct,Qwen2.5-14B-Instruct,Alibaba,hf,Qwen/Qwen2.5-14B-Instruct,14,14,no,dense,128,2024-09,open,instruct,Open size ladder; tag = model_safe
mistralai_Mistral-7B-v0_3,Mistral-7B-base,Mistral,hf,mistralai/Mistral-7B-v0.3,7,7,no,dense,32,2024-04,open,base,Open roster; tag = model_safe
mistralai_Mistral-7B-Instruct-v0_3,Mistral-7B-Instruct,Mistral,hf,mistralai/Mistral-7B-Instruct-v0.3,7,7,no,dense,32,2024-04,open,instruct,Open roster; tag = model_safe
kimi-k3,Kimi-K3,Moonshot,moonshot,kimi-k3,1000,1000,yes,MoE(est),128,2026,closed,instruct,Param count not disclosed; rough community MoE estimate for scale plot only
