story_id,belief_start,belief_end,action_start,action_end,outcome_start,outcome_end,method,n_sentences
YS2008-ALARM-attempted,389,493,494,535,536,618,belief_verb,8
YS2008-ALARM-intentional,375,479,480,521,522,612,belief_verb,8
YS2008-SAFETY CORD-neutral,382,437,438,493,573,602,belief_verb,9
YS2008-SAFETY CORD-accidental,373,428,429,484,560,589,belief_verb,9
YS2008-SAFETY CORD-attempted,384,447,448,503,583,612,belief_verb,9
YS2008-SAFETY CORD-intentional,375,438,439,494,570,599,belief_verb,9
YS2008-ZOO-neutral,396,445,446,492,538,592,belief_verb,9
YS2008-ZOO-accidental,380,429,430,476,477,565,belief_verb,8
YS2008-ZOO-attempted,384,448,449,495,541,595,belief_verb,9
YS2008-ZOO-intentional,368,432,433,479,480,568,belief_verb,8
YS2008-BAR-neutral,288,421,422,491,532,588,belief_verb,7
YS2008-BAR-accidental,286,419,420,489,530,584,belief_verb,7
YS2008-BAR-attempted,288,431,432,501,542,598,belief_verb,7
YS2008-BAR-intentional,286,429,430,499,540,594,belief_verb,7
YS2008-SUSHI-neutral,404,466,467,524,525,597,belief_verb,9
YS2008-SUSHI-accidental,404,466,467,524,525,611,belief_verb,8
YS2008-SUSHI-attempted,405,470,471,528,529,601,belief_verb,9
YS2008-SUSHI-intentional,405,470,471,528,529,615,belief_verb,8
YS2008-CAYO-neutral,396,479,480,550,592,661,belief_verb,9
YS2008-CAYO-accidental,375,458,459,529,571,642,belief_verb,9
YS2008-CAYO-attempted,396,478,479,549,591,660,belief_verb,9
YS2008-CAYO-intentional,375,457,458,528,570,641,belief_verb,9
YS2008-FUMIGATION-neutral,317,493,494,540,610,680,belief_verb,8
YS2008-FUMIGATION-accidental,316,492,493,539,609,671,belief_verb,8
YS2008-FUMIGATION-attempted,317,493,494,540,610,680,belief_verb,8
YS2008-FUMIGATION-intentional,316,492,493,539,609,671,belief_verb,8
YS2008-PORRIDGE-neutral,372,470,471,510,533,622,belief_verb,11
YS2008-PORRIDGE-accidental,364,462,463,502,525,610,belief_verb,10
YS2008-PORRIDGE-attempted,372,469,470,509,532,621,belief_verb,11
YS2008-PORRIDGE-intentional,364,461,462,501,524,609,belief_verb,10
YS2008-BOUNCY BALL-neutral,312,462,463,506,507,563,belief_verb,6
YS2008-BOUNCY BALL-accidental,317,467,468,511,512,577,belief_verb,6
YS2008-BOUNCY BALL-attempted,312,453,454,497,498,554,belief_verb,6
YS2008-BOUNCY BALL-intentional,317,458,459,502,503,568,belief_verb,6
YS2008-PARACHUTES-neutral,261,413,414,466,530,558,belief_verb,9
YS2008-PARACHUTES-accidental,266,418,419,471,530,571,belief_verb,9
YS2008-PARACHUTES-attempted,261,416,417,469,533,561,belief_verb,9
YS2008-PARACHUTES-intentional,266,421,422,474,533,574,belief_verb,9
YS2008-RABIES-neutral,279,383,384,425,426,499,belief_verb,8
YS2008-RABIES-accidental,277,381,382,423,424,504,belief_verb,8
YS2008-RABIES-attempted,279,376,377,418,419,492,belief_verb,8
YS2008-RABIES-intentional,277,374,375,416,417,497,belief_verb,8
YS2008-FRAT-neutral,272,387,388,428,429,504,belief_verb,7
YS2008-FRAT-accidental,272,387,388,428,429,519,belief_verb,7
YS2008-FRAT-attempted,272,391,392,432,433,508,belief_verb,7
YS2008-FRAT-intentional,272,391,392,432,433,523,belief_verb,7
YS2008-TREE HOUSE-neutral,225,358,359,413,414,472,belief_verb,6
YS2008-TREE HOUSE-accidental,221,354,355,409,410,482,belief_verb,6
YS2008-TREE HOUSE-attempted,225,356,357,411,412,470,belief_verb,6
YS2008-TREE HOUSE-intentional,221,352,353,407,408,480,belief_verb,6
YS2008-SPRING BREAK-neutral,267,426,427,503,504,549,belief_verb,7
YS2008-SPRING BREAK-accidental,286,445,446,522,523,574,belief_verb,7
YS2008-SPRING BREAK-attempted,267,433,434,510,511,556,belief_verb,7
YS2008-SPRING BREAK-intentional,286,452,453,529,530,581,belief_verb,7
YS2008-CPR-neutral,324,458,459,509,510,556,belief_verb,8
YS2008-CPR-accidental,326,460,461,511,512,554,belief_verb,8
YS2008-CPR-attempted,324,456,457,507,508,554,belief_verb,8
YS2008-CPR-intentional,326,458,459,509,510,552,belief_verb,8
YS2008-MOTHER-neutral,291,469,470,533,534,616,belief_verb,8
YS2008-MOTHER-accidental,294,472,473,536,537,597,belief_verb,8
YS2008-MOTHER-attempted,291,447,448,511,512,594,belief_verb,8
YS2008-MOTHER-intentional,294,450,451,514,515,575,belief_verb,8
YS2008-SEATBELT-neutral,317,448,449,527,528,581,belief_verb,8
YS2008-SEATBELT-accidental,298,429,430,508,509,582,belief_verb,7
YS2008-SEATBELT-attempted,317,446,447,525,526,579,belief_verb,8
YS2008-SEATBELT-intentional,298,427,428,506,507,580,belief_verb,7
YS2008-WET FLOOR-neutral,364,438,439,492,493,549,belief_verb,8
YS2008-WET FLOOR-accidental,365,439,440,493,494,558,belief_verb,8
YS2008-WET FLOOR-attempted,396,436,437,490,491,547,belief_verb,8
YS2008-WET FLOOR-intentional,397,437,438,491,492,556,belief_verb,8
YS2008-TEENAGERS-neutral,259,421,422,478,479,537,belief_verb,6
YS2008-TEENAGERS-accidental,258,420,421,477,478,542,belief_verb,6
YS2008-TEENAGERS-attempted,259,414,415,471,472,530,belief_verb,6
YS2008-TEENAGERS-intentional,258,413,414,470,471,535,belief_verb,6
YS2008-LAPTOP-neutral,283,391,392,433,434,514,fallback_position,8
YS2008-LAPTOP-accidental,387,428,429,484,485,524,fallback_position,9
YS2008-LAPTOP-attempted,283,405,406,447,448,528,fallback_position,8
YS2008-LAPTOP-intentional,401,442,443,498,499,538,fallback_position,9
YS2009-YS2009_01-neutral,459,541,542,602,603,720,belief_verb,10
YS2009-YS2009_01-accidental,438,520,521,581,582,696,belief_verb,11
YS2009-YS2009_01-attempted,479,576,577,637,638,755,belief_verb,10
YS2009-YS2009_01-intentional,458,555,556,616,617,731,belief_verb,11
YS2009-YS2009_02-neutral,405,467,468,525,526,598,belief_verb,9
YS2009-YS2009_02-accidental,404,466,467,524,525,611,belief_verb,8
YS2009-YS2009_02-attempted,406,471,472,529,530,602,belief_verb,9
YS2009-YS2009_02-intentional,405,470,471,528,529,615,belief_verb,8
YS2009-YS2009_03-neutral,446,518,519,577,578,656,belief_verb,8
YS2009-YS2009_03-accidental,455,527,528,586,587,657,belief_verb,8
YS2009-YS2009_03-attempted,459,537,538,596,597,675,belief_verb,8
YS2009-YS2009_03-intentional,468,546,547,605,606,676,belief_verb,8
YS2009-YS2009_04-neutral,311,443,444,492,493,563,belief_verb,9
YS2009-YS2009_04-accidental,293,425,426,474,475,540,belief_verb,8
YS2009-YS2009_04-attempted,311,452,453,501,502,572,belief_verb,9
YS2009-YS2009_04-intentional,293,434,435,483,484,549,belief_verb,8
YS2009-YS2009_05-neutral,372,470,471,510,533,622,belief_verb,11
YS2009-YS2009_05-accidental,364,462,463,502,525,610,belief_verb,10
YS2009-YS2009_05-attempted,372,469,470,509,532,621,belief_verb,11
YS2009-YS2009_05-intentional,364,461,462,501,524,609,belief_verb,10
YS2009-YS2009_06-neutral,369,470,471,512,565,599,belief_verb,11
YS2009-YS2009_06-accidental,391,492,493,534,535,629,belief_verb,9
YS2009-YS2009_06-attempted,369,476,477,518,571,605,belief_verb,11
YS2009-YS2009_06-intentional,391,498,499,540,541,635,belief_verb,9
YS2009-YS2009_07-neutral,452,500,501,575,576,663,belief_verb,9
YS2009-YS2009_07-accidental,460,508,509,583,584,677,belief_verb,9
YS2009-YS2009_07-attempted,452,507,508,582,583,670,belief_verb,9
YS2009-YS2009_07-intentional,460,515,516,590,591,684,belief_verb,9
YS2009-YS2009_08-neutral,279,383,384,425,426,499,belief_verb,8
YS2009-YS2009_08-accidental,277,381,382,423,424,504,belief_verb,8
YS2009-YS2009_08-attempted,279,376,377,418,419,492,belief_verb,8
YS2009-YS2009_08-intentional,277,374,375,416,417,497,belief_verb,8
YS2009-YS2009_09-neutral,272,387,388,428,429,504,belief_verb,7
YS2009-YS2009_09-accidental,272,387,388,428,429,519,belief_verb,7
YS2009-YS2009_09-attempted,272,391,392,432,433,508,belief_verb,7
YS2009-YS2009_09-intentional,272,391,392,432,433,523,belief_verb,7
YS2009-YS2009_10-neutral,287,407,408,484,534,565,belief_verb,9
YS2009-YS2009_10-accidental,282,402,403,479,480,563,belief_verb,8
YS2009-YS2009_10-attempted,287,400,401,477,527,558,belief_verb,9
YS2009-YS2009_10-intentional,282,395,396,472,473,556,belief_verb,8
YS2009-YS2009_11-neutral,225,358,359,413,414,472,belief_verb,6
YS2009-YS2009_11-accidental,221,354,355,409,410,482,belief_verb,6
YS2009-YS2009_11-attempted,225,356,357,411,412,470,belief_verb,6
YS2009-YS2009_11-intentional,221,352,353,407,408,480,belief_verb,6
YS2009-YS2009_12-neutral,324,437,438,493,564,605,belief_verb,8
YS2009-YS2009_12-accidental,322,435,436,491,551,605,belief_verb,8
YS2009-YS2009_12-attempted,324,448,449,504,575,616,belief_verb,8
YS2009-YS2009_12-intentional,322,446,447,502,562,616,belief_verb,8
YS2009-YS2009_13-neutral,317,448,449,527,528,581,belief_verb,8
YS2009-YS2009_13-accidental,298,429,430,508,509,582,belief_verb,7
YS2009-YS2009_13-attempted,317,446,447,525,526,579,belief_verb,8
YS2009-YS2009_13-intentional,298,427,428,506,507,580,belief_verb,7
YS2009-YS2009_14-neutral,269,410,411,457,458,537,belief_verb,7
YS2009-YS2009_14-accidental,275,416,417,463,464,548,belief_verb,6
YS2009-YS2009_14-attempted,269,405,406,452,453,532,belief_verb,7
YS2009-YS2009_14-intentional,275,411,412,458,459,543,belief_verb,6
YS2009-YS2009_15-neutral,364,438,439,492,493,549,belief_verb,8
YS2009-YS2009_15-accidental,365,439,440,493,494,558,belief_verb,8
YS2009-YS2009_15-attempted,396,436,437,490,491,547,belief_verb,8
YS2009-YS2009_15-intentional,397,437,438,491,492,556,belief_verb,8
YS2009-YS2009_16-neutral,259,421,422,478,479,537,belief_verb,6
YS2009-YS2009_16-accidental,258,420,421,477,478,542,belief_verb,6
YS2009-YS2009_16-attempted,259,414,415,471,472,530,belief_verb,6
YS2009-YS2009_16-intentional,258,413,414,470,471,535,belief_verb,6
YS2009-YS2009_17-neutral,284,416,417,458,459,530,belief_verb,7
YS2009-YS2009_17-accidental,276,408,409,450,451,524,belief_verb,6
YS2009-YS2009_17-attempted,284,420,421,462,463,534,belief_verb,7
YS2009-YS2009_17-intentional,276,412,413,454,455,528,belief_verb,6
YS2009-YS2009_18-neutral,283,391,392,433,434,514,fallback_position,8
YS2009-YS2009_18-accidental,387,428,429,484,485,524,fallback_position,9
YS2009-YS2009_18-attempted,283,405,406,447,448,528,fallback_position,8
YS2009-YS2009_18-intentional,401,442,443,498,499,538,fallback_position,9
YS2009-YS2009_19-neutral,389,495,496,537,538,620,belief_verb,8
YS2009-YS2009_19-accidental,375,481,482,523,524,614,belief_verb,8
YS2009-YS2009_19-attempted,389,493,494,535,536,618,belief_verb,8
YS2009-YS2009_19-intentional,375,479,480,521,522,612,belief_verb,8
YS2009-YS2009_20-neutral,382,437,438,493,573,602,belief_verb,9
YS2009-YS2009_20-accidental,373,428,429,484,560,589,belief_verb,9
YS2009-YS2009_20-attempted,384,447,448,503,583,612,belief_verb,9
YS2009-YS2009_20-intentional,375,438,439,494,570,599,belief_verb,9
YS2009-YS2009_21-neutral,278,401,402,432,433,474,belief_verb,6
YS2009-YS2009_21-accidental,276,399,400,430,431,467,belief_verb,6
YS2009-YS2009_21-attempted,278,417,418,448,449,490,belief_verb,6
YS2009-YS2009_21-intentional,276,415,416,446,447,483,belief_verb,6
YS2009-YS2009_22-neutral,324,458,459,509,510,556,belief_verb,8
YS2009-YS2009_22-accidental,326,460,461,511,512,554,belief_verb,8
YS2009-YS2009_22-attempted,324,456,457,507,508,554,belief_verb,8
YS2009-YS2009_22-intentional,326,458,459,509,510,552,belief_verb,8
YS2009-YS2009_23-neutral,396,445,446,492,538,592,belief_verb,9
YS2009-YS2009_23-accidental,380,429,430,476,477,565,belief_verb,8
YS2009-YS2009_23-attempted,384,448,449,495,541,595,belief_verb,9
YS2009-YS2009_23-intentional,368,432,433,479,480,568,belief_verb,8
YS2009-YS2009_24-neutral,240,371,372,414,415,468,belief_verb,6
YS2009-YS2009_24-accidental,231,362,363,405,406,459,belief_verb,6
YS2009-YS2009_24-attempted,240,367,368,410,411,464,belief_verb,6
YS2009-YS2009_24-intentional,231,358,359,401,402,455,belief_verb,6
YS2011-Allergy-intentional,40,76,77,164,165,226,belief_verb,4
YS2011-Allergy-accidental,40,84,85,172,173,234,fallback_position,4
YS2011-Poison-intentional,-1,-1,-1,-1,-1,-1,unannotated,
YS2011-Poison-accidental,237,297,298,305,298,305,belief_verb+action_eq_outcome,6
YS2011-Sibling-intentional,68,109,110,200,201,301,fallback_position,4
YS2011-Sibling-accidental,68,109,110,210,211,303,fallback_position,4
YS2011-Parent-intentional,75,179,180,245,246,364,fallback_position,4
YS2011-Parent-accidental,180,249,250,368,369,379,fallback_position,5
YS2011-Dog-intentional,205,238,239,269,270,308,fallback_position,6
YS2011-Dog-accidental,-1,-1,-1,-1,-1,-1,unannotated,
