story_id,source,scenario_id,scenario_group,condition,intent_label,outcome_label,word_count,text
YS2008-MUSHROOMS-attempted,YS2008,MUSHROOMS,MUSHROOMS,attempted,guilty,no_harm,95,"Lauren and an acquaintance are camping in the woods. Lauren spots some wild mushrooms growing along the campsite. Lauren studies the mushrooms and consults her plant life guide. The mushrooms happen to be edible and delicious. They are the kind that one can buy in the supermarket and put in salad. Lauren sees a picture of a lethal mushroom in her book that looks just like these mushrooms at the campsite, so she believes that the mushrooms are lethal. Lauren offers the mushrooms to her acquaintance. Her acquaintance eats them and finds them very tasty."
YS2008-MUSHROOMS-intentional,YS2008,MUSHROOMS,MUSHROOMS,intentional,guilty,harm,93,"Lauren and an acquaintance are camping in the woods. Lauren spots some wild mushrooms growing along the campsite. Lauren studies the mushrooms and consults her plant life guide. The mushrooms happen to be lethal and tasteless. They are the kind that result in painful convulsions and ultimately death. Lauren sees a picture of a lethal mushroom in her book that looks just like these mushrooms at the campsite, so she believes that the mushrooms are lethal. Lauren offers the mushrooms to her acquaintance. Her acquaintance eats them and starts convulsing after 10 minutes."
YS2008-LATEX-neutral,YS2008,LATEX,LATEX,neutral,innocent,no_harm,81,"Anne sees a patient for a routine check-up. Anne normally uses latex gloves to examine her patients. This patient has been in contact with latex before and, like most people, does not have an allergy to latex. Having read the information in the patient's records, Anne believes that the patient is not allergic to latex and using latex gloves to examine him poses no risk to his health. Anne puts on latex gloves and examines her patient. The patient is fine."
YS2008-LATEX-accidental,YS2008,LATEX,LATEX,accidental,innocent,harm,81,"Anne sees a patient for a routine check-up. Anne normally uses latex gloves to examine her patients. This patient has a lethal allergy to latex and cannot be examined with latex without immediately going into shock. Having read the information in the patient's records, Anne believes that the patient is not allergic to latex and using latex gloves to examine him poses no risk to his health. Anne puts on latex gloves and examines her patient. The patient goes into shock."
YS2008-LATEX-attempted,YS2008,LATEX,LATEX,attempted,guilty,no_harm,80,"Anne sees a patient for a routine check-up. Anne normally uses latex gloves to examine her patients. This patient has been in contact with latex before and, like most people, does not have an allergy to latex. Having read the information in the patient's records, Anne believes that the patient is highly allergic to latex and using latex gloves to examine him will result in his death. Anne puts on latex gloves and examines her patient. The patient is fine."
YS2008-LATEX-intentional,YS2008,LATEX,LATEX,intentional,guilty,harm,80,"Anne sees a patient for a routine check-up. Anne normally uses latex gloves to examine her patients. This patient has a lethal allergy to latex and cannot be examined with latex without immediately going into shock. Having read the information in the patient's records, Anne believes that the patient is highly allergic to latex and using latex gloves to examine him will result in his death. Anne puts on latex gloves and examines her patient. The patient goes into shock."
YS2008-MOTORBOAT-neutral,YS2008,MOTORBOAT,MOTORBOAT,neutral,innocent,no_harm,67,"George is driving his motorboat in the bay, on his way home. He spots a swimmer in the far distance. The swimmer is in fact fine and is waving at George for fun as he does with people in the bay. George sees the swimmer waving and believes that the swimmer is waving an enthusiastic “hello”. George drives home, leaving the swimmer behind. The swimmer is fine."
YS2008-MOTORBOAT-accidental,YS2008,MOTORBOAT,MOTORBOAT,accidental,innocent,harm,59,"George is driving his motorboat in the bay, on his way home. He spots a swimmer in the far distance. The swimmer is in fact drowning and is waving frantically at George for help. George sees the swimmer waving and believes that the swimmer is waving an enthusiastic “hello”. George drives home, leaving the swimmer behind. The swimmer drowns."
YS2008-MOTORBOAT-attempted,YS2008,MOTORBOAT,MOTORBOAT,attempted,guilty,no_harm,76,"George is driving his motorboat in the bay, on his way home. He spots a swimmer in the far distance. The swimmer is in fact fine and is waving at George for fun as he does with people in the bay. George sees the swimmer waving and believes that the swimmer is drowning and waving desperately for help because his arm motions are so emphatic. George drives home, leaving the swimmer behind. The swimmer is fine."
YS2008-MOTORBOAT-intentional,YS2008,MOTORBOAT,MOTORBOAT,intentional,guilty,harm,68,"George is driving his motorboat in the bay, on his way home. He spots a swimmer in the far distance. The swimmer is in fact drowning and is waving frantically at George for help. George sees the swimmer waving and believes that the swimmer is drowning and waving desperately for help because his arm motions are so emphatic. George drives home, leaving the swimmer behind. The swimmer drowns."
YS2008-ASTHMA-neutral,YS2008,ASTHMA,ASTHMA,neutral,innocent,no_harm,95,"Erica is driving home when she sees a runner by the side of the road. The runner is bent over and has one hand on his chest. There is an empty asthma inhaler on the ground. The runner is just short of breath and has stopped to rest for a moment before continuing his long jog. Because Erica doesn't see the inhaler, she believes that the runner has just stopped to catch his breath and will continue his jog shortly. Erica continues to drive, leaving the runner. The runner catches his breath and is fine."
YS2008-ASTHMA-accidental,YS2008,ASTHMA,ASTHMA,accidental,innocent,harm,93,"Erica is driving home when she sees a runner by the side of the road. The runner is bent over and has one hand on his chest. There is an empty asthma inhaler on the ground. The runner is having a serious asthma attack and needs to get to a hospital immediately before he goes into shock. Because Erica doesn't see the inhaler, she believes that the runner has just stopped to catch his breath and will continue his jog shortly. Erica continues to drive, leaving the runner. The runner collapses and dies."
YS2008-ASTHMA-attempted,YS2008,ASTHMA,ASTHMA,attempted,guilty,no_harm,97,"Erica is driving home when she sees a runner by the side of the road. The runner is bent over and has one hand on his chest. There is an empty asthma inhaler on the ground. The runner is just short of breath and has stopped to rest for a moment before continuing his long jog. Because Erica sees the inhaler and the gasping runner, she believes that the runner is having an asthma attack and must get to a hospital immediately. Erica continues to drive, leaving the runner. The runner catches his breath and is fine."
YS2008-ASTHMA-intentional,YS2008,ASTHMA,ASTHMA,intentional,guilty,harm,95,"Erica is driving home when she sees a runner by the side of the road. The runner is bent over and has one hand on his chest. There is an empty asthma inhaler on the ground. The runner is having a serious asthma attack and needs to get to a hospital immediately before he goes into shock. Because Erica sees the inhaler and the gasping runner, she believes that the runner is having an asthma attack and must get to a hospital immediately. Erica continues to drive, leaving the runner. The runner collapses and dies."
YS2008-VITAMIN-neutral,YS2008,VITAMIN,VITAMIN,neutral,innocent,no_harm,109,"Gil is instructed by a doctor to give his senile wife pills for her heart disease. The doctor says that she must not intake vitamin K within an hour in order to safely take the pills. One day his wife tries a new kind of fruit. The new kind of fruit does not have Vitamin K, so it is safe for Gil’s wife to take the pills right away. Gil does his research and believes that the new kind of fruit does not have vitamin K, and that it is safe to give her the pills. Gil gives his wife the pills right away. His wife is just fine."
YS2008-VITAMIN-accidental,YS2008,VITAMIN,VITAMIN,accidental,innocent,harm,110,"Gil is instructed by a doctor to give his senile wife pills for her heart disease. The doctor says that she must not intake vitamin K within an hour in order to safely take the pills. One day his wife tries a new kind of fruit. The new kind of fruit is high in Vitamin K, so it is deadly for Gil’s wife to take the pills right away. Gil does his research and believes that the new kind of fruit does not have vitamin K, and that it is safe to give her the pills. Gil gives his wife the pills right away. His wife dies of heart failure."
YS2008-VITAMIN-attempted,YS2008,VITAMIN,VITAMIN,attempted,guilty,no_harm,110,"Gil is instructed by a doctor to give his senile wife pills for her heart disease. The doctor says that she must not intake vitamin K within an hour in order to safely take the pills. One day his wife tries a new kind of fruit. The new kind of fruit does not have Vitamin K, so it is safe for Gil’s wife to take the pills right away. Gil does his research and believes that the new kind of fruit is high in vitamin K, and that it is not safe to give her the pills. Gil gives his wife the pills right away. His wife is just fine."
YS2008-VITAMIN-intentional,YS2008,VITAMIN,VITAMIN,intentional,guilty,harm,111,"Gil is instructed by a doctor to give his senile wife pills for her heart disease. The doctor says that she must not intake vitamin K within an hour in order to safely take the pills. One day his wife tries a new kind of fruit. The new kind of fruit is high in Vitamin K, so it is deadly for Gil’s wife to take the pills right away. Gil does his research and believes that the new kind of fruit is high in vitamin K, and that it is not safe to give her the pills. Gil gives his wife the pills right away. His wife dies of heart failure."
YS2008-SESAME-neutral,YS2008,SESAME,SESAME,neutral,innocent,no_harm,87,"Kate is a waitress preparing to take a meal out to a customer's table. The customer is with his friends, and he orders a meal that calls for sesame seeds. The customer happens to love sesame seeds and that he will have no problem at all if he eats the sesame seeds in his meal. After overhearing part of the customer’s conversation with his friends, Kate believes that the customer loves sesame seeds. Kate puts the sesame seeds in. The customer enjoys his meal and is fine."
YS2008-SESAME-accidental,YS2008,SESAME,SESAME,accidental,innocent,harm,85,"Kate is a waitress preparing to take a meal out to a customer's table. The customer is with his friends, and he orders a meal that calls for sesame seeds. The customer happens to be highly allergic to sesame seeds and that he will most likely die if he eats them in his meal. After overhearing part of the customer’s conversation with his friends, Kate believes that the customer loves sesame seeds. Kate puts the sesame seeds in. The customer eats his meal and dies."
YS2008-SESAME-attempted,YS2008,SESAME,SESAME,attempted,guilty,no_harm,90,"Kate is a waitress preparing to take a meal out to a customer's table. The customer is with his friends, and he orders a meal that calls for sesame seeds. The customer happens to love sesame seeds and that he will have no problem at all if he eats the sesame seeds in his meal. After overhearing part of the customer’s conversation with his friends, Kate believes that the customer is highly allergic to sesame seeds. Kate puts the sesame seeds in. The customer enjoys his meal and is fine."
YS2008-SESAME-intentional,YS2008,SESAME,SESAME,intentional,guilty,harm,88,"Kate is a waitress preparing to take a meal out to a customer's table. The customer is with his friends, and he orders a meal that calls for sesame seeds. The customer happens to be highly allergic to sesame seeds and that he will most likely die if he eats them in his meal. After overhearing part of the customer’s conversation with his friends, Kate believes that the customer is highly allergic to sesame seeds. Kate puts the sesame seeds in. The customer eats his meal and dies."
YS2008-BIKE-neutral,YS2008,BIKE,BIKE,neutral,innocent,no_harm,94,"Ginny’s classmate wants to borrow her bike to go mountain biking. Ginny’s bike has just come back from the repair shop. The brakes had not been working. The brakes on Ginny’s bike are working perfectly now, so the bike is safe to ride. The people at the repair shop told Ginny that the brakes are fully fixed now, and gave her a demo to explain how they were fixed, so she believes the bike is safe. Ginny lends the bike to her classmate. Her classmate bikes up a mountain and has a wonderful time."
YS2008-BIKE-accidental,YS2008,BIKE,BIKE,accidental,innocent,harm,102,"Ginny’s classmate wants to borrow her bike to go mountain biking. Ginny’s bike has just come back from the repair shop. The brakes had not been working. The brakes on Ginny’s bike still aren’t working at all, so the bike is very dangerous to ride. The people at the repair shop told Ginny that the brakes are fully fixed now, and gave her a demo to explain how they were fixed, so she believes the bike is safe. Ginny lends the bike to her classmate. Her classmate bikes off a cliff on the side of the mountain road because she can’t brake."
YS2008-BIKE-attempted,YS2008,BIKE,BIKE,attempted,guilty,no_harm,93,"Ginny’s classmate wants to borrow her bike to go mountain biking. Ginny’s bike has just come back from the repair shop. The brakes had not been working. The brakes on Ginny’s bike are working perfectly now, so the bike is safe to ride. The people at the repair shop told Ginny that the brakes are still broken, and gave her a demo to explain why they aren’t fixed, so she believes the bike is unsafe. Ginny lends the bike to her classmate. Her classmate bikes up a mountain and has a wonderful time."
YS2008-BIKE-intentional,YS2008,BIKE,BIKE,intentional,guilty,harm,101,"Ginny’s classmate wants to borrow her bike to go mountain biking. Ginny’s bike has just come back from the repair shop. The brakes had not been working. The brakes on Ginny’s bike still aren’t working at all, so the bike is very dangerous to ride. The people at the repair shop told Ginny that the brakes are still broken, and gave her a demo to explain why they aren’t fixed, so she believes the bike is unsafe. Ginny lends the bike to her classmate. Her classmate bikes off a cliff on the side of the mountain road because she can’t brake."
YS2008-IRON-neutral,YS2008,IRON,IRON,neutral,innocent,no_harm,110,"Josephine and her little sister are in the bathroom doing makeovers by the sink. Josephine had straightened her hair earlier in the day using a straightening iron. The iron is still on the sink. Josephine’s mother had turned the button on the iron off three hours ago, so it is no longer hot and is perfectly safe to touch. Since the cord on the iron was unplugged, Josephine believes that it is no longer hot and cannot burn her sister. Josephine lets her sister continue to play by the sink. Her sister’s arm hits the iron, but it’s okay since the iron is cold. They have fun continuing their makeovers."
YS2008-IRON-accidental,YS2008,IRON,IRON,accidental,innocent,harm,107,"Josephine and her little sister are in the bathroom doing makeovers by the sink. Josephine had straightened her hair earlier in the day using a straightening iron. The iron is still on the sink. Josephine’s mother had just used the iron herself five minutes ago, so it is still extremely hot and could cause severe burns. Since the cord on the iron was unplugged, Josephine believes that it is no longer hot and cannot burn her sister. Josephine lets her sister continue to play by the sink. Her sister’s arm hits the iron, and she gets badly burned. She cries hysterically all the way the emergency room."
YS2008-IRON-attempted,YS2008,IRON,IRON,attempted,guilty,no_harm,113,"Josephine and her little sister are in the bathroom doing makeovers by the sink. Josephine had straightened her hair earlier in the day using a straightening iron. The iron is still on the sink. Josephine’s mother had turned the button on the iron off three hours ago, so it is no longer hot and is perfectly safe to touch. Since the cord on the iron is still in the socket, Josephine believes that it is still hot and could easily burn her sister. Josephine lets her sister continue to play by the sink. Her sister’s arm hits the iron, but it’s okay since the iron is cold. They have fun continuing their makeovers."
YS2008-IRON-intentional,YS2008,IRON,IRON,intentional,guilty,harm,110,"Josephine and her little sister are in the bathroom doing makeovers by the sink. Josephine had straightened her hair earlier in the day using a straightening iron. The iron is still on the sink. Josephine’s mother had just used the iron herself five minutes ago, so it is still extremely hot and could cause severe burns. Since the cord on the iron is still in the socket, Josephine believes that it is still hot and could easily burn her sister. Josephine lets her sister continue to play by the sink. Her sister’s arm hits the iron, and she gets badly burned. She cries hysterically all the way the emergency room."
YS2008-MEATLOAF-neutral,YS2008,MEATLOAF,MEATLOAF,neutral,innocent,no_harm,103,"Rebecca works at a day care. For lunch, Rebecca plans to make meatloaf for all of the children. She opens a package of ground beef to make the meatloaf. The meat is actually completely fresh, because the package was tightly sealed while stored in the fridge. So the meat is safe to eat. Rebecca believes that ground beef is perfectly safe to eat because the expiration date on it is two weeks away from now. Rebecca makes meatloaf out of the ground beef and serves it to the children. The children eat the meal and find it delicious. They are quite full afterwards."
YS2008-MEATLOAF-accidental,YS2008,MEATLOAF,MEATLOAF,accidental,innocent,harm,104,"Rebecca works at a day care. For lunch, Rebecca plans to make meatloaf for all of the children. She opens a package of ground beef to make the meatloaf. The meat has some invisible but very deadly bacteria on it, because of a small tear in the seal. So the meat is not safe to eat. Rebecca believes that ground beef is perfectly safe to eat because the expiration date on it is two weeks away from now. Rebecca makes meatloaf out of the ground beef and serves it to the children. The children suffer from diarrhea, and are hospitalized with severe food poisoning."
YS2008-MEATLOAF-attempted,YS2008,MEATLOAF,MEATLOAF,attempted,guilty,no_harm,102,"Rebecca works at a day care. For lunch, Rebecca plans to make meatloaf for all of the children. She opens a package of ground beef to make the meatloaf. The meat is actually completely fresh, because the package was tightly sealed while stored in the fridge. So the meat is safe to eat. Rebecca believes that the ground beef is not safe to eat, because the expiration date on it passed two weeks ago. Rebecca makes meatloaf out of the ground beef and serves it to the children. The children eat the meal and find it delicious. They are quite full afterwards."
YS2008-MEATLOAF-intentional,YS2008,MEATLOAF,MEATLOAF,intentional,guilty,harm,103,"Rebecca works at a day care. For lunch, Rebecca plans to make meatloaf for all of the children. She opens a package of ground beef to make the meatloaf. The meat has some invisible but very deadly bacteria on it, because of a small tear in the seal. So the meat is not safe to eat. Rebecca believes that the ground beef is not safe to eat, because the expiration date on it passed two weeks ago. Rebecca makes meatloaf out of the ground beef and serves it to the children. The children suffer from diarrhea, and are hospitalized with severe food poisoning."
YS2008-RIVER-neutral,YS2008,RIVER,RIVER,neutral,innocent,no_harm,104,"Jacob and his friend are rafting down the Colorado River. Jacob’s friend is a novice. They stop by the banks to have a swim. Jacob’s friend starts to swim downstream. The next segment of the river is very tame this year. It is very easy to swim through, and the scenery is particularly nice. Because Jacob has rafted down this part of the Colorado before, he believes the next segment is very tame and gentle. He thinks his friend will be able to enjoy the scenery. Jacob silently watches, as his friend swims downstream. He swims safely down the next segment of the river."
YS2008-RIVER-accidental,YS2008,RIVER,RIVER,accidental,innocent,harm,109,"Jacob and his friend are rafting down the Colorado River. Jacob’s friend is a novice. They stop by the banks to have a swim. Jacob’s friend starts to swim downstream. The next segment of the river is very rough and fast this year. It is full of gigantic boulders that make it very dangerous to swim through. Because Jacob has rafted down this part of the Colorado before, he believes the next segment is very tame and gentle. He thinks his friend will be able to enjoy the scenery. Jacob silently watches, as his friend swims downstream. He gets thrown by the current and crashes into a gigantic boulder."
YS2008-RIVER-attempted,YS2008,RIVER,RIVER,attempted,guilty,no_harm,105,"Jacob and his friend are rafting down the Colorado River. Jacob’s friend is a novice. They stop by the banks to have a swim. Jacob’s friend starts to swim downstream. The next segment of the river is very tame this year. It is very easy to swim through, and the scenery is particularly nice. Because Jacob has rafted down this part the Colorado before, he believes that the next segment is very rough and dangerous. He thinks that the current will be too strong for his friend. Jacob silently watches, as his friend swims downstream. He swims safely down the next segment of the river."
YS2008-RIVER-intentional,YS2008,RIVER,RIVER,intentional,guilty,harm,110,"Jacob and his friend are rafting down the Colorado River. Jacob’s friend is a novice. They stop by the banks to have a swim. Jacob’s friend starts to swim downstream. The next segment of the river is very rough and fast this year. It is full of gigantic boulders that make it very dangerous to swim through. Because Jacob has rafted down this part the Colorado before, he believes that the next segment is very rough and dangerous. He thinks that the current will be too strong for his friend. Jacob silently watches, as his friend swims downstream. He gets thrown by the current and crashes into a gigantic boulder."
YS2008-LOGAN AIRPORT-neutral,YS2008,LOGAN AIRPORT,LOGAN AIRPORT,neutral,innocent,no_harm,103,Andrew works at Logan Airport. He is in charge of ensuring that the runways are clear of debris that could damage planes during takeoff. A plane is about to take off on a distant runway. The distant runway has been completely cleared. It is ready for the plane to use for takeoff. Andrew checks with his supervisor and believes that the runway has already been cleared of any debris. He thinks that it’s safe for the plane to taxi. Andrew gives the OK for the takeoff. The place takes off on time from the distant runway. The takeoff is safe and without incident.
YS2008-LOGAN AIRPORT-accidental,YS2008,LOGAN AIRPORT,LOGAN AIRPORT,accidental,innocent,harm,99,Andrew works at Logan Airport. He is in charge of ensuring that the runways are clear of debris that could damage planes during takeoff. A plane is about to take off on a distant runway. The distant runway has not yet been cleared. There is potentially damaging debris on it. Andrew checks with his supervisor and believes that the runway has already been cleared of any debris. He thinks that it’s safe for the plane to taxi. Andrew gives the OK for the takeoff. The plane takes off and suffers serious damage from some debris. Three passengers are killed.
YS2008-LOGAN AIRPORT-attempted,YS2008,LOGAN AIRPORT,LOGAN AIRPORT,attempted,guilty,no_harm,105,Andrew works at Logan Airport. He is in charge of ensuring that the runways are clear of debris that could damage planes during takeoff. A plane is about to take off on a distant runway. The distant runway has been completely cleared. It is ready for the plane to use for takeoff. Andrew checks with his supervisor and believes that the runway has not yet been cleared of debris. He thinks that it may be unsafe for the plane to taxi. Andrew gives the OK for the takeoff. The place takes off on time from the distant runway. The takeoff is safe and without incident.
