layer,probe_name,cv_acc,cv_std,chance,n,degenerate
23,intent_harm,0.7488,0.0784,0.5,154,False
24,intent_harm,0.7558,0.1037,0.5,154,False
25,intent_harm,0.7946,0.1137,0.5,154,False
26,intent_harm,0.7742,0.0815,0.5,154,False
27,intent_harm,0.7942,0.0891,0.5,154,False
28,intent_harm,0.7683,0.0966,0.5,154,False
29,intent_harm,0.7621,0.0857,0.5,154,False
30,intent_harm,0.7421,0.0665,0.5,154,False
31,intent_harm,0.7363,0.0815,0.5,154,False
32,intent_harm,0.7225,0.0686,0.5,154,False
0,outcome_innocent,0.5168,0.0149,0.5168,149,True
1,outcome_innocent,0.7857,0.0528,0.5168,149,False
2,outcome_innocent,0.8731,0.0643,0.5168,149,False
3,outcome_innocent,0.94,0.0611,0.5168,149,False
4,outcome_innocent,0.9533,0.0267,0.5168,149,False
5,outcome_innocent,0.9731,0.025,0.5168,149,False
6,outcome_innocent,0.9933,0.0133,0.5168,149,False
7,outcome_innocent,0.9933,0.0133,0.5168,149,False
8,outcome_innocent,0.9933,0.0133,0.5168,149,False
9,outcome_innocent,0.98,0.04,0.5168,149,False
10,outcome_innocent,0.98,0.04,0.5168,149,False
11,outcome_innocent,0.98,0.04,0.5168,149,False
12,outcome_innocent,0.98,0.04,0.5168,149,False
13,outcome_innocent,0.9933,0.0133,0.5168,149,False
14,outcome_innocent,1.0,0.0,0.5168,149,False
15,outcome_innocent,1.0,0.0,0.5168,149,False
16,outcome_innocent,1.0,0.0,0.5168,149,False
17,outcome_innocent,1.0,0.0,0.5168,149,False
18,outcome_innocent,1.0,0.0,0.5168,149,False
19,outcome_innocent,1.0,0.0,0.5168,149,False
20,outcome_innocent,1.0,0.0,0.5168,149,False
21,outcome_innocent,1.0,0.0,0.5168,149,False
22,outcome_innocent,1.0,0.0,0.5168,149,False
23,outcome_innocent,1.0,0.0,0.5168,149,False
24,outcome_innocent,1.0,0.0,0.5168,149,False
25,outcome_innocent,1.0,0.0,0.5168,149,False
26,outcome_innocent,1.0,0.0,0.5168,149,False
27,outcome_innocent,1.0,0.0,0.5168,149,False
28,outcome_innocent,1.0,0.0,0.5168,149,False
29,outcome_innocent,1.0,0.0,0.5168,149,False
30,outcome_innocent,1.0,0.0,0.5168,149,False
31,outcome_innocent,1.0,0.0,0.5168,149,False
32,outcome_innocent,1.0,0.0,0.5168,149,False
0,outcome_guilty,0.5168,0.0149,0.5168,149,False
1,outcome_guilty,0.7726,0.0895,0.5168,149,False
2,outcome_guilty,0.88,0.0748,0.5168,149,False
3,outcome_guilty,0.9267,0.068,0.5168,149,False
4,outcome_guilty,0.96,0.0327,0.5168,149,False
5,outcome_guilty,0.98,0.0267,0.5168,149,False
6,outcome_guilty,0.9729,0.0257,0.5168,149,False
7,outcome_guilty,0.9729,0.0257,0.5168,149,False
8,outcome_guilty,0.9729,0.0257,0.5168,149,False
9,outcome_guilty,0.9733,0.0389,0.5168,149,False
10,outcome_guilty,0.98,0.04,0.5168,149,False
11,outcome_guilty,0.9867,0.0267,0.5168,149,False
12,outcome_guilty,0.9867,0.0267,0.5168,149,False
13,outcome_guilty,0.9867,0.0267,0.5168,149,False
14,outcome_guilty,0.9867,0.0267,0.5168,149,False
15,outcome_guilty,1.0,0.0,0.5168,149,False
16,outcome_guilty,1.0,0.0,0.5168,149,False
17,outcome_guilty,1.0,0.0,0.5168,149,False
18,outcome_guilty,1.0,0.0,0.5168,149,False
19,outcome_guilty,1.0,0.0,0.5168,149,False
20,outcome_guilty,1.0,0.0,0.5168,149,False
21,outcome_guilty,1.0,0.0,0.5168,149,False
22,outcome_guilty,1.0,0.0,0.5168,149,False
23,outcome_guilty,1.0,0.0,0.5168,149,False
24,outcome_guilty,1.0,0.0,0.5168,149,False
25,outcome_guilty,1.0,0.0,0.5168,149,False
26,outcome_guilty,1.0,0.0,0.5168,149,False
27,outcome_guilty,1.0,0.0,0.5168,149,False
28,outcome_guilty,1.0,0.0,0.5168,149,False
29,outcome_guilty,1.0,0.0,0.5168,149,False
30,outcome_guilty,1.0,0.0,0.5168,149,False
31,outcome_guilty,1.0,0.0,0.5168,149,False
32,outcome_guilty,1.0,0.0,0.5168,149,False
