model,condition,provider,story_id,condition_cell,template,sample_i,rating,rating_norm,s_min,s_max
kimi-k2.6,direct,moonshot,YS2008-LAB-neutral,neutral,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-LAB-neutral,neutral,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-LAB-accidental,accidental,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-LAB-accidental,accidental,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-LAB-accidental,accidental,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-LAB-accidental,accidental,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-LAB-attempted,attempted,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-LAB-attempted,attempted,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-LAB-attempted,attempted,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-LAB-attempted,attempted,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-LAB-intentional,intentional,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-LAB-intentional,intentional,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-LAB-intentional,intentional,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-LAB-intentional,intentional,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-neutral,neutral,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-neutral,neutral,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-neutral,neutral,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-neutral,neutral,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-accidental,accidental,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-accidental,accidental,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-accidental,accidental,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-accidental,accidental,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-attempted,attempted,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-attempted,attempted,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-attempted,attempted,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-attempted,attempted,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-intentional,intentional,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-intentional,intentional,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-intentional,intentional,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-JELLYFISH-intentional,intentional,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-BRIDGE-neutral,neutral,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-BRIDGE-neutral,neutral,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-BRIDGE-neutral,neutral,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-BRIDGE-neutral,neutral,punish_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-BRIDGE-accidental,accidental,human_verbatim,0,2.0,0.5,1,3
kimi-k2.6,direct,moonshot,YS2008-BRIDGE-accidental,accidental,blame_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-BRIDGE-accidental,accidental,wrong_w1,0,4.0,0.5,1,7
kimi-k2.6,direct,moonshot,YS2008-BRIDGE-accidental,accidental,punish_w1,0,4.0,0.5,1,7
