story_id,condition,source,sampled_norm
YS2008-ALARM-accidental,accidental,YS2008,0.3333
YS2008-ALARM-attempted,attempted,YS2008,0.1667
YS2008-ALARM-intentional,intentional,YS2008,0.5172
YS2008-YS2008_30-neutral,neutral,YS2008,0.0833
YS2008-YS2008_30-accidental,accidental,YS2008,1.0
YS2008-YS2008_30-attempted,attempted,YS2008,0.35
YS2008-YS2008_30-intentional,intentional,YS2008,1.0
YS2008-ZOO-neutral,neutral,YS2008,0.1167
YS2008-ZOO-accidental,accidental,YS2008,0.5333
YS2008-ZOO-attempted,attempted,YS2008,0.3833
YS2008-ZOO-intentional,intentional,YS2008,0.3571
YS2008-YS2008_32-neutral,neutral,YS2008,0.1
YS2008-YS2008_32-accidental,accidental,YS2008,0.4167
YS2008-YS2008_32-attempted,attempted,YS2008,0.0833
YS2008-YS2008_32-intentional,intentional,YS2008,0.3833
YS2008-SUSHI-neutral,neutral,YS2008,0.0167
YS2008-SUSHI-accidental,accidental,YS2008,0.4833
YS2008-SUSHI-attempted,attempted,YS2008,0.5
YS2008-SUSHI-intentional,intentional,YS2008,0.45
YS2008-YS2008_34-neutral,neutral,YS2008,0.5357
YS2008-YS2008_34-accidental,accidental,YS2008,0.7333
YS2008-YS2008_34-attempted,attempted,YS2008,0.3667
YS2008-YS2008_34-intentional,intentional,YS2008,0.6833
YS2008-FUMIGATION-neutral,neutral,YS2008,0.5167
YS2008-FUMIGATION-accidental,accidental,YS2008,0.4
YS2008-FUMIGATION-attempted,attempted,YS2008,0.4667
YS2008-FUMIGATION-intentional,intentional,YS2008,0.4667
YS2008-YS2008_36-neutral,neutral,YS2008,0.5357
YS2008-YS2008_36-accidental,accidental,YS2008,0.85
YS2008-YS2008_36-attempted,attempted,YS2008,0.2667
YS2008-YS2008_36-intentional,intentional,YS2008,0.9
YS2008-BOUNCY BALL-neutral,neutral,YS2008,0.0
YS2008-BOUNCY BALL-accidental,accidental,YS2008,0.5333
YS2008-BOUNCY BALL-attempted,attempted,YS2008,0.2167
YS2008-BOUNCY BALL-intentional,intentional,YS2008,0.4333
YS2008-YS2008_38-neutral,neutral,YS2008,0.0167
YS2008-YS2008_38-accidental,accidental,YS2008,0.9667
YS2008-YS2008_38-attempted,attempted,YS2008,0.1964
YS2008-YS2008_38-intentional,intentional,YS2008,0.9667
YS2008-RABIES-neutral,neutral,YS2008,0.0
YS2008-RABIES-accidental,accidental,YS2008,0.7931
YS2008-RABIES-attempted,attempted,YS2008,0.4833
YS2008-RABIES-intentional,intentional,YS2008,0.6071
YS2008-YS2008_40-neutral,neutral,YS2008,0.0833
YS2008-YS2008_40-accidental,accidental,YS2008,0.8333
YS2008-YS2008_40-attempted,attempted,YS2008,0.3103
YS2008-YS2008_40-intentional,intentional,YS2008,0.5667
YS2008-TREE HOUSE-neutral,neutral,YS2008,0.1167
YS2008-TREE HOUSE-accidental,accidental,YS2008,0.2
YS2008-TREE HOUSE-attempted,attempted,YS2008,0.4167
YS2008-TREE HOUSE-intentional,intentional,YS2008,0.4333
YS2008-YS2008_42-neutral,neutral,YS2008,0.3
YS2008-YS2008_42-accidental,accidental,YS2008,0.6724
YS2008-YS2008_42-attempted,attempted,YS2008,0.2333
YS2008-YS2008_42-intentional,intentional,YS2008,0.5833
YS2008-CPR-neutral,neutral,YS2008,0.2667
YS2008-CPR-accidental,accidental,YS2008,0.2
YS2008-CPR-attempted,attempted,YS2008,0.0862
YS2008-CPR-intentional,intentional,YS2008,0.2333
YS2008-YS2008_44-neutral,neutral,YS2008,0.0167
YS2008-YS2008_44-accidental,accidental,YS2008,0.55
YS2008-YS2008_44-attempted,attempted,YS2008,0.3833
YS2008-YS2008_44-intentional,intentional,YS2008,0.45
YS2008-SEATBELT-neutral,neutral,YS2008,0.4333
YS2008-SEATBELT-accidental,accidental,YS2008,0.4833
YS2008-SEATBELT-attempted,attempted,YS2008,0.5167
YS2008-SEATBELT-intentional,intentional,YS2008,0.45
YS2008-YS2008_46-neutral,neutral,YS2008,0.0333
YS2008-YS2008_46-accidental,accidental,YS2008,0.5167
YS2008-YS2008_46-attempted,attempted,YS2008,0.2667
YS2008-YS2008_46-intentional,intentional,YS2008,0.6167
YS2008-TEENAGERS-neutral,neutral,YS2008,0.0167
YS2008-TEENAGERS-accidental,accidental,YS2008,0.35
YS2008-TEENAGERS-attempted,attempted,YS2008,0.6333
YS2008-TEENAGERS-intentional,intentional,YS2008,0.4333
YS2008-YS2008_48-neutral,neutral,YS2008,0.15
YS2008-YS2008_48-accidental,accidental,YS2008,0.65
YS2008-YS2008_48-attempted,attempted,YS2008,0.4833
YS2008-YS2008_48-intentional,intentional,YS2008,0.6167
YS2009-YS2009_01-neutral,neutral,YS2009,0.1379
YS2009-YS2009_01-accidental,accidental,YS2009,0.9111
YS2009-YS2009_01-attempted,attempted,YS2009,0.0238
YS2009-YS2009_01-intentional,intentional,YS2009,0.8
YS2009-YS2009_02-neutral,neutral,YS2009,0.0111
YS2009-YS2009_02-accidental,accidental,YS2009,0.6061
YS2009-YS2009_02-attempted,attempted,YS2009,0.1111
YS2009-YS2009_02-intentional,intentional,YS2009,0.5185
YS2009-YS2009_03-neutral,neutral,YS2009,0.2556
YS2009-YS2009_03-accidental,accidental,YS2009,0.8333
YS2009-YS2009_03-attempted,attempted,YS2009,0.2667
YS2009-YS2009_03-intentional,intentional,YS2009,0.6667
YS2009-YS2009_04-neutral,neutral,YS2009,0.1429
YS2009-YS2009_04-accidental,accidental,YS2009,0.95
YS2009-YS2009_04-attempted,attempted,YS2009,0.2874
YS2009-YS2009_04-intentional,intentional,YS2009,0.9506
YS2009-YS2009_05-neutral,neutral,YS2009,0.2976
YS2009-YS2009_05-accidental,accidental,YS2009,0.625
YS2009-YS2009_05-attempted,attempted,YS2009,0.3218
YS2009-YS2009_05-intentional,intentional,YS2009,0.4667
YS2009-YS2009_06-neutral,neutral,YS2009,0.0115
YS2009-YS2009_06-accidental,accidental,YS2009,0.1481
YS2009-YS2009_06-attempted,attempted,YS2009,0.0345
YS2009-YS2009_06-intentional,intentional,YS2009,0.4
YS2009-YS2009_07-neutral,neutral,YS2009,0.0
YS2009-YS2009_07-accidental,accidental,YS2009,0.6389
YS2009-YS2009_07-attempted,attempted,YS2009,0.0
YS2009-YS2009_07-intentional,intentional,YS2009,0.5897
YS2009-YS2009_08-neutral,neutral,YS2009,0.0
YS2009-YS2009_08-accidental,accidental,YS2009,0.381
YS2009-YS2009_08-attempted,attempted,YS2009,0.0778
YS2009-YS2009_08-intentional,intentional,YS2009,0.7333
YS2009-YS2009_09-neutral,neutral,YS2009,0.0
YS2009-YS2009_09-accidental,accidental,YS2009,0.6
YS2009-YS2009_09-attempted,attempted,YS2009,0.0741
YS2009-YS2009_09-intentional,intentional,YS2009,0.6444
YS2009-YS2009_10-neutral,neutral,YS2009,0.5513
YS2009-YS2009_10-accidental,accidental,YS2009,0.8148
YS2009-YS2009_10-attempted,attempted,YS2009,0.5357
YS2009-YS2009_10-intentional,intentional,YS2009,0.8125
YS2009-YS2009_11-neutral,neutral,YS2009,0.2738
YS2009-YS2009_11-accidental,accidental,YS2009,0.7576
YS2009-YS2009_11-attempted,attempted,YS2009,0.2976
YS2009-YS2009_11-intentional,intentional,YS2009,0.7143
YS2009-YS2009_12-neutral,neutral,YS2009,0.1528
YS2009-YS2009_12-accidental,accidental,YS2009,0.8333
YS2009-YS2009_12-attempted,attempted,YS2009,0.119
YS2009-YS2009_12-intentional,intentional,YS2009,0.75
YS2009-YS2009_13-neutral,neutral,YS2009,0.4444
YS2009-YS2009_13-accidental,accidental,YS2009,0.7
YS2009-YS2009_13-attempted,attempted,YS2009,0.3333
YS2009-YS2009_13-intentional,intentional,YS2009,0.7284
YS2009-YS2009_14-neutral,neutral,YS2009,0.0333
YS2009-YS2009_14-accidental,accidental,YS2009,0.6042
YS2009-YS2009_14-attempted,attempted,YS2009,0.2529
YS2009-YS2009_14-intentional,intentional,YS2009,0.303
YS2009-YS2009_15-neutral,neutral,YS2009,0.0
YS2009-YS2009_15-accidental,accidental,YS2009,0.2667
YS2009-YS2009_15-attempted,attempted,YS2009,0.0222
YS2009-YS2009_15-intentional,intentional,YS2009,0.3333
YS2009-YS2009_16-neutral,neutral,YS2009,0.0111
YS2009-YS2009_16-accidental,accidental,YS2009,0.3788
YS2009-YS2009_16-attempted,attempted,YS2009,0.2
YS2009-YS2009_16-intentional,intentional,YS2009,0.4815
YS2009-YS2009_17-neutral,neutral,YS2009,0.16
YS2009-YS2009_17-accidental,accidental,YS2009,0.1905
YS2009-YS2009_17-attempted,attempted,YS2009,0.1806
YS2009-YS2009_17-intentional,intentional,YS2009,0.4
YS2009-YS2009_18-neutral,neutral,YS2009,0.0
YS2009-YS2009_18-accidental,accidental,YS2009,0.7222
YS2009-YS2009_18-attempted,attempted,YS2009,0.2222
YS2009-YS2009_18-intentional,intentional,YS2009,0.2857
YS2009-YS2009_19-neutral,neutral,YS2009,0.1154
YS2009-YS2009_19-accidental,accidental,YS2009,0.6111
YS2009-YS2009_19-attempted,attempted,YS2009,0.092
YS2009-YS2009_19-intentional,intentional,YS2009,0.2564
YS2009-YS2009_20-neutral,neutral,YS2009,0.0
YS2009-YS2009_20-accidental,accidental,YS2009,1.0
YS2009-YS2009_20-attempted,attempted,YS2009,0.0115
YS2009-YS2009_20-intentional,intentional,YS2009,0.8333
YS2009-YS2009_21-neutral,neutral,YS2009,0.0667
YS2009-YS2009_21-accidental,accidental,YS2009,0.9744
YS2009-YS2009_21-attempted,attempted,YS2009,0.0222
YS2009-YS2009_21-intentional,intentional,YS2009,0.7857
YS2009-YS2009_22-neutral,neutral,YS2009,0.9167
YS2009-YS2009_22-accidental,accidental,YS2009,0.1515
YS2009-YS2009_22-attempted,attempted,YS2009,0.9778
YS2009-YS2009_22-intentional,intentional,YS2009,0.2857
YS2009-YS2009_23-neutral,neutral,YS2009,0.2716
YS2009-YS2009_23-accidental,accidental,YS2009,0.9286
YS2009-YS2009_23-attempted,attempted,YS2009,0.2899
YS2009-YS2009_23-intentional,intentional,YS2009,0.875
YS2009-YS2009_24-neutral,neutral,YS2009,0.2111
YS2009-YS2009_24-accidental,accidental,YS2009,0.7667
YS2009-YS2009_24-attempted,attempted,YS2009,0.1556
YS2009-YS2009_24-intentional,intentional,YS2009,0.7639
YS2011-Allergy-intentional,intentional,YS2011,0.9833
YS2011-Allergy-accidental,accidental,YS2011,0.9483
YS2011-Poison-intentional,intentional,YS2011,0.9944
YS2011-Poison-accidental,accidental,YS2011,0.9167
YS2011-Sibling-intentional,intentional,YS2011,0.7544
YS2011-Sibling-accidental,accidental,YS2011,0.7632
YS2011-Parent-intentional,intentional,YS2011,0.5521
YS2011-Parent-accidental,accidental,YS2011,0.4074
YS2011-Dog-intentional,intentional,YS2011,0.9778
YS2011-Dog-accidental,accidental,YS2011,0.9881
