story_id,condition,source,sampled_norm
YS2008-YS2008_19-intentional,intentional,YS2008,0.5
YS2008-YS2008_20-neutral,neutral,YS2008,0.5
YS2008-YS2008_20-accidental,accidental,YS2008,0.5667
YS2008-YS2008_20-attempted,attempted,YS2008,0.5
YS2008-YS2008_20-intentional,intentional,YS2008,0.5
YS2008-YS2008_21-neutral,neutral,YS2008,0.5
YS2008-YS2008_21-accidental,accidental,YS2008,0.5
YS2008-YS2008_21-attempted,attempted,YS2008,0.5
YS2008-YS2008_21-intentional,intentional,YS2008,0.5
YS2008-YS2008_22-neutral,neutral,YS2008,0.5
YS2008-YS2008_22-accidental,accidental,YS2008,0.5167
YS2008-YS2008_22-attempted,attempted,YS2008,0.5
YS2008-YS2008_22-intentional,intentional,YS2008,0.5833
YS2008-CHAIRLIFT-neutral,neutral,YS2008,0.5
YS2008-CHAIRLIFT-accidental,accidental,YS2008,0.5
YS2008-CHAIRLIFT-attempted,attempted,YS2008,0.5
YS2008-CHAIRLIFT-intentional,intentional,YS2008,0.5
YS2008-YS2008_24-neutral,neutral,YS2008,0.5
YS2008-YS2008_24-accidental,accidental,YS2008,0.5
YS2008-YS2008_24-attempted,attempted,YS2008,0.5
YS2008-YS2008_24-intentional,intentional,YS2008,0.5
YS2008-MALARIA POND-neutral,neutral,YS2008,0.5
YS2008-MALARIA POND-accidental,accidental,YS2008,0.5
YS2008-MALARIA POND-attempted,attempted,YS2008,0.5
YS2008-MALARIA POND-intentional,intentional,YS2008,0.5
YS2008-YS2008_26-neutral,neutral,YS2008,0.5
YS2008-YS2008_26-accidental,accidental,YS2008,0.5
YS2008-YS2008_26-attempted,attempted,YS2008,0.5
YS2008-YS2008_26-intentional,intentional,YS2008,0.5
YS2008-SPINACH-neutral,neutral,YS2008,0.5
YS2008-SPINACH-accidental,accidental,YS2008,0.5833
YS2008-SPINACH-attempted,attempted,YS2008,0.5
YS2008-SPINACH-intentional,intentional,YS2008,0.5333
YS2008-YS2008_28-neutral,neutral,YS2008,0.5
YS2008-YS2008_28-accidental,accidental,YS2008,0.5
YS2008-YS2008_28-attempted,attempted,YS2008,0.5
YS2008-YS2008_28-intentional,intentional,YS2008,0.5
YS2008-ALARM-neutral,neutral,YS2008,0.5
YS2008-ALARM-accidental,accidental,YS2008,0.5
YS2008-ALARM-attempted,attempted,YS2008,0.5
YS2008-ALARM-intentional,intentional,YS2008,0.5833
YS2008-YS2008_30-neutral,neutral,YS2008,0.5
YS2008-YS2008_30-accidental,accidental,YS2008,0.6667
YS2008-YS2008_30-attempted,attempted,YS2008,0.5
YS2008-YS2008_30-intentional,intentional,YS2008,0.6552
YS2008-ZOO-neutral,neutral,YS2008,0.5
YS2008-ZOO-accidental,accidental,YS2008,0.5
YS2008-ZOO-attempted,attempted,YS2008,0.5
YS2008-ZOO-intentional,intentional,YS2008,0.5
YS2008-YS2008_32-neutral,neutral,YS2008,0.5
YS2008-YS2008_32-accidental,accidental,YS2008,0.5
YS2008-YS2008_32-attempted,attempted,YS2008,0.5
YS2008-YS2008_32-intentional,intentional,YS2008,0.5
YS2008-SUSHI-neutral,neutral,YS2008,0.5
YS2008-SUSHI-accidental,accidental,YS2008,0.5
YS2008-SUSHI-attempted,attempted,YS2008,0.5
YS2008-SUSHI-intentional,intentional,YS2008,0.5
YS2008-YS2008_34-neutral,neutral,YS2008,0.5
YS2008-YS2008_34-accidental,accidental,YS2008,0.5
YS2008-YS2008_34-attempted,attempted,YS2008,0.5
YS2008-YS2008_34-intentional,intentional,YS2008,0.5
YS2008-FUMIGATION-neutral,neutral,YS2008,0.5
YS2008-FUMIGATION-accidental,accidental,YS2008,0.5
YS2008-FUMIGATION-attempted,attempted,YS2008,0.5
YS2008-FUMIGATION-intentional,intentional,YS2008,0.5
YS2008-YS2008_36-neutral,neutral,YS2008,0.5
YS2008-YS2008_36-accidental,accidental,YS2008,0.5
YS2008-YS2008_36-attempted,attempted,YS2008,0.5
YS2008-YS2008_36-intentional,intentional,YS2008,0.55
YS2008-BOUNCY BALL-neutral,neutral,YS2008,0.5
YS2008-BOUNCY BALL-accidental,accidental,YS2008,0.4808
YS2008-BOUNCY BALL-attempted,attempted,YS2008,0.5
YS2008-BOUNCY BALL-intentional,intentional,YS2008,0.5417
YS2008-YS2008_38-neutral,neutral,YS2008,0.7833
YS2008-YS2008_38-accidental,accidental,YS2008,0.6667
YS2008-YS2008_38-attempted,attempted,YS2008,0.6667
YS2008-YS2008_38-intentional,intentional,YS2008,0.5577
YS2008-RABIES-neutral,neutral,YS2008,0.5
YS2008-RABIES-accidental,accidental,YS2008,0.5
YS2008-RABIES-attempted,attempted,YS2008,0.5
YS2008-RABIES-intentional,intentional,YS2008,0.5
YS2008-YS2008_40-neutral,neutral,YS2008,0.5
YS2008-YS2008_40-accidental,accidental,YS2008,0.5
YS2008-YS2008_40-attempted,attempted,YS2008,0.5
YS2008-YS2008_40-intentional,intentional,YS2008,0.5
YS2008-TREE HOUSE-neutral,neutral,YS2008,0.5
YS2008-TREE HOUSE-accidental,accidental,YS2008,0.5667
YS2008-TREE HOUSE-attempted,attempted,YS2008,0.5
YS2008-TREE HOUSE-intentional,intentional,YS2008,0.5167
YS2008-YS2008_42-neutral,neutral,YS2008,0.5
YS2008-YS2008_42-accidental,accidental,YS2008,0.5
YS2008-YS2008_42-attempted,attempted,YS2008,0.5
YS2008-YS2008_42-intentional,intentional,YS2008,0.5
YS2008-CPR-neutral,neutral,YS2008,0.5
YS2008-CPR-accidental,accidental,YS2008,0.5
YS2008-CPR-attempted,attempted,YS2008,0.5
YS2008-CPR-intentional,intentional,YS2008,0.5
YS2008-YS2008_44-neutral,neutral,YS2008,0.5
YS2008-YS2008_44-accidental,accidental,YS2008,0.5
YS2008-YS2008_44-attempted,attempted,YS2008,0.5
YS2008-YS2008_44-intentional,intentional,YS2008,0.5
YS2008-SEATBELT-neutral,neutral,YS2008,0.5
YS2008-SEATBELT-accidental,accidental,YS2008,0.5
YS2008-SEATBELT-attempted,attempted,YS2008,0.5
YS2008-SEATBELT-intentional,intentional,YS2008,0.5
YS2008-YS2008_46-neutral,neutral,YS2008,0.5
YS2008-YS2008_46-accidental,accidental,YS2008,0.5
YS2008-YS2008_46-attempted,attempted,YS2008,0.5
YS2008-YS2008_46-intentional,intentional,YS2008,0.5
YS2008-TEENAGERS-neutral,neutral,YS2008,0.5
YS2008-TEENAGERS-accidental,accidental,YS2008,0.5
YS2008-TEENAGERS-attempted,attempted,YS2008,0.5
YS2008-TEENAGERS-intentional,intentional,YS2008,0.5
YS2008-YS2008_48-neutral,neutral,YS2008,0.5
YS2008-YS2008_48-accidental,accidental,YS2008,0.5
YS2008-YS2008_48-attempted,attempted,YS2008,0.5
YS2008-YS2008_48-intentional,intentional,YS2008,0.5
YS2009-YS2009_01-neutral,neutral,YS2009,0.4889
YS2009-YS2009_01-accidental,accidental,YS2009,0.5747
YS2009-YS2009_01-attempted,attempted,YS2009,0.5111
YS2009-YS2009_01-intentional,intentional,YS2009,0.6111
YS2009-YS2009_02-neutral,neutral,YS2009,0.6
YS2009-YS2009_02-accidental,accidental,YS2009,0.5889
YS2009-YS2009_02-attempted,attempted,YS2009,0.5889
YS2009-YS2009_02-intentional,intentional,YS2009,0.6026
YS2009-YS2009_03-neutral,neutral,YS2009,0.5333
YS2009-YS2009_03-accidental,accidental,YS2009,0.6222
YS2009-YS2009_03-attempted,attempted,YS2009,0.5889
YS2009-YS2009_03-intentional,intentional,YS2009,0.6333
YS2009-YS2009_04-neutral,neutral,YS2009,0.5556
YS2009-YS2009_04-accidental,accidental,YS2009,0.6
YS2009-YS2009_04-attempted,attempted,YS2009,0.5889
YS2009-YS2009_04-intentional,intentional,YS2009,0.5952
YS2009-YS2009_05-neutral,neutral,YS2009,0.5444
YS2009-YS2009_05-accidental,accidental,YS2009,0.5303
YS2009-YS2009_05-attempted,attempted,YS2009,0.5667
YS2009-YS2009_05-intentional,intentional,YS2009,0.5667
YS2009-YS2009_06-neutral,neutral,YS2009,0.6
YS2009-YS2009_06-accidental,accidental,YS2009,0.5889
YS2009-YS2009_06-attempted,attempted,YS2009,0.5444
YS2009-YS2009_06-intentional,intentional,YS2009,0.619
YS2009-YS2009_07-neutral,neutral,YS2009,0.6
YS2009-YS2009_07-accidental,accidental,YS2009,0.5667
YS2009-YS2009_07-attempted,attempted,YS2009,0.5667
YS2009-YS2009_07-intentional,intentional,YS2009,0.6111
YS2009-YS2009_08-neutral,neutral,YS2009,0.5111
YS2009-YS2009_08-accidental,accidental,YS2009,0.6111
YS2009-YS2009_08-attempted,attempted,YS2009,0.5222
YS2009-YS2009_08-intentional,intentional,YS2009,0.5679
YS2009-YS2009_09-neutral,neutral,YS2009,0.5556
YS2009-YS2009_09-accidental,accidental,YS2009,0.5667
YS2009-YS2009_09-attempted,attempted,YS2009,0.6667
YS2009-YS2009_09-intentional,intentional,YS2009,0.5667
YS2009-YS2009_10-neutral,neutral,YS2009,0.5222
YS2009-YS2009_10-accidental,accidental,YS2009,0.5667
YS2009-YS2009_10-attempted,attempted,YS2009,0.5222
YS2009-YS2009_10-intentional,intentional,YS2009,0.5632
YS2009-YS2009_11-neutral,neutral,YS2009,0.5778
YS2009-YS2009_11-accidental,accidental,YS2009,0.6
YS2009-YS2009_11-attempted,attempted,YS2009,0.5778
YS2009-YS2009_11-intentional,intentional,YS2009,0.5778
YS2009-YS2009_12-neutral,neutral,YS2009,0.6
YS2009-YS2009_12-accidental,accidental,YS2009,0.6111
YS2009-YS2009_12-attempted,attempted,YS2009,0.6667
YS2009-YS2009_12-intentional,intentional,YS2009,0.6092
YS2009-YS2009_13-neutral,neutral,YS2009,0.5556
YS2009-YS2009_13-accidental,accidental,YS2009,0.5769
YS2009-YS2009_13-attempted,attempted,YS2009,0.6444
YS2009-YS2009_13-intentional,intentional,YS2009,0.6207
YS2009-YS2009_14-neutral,neutral,YS2009,0.6
YS2009-YS2009_14-accidental,accidental,YS2009,0.5287
YS2009-YS2009_14-attempted,attempted,YS2009,0.5778
YS2009-YS2009_14-intentional,intentional,YS2009,0.4691
YS2009-YS2009_15-neutral,neutral,YS2009,0.5444
YS2009-YS2009_15-accidental,accidental,YS2009,0.6222
YS2009-YS2009_15-attempted,attempted,YS2009,0.5333
YS2009-YS2009_15-intentional,intentional,YS2009,0.6333
YS2009-YS2009_16-neutral,neutral,YS2009,0.6111
YS2009-YS2009_16-accidental,accidental,YS2009,0.5444
YS2009-YS2009_16-attempted,attempted,YS2009,0.5778
YS2009-YS2009_16-intentional,intentional,YS2009,0.5444
YS2009-YS2009_17-neutral,neutral,YS2009,0.5333
YS2009-YS2009_17-accidental,accidental,YS2009,0.5556
YS2009-YS2009_17-attempted,attempted,YS2009,0.5444
YS2009-YS2009_17-intentional,intentional,YS2009,0.5444
YS2009-YS2009_18-neutral,neutral,YS2009,0.5444
YS2009-YS2009_18-accidental,accidental,YS2009,0.5556
YS2009-YS2009_18-attempted,attempted,YS2009,0.6
YS2009-YS2009_18-intentional,intentional,YS2009,0.5889
YS2009-YS2009_19-neutral,neutral,YS2009,0.4556
YS2009-YS2009_19-accidental,accidental,YS2009,0.5556
YS2009-YS2009_19-attempted,attempted,YS2009,0.4667
YS2009-YS2009_19-intentional,intentional,YS2009,0.56
YS2009-YS2009_20-neutral,neutral,YS2009,0.5778
YS2009-YS2009_20-accidental,accidental,YS2009,0.619
YS2009-YS2009_20-attempted,attempted,YS2009,0.5889
YS2009-YS2009_20-intentional,intentional,YS2009,0.5747
YS2009-YS2009_21-neutral,neutral,YS2009,0.5556
YS2009-YS2009_21-accidental,accidental,YS2009,0.5889
YS2009-YS2009_21-attempted,attempted,YS2009,0.5222
YS2009-YS2009_21-intentional,intentional,YS2009,0.5679
YS2009-YS2009_22-neutral,neutral,YS2009,0.6667
YS2009-YS2009_22-accidental,accidental,YS2009,0.5333
YS2009-YS2009_22-attempted,attempted,YS2009,0.6667
YS2009-YS2009_22-intentional,intentional,YS2009,0.5778
YS2009-YS2009_23-neutral,neutral,YS2009,0.6
YS2009-YS2009_23-accidental,accidental,YS2009,0.6111
YS2009-YS2009_23-attempted,attempted,YS2009,0.6667
YS2009-YS2009_23-intentional,intentional,YS2009,0.6
YS2009-YS2009_24-neutral,neutral,YS2009,0.5222
YS2009-YS2009_24-accidental,accidental,YS2009,0.5889
YS2009-YS2009_24-attempted,attempted,YS2009,0.5222
YS2009-YS2009_24-intentional,intentional,YS2009,0.5444
YS2011-Allergy-intentional,intentional,YS2011,0.6944
YS2011-Allergy-accidental,accidental,YS2011,0.7222
YS2011-Poison-intentional,intentional,YS2011,0.7944
YS2011-Poison-accidental,accidental,YS2011,0.7333
YS2011-Sibling-intentional,intentional,YS2011,0.6889
YS2011-Sibling-accidental,accidental,YS2011,0.6889
YS2011-Parent-intentional,intentional,YS2011,0.7389
YS2011-Parent-accidental,accidental,YS2011,0.7667
YS2011-Dog-intentional,intentional,YS2011,0.7944
YS2011-Dog-accidental,accidental,YS2011,0.7944
