model,level,level_name,n_templates,n_groups,contrast,contrast_lo,contrast_hi,d_contrast,d_lo,d_hi,b_intent,b_outcome,b_interaction,b0,mean_neutral,mean_accidental,mean_attempted,mean_intentional,rating_std,extreme_frac,n_ratings
unsloth/gemma-2-9b-it,4,few_shot_adult,7,371,-0.33305396170260554,-0.36198785382476617,-0.3043069869410985,0.041755289757412606,0.00928759072794346,0.07233293567620365,0.23193511904761904,0.5649890807502246,-0.16002164195867014,0.05775431547619047,0.05775431547619047,0.6227433962264151,0.2896894345238095,0.694656873315364,0.33472799392418207,0.28331735378715245,2086
unsloth/gemma-2-9b-it,5,intent_principle,7,371,-0.27082514038634325,-0.3043189642370331,-0.2368058095680745,0.10398411107367489,0.0679620947037908,0.13820078191657087,0.23917113095238096,0.5099962713387243,-0.13218002583108723,0.04497380952380953,0.04497380952380953,0.5549700808625337,0.2841449404761905,0.6619611859838275,0.35401860638895943,0.36145733461169705,2086
allenai/Llama-3.1-Tulu-3-8B,1,baseline,7,371,-0.397688244047619,-0.41783530835502797,-0.37767680447017793,0.0,0.0,0.0,0.1666177083333333,0.5643059523809523,-0.1805810506513925,0.14488690476190477,0.14488690476190477,0.7091928571428571,0.3115046130952381,0.6952295148247979,0.2893922631977008,0.02588686481303931,2086
allenai/Llama-3.1-Tulu-3-8B,2,belief_cue,7,371,-0.3354021479110513,-0.3530627901081324,-0.3173864613224062,0.062286096136567715,0.04936047718380209,0.07590925181289244,0.17607544642857142,0.5114775943396227,-0.16292827661725073,0.11334464285714285,0.11334464285714285,0.6248222371967656,0.2894200892857143,0.6379694070080862,0.27443924429222233,0.03211888782358581,2086
allenai/Llama-3.1-Tulu-3-8B,3,worked_example,7,371,-0.25074648191823906,-0.27006676682194625,-0.23310820203130894,0.14694176212937993,0.12854019762698338,0.16454770024401544,0.1420828869047619,0.39282936882300096,-0.12418221305031456,0.09117440476190476,0.09117440476190476,0.4840037735849057,0.23325729166666664,0.501904447439353,0.2250557444629599,0.03595397890699904,2086
allenai/Llama-3.1-Tulu-3-8B,4,few_shot_adult,7,371,-0.4096794025157233,-0.43105088330868696,-0.3887669113708618,-0.011991158468104335,-0.029710502239286438,0.00610308420954647,0.16333645833333338,0.5730158608490568,-0.1874604475516624,0.10855044642857142,0.10855044642857142,0.6815663072776281,0.2718869047619048,0.6574423180592991,0.2859670399097228,0.019654841802492808,2086
allenai/Llama-3.1-Tulu-3-8B,5,intent_principle,7,371,-0.3368596978885894,-0.35611518629494354,-0.3182640618862065,0.060828546159029606,0.042367641442072945,0.07863856848280823,0.16790238095238097,0.5047620788409704,-0.1508127583108716,0.09186339285714286,0.09186339285714286,0.5966254716981132,0.2597657738095238,0.6137150943396226,0.2596409246996589,0.022531160115052733,2086
HuggingFaceH4/zephyr-7b-beta,1,baseline,7,371,-0.5515822214734951,-0.5871387536114568,-0.5165426843001114,0.0,0.0,0.0,0.08263660714285714,0.6342188286163523,-0.0800759602425877,0.0633032738095238,0.0633032738095238,0.6975221024258761,0.14593988095238095,0.7000827493261456,0.3878440062676538,0.39069990412272293,2086
HuggingFaceH4/zephyr-7b-beta,2,belief_cue,7,371,-0.4871052616801437,-0.5164608863088811,-0.4587140616297234,0.06447695979335144,0.04027588990300143,0.08770837495207078,0.11312232142857144,0.6002275831087152,-0.08667420822102422,0.03848333333333333,0.03848333333333333,0.6387109164420485,0.15160565476190477,0.6651590296495957,0.3469756316365338,0.33221476510067116,2086
HuggingFaceH4/zephyr-7b-beta,3,worked_example,7,371,-0.28788085130278535,-0.30848397208187167,-0.26759393686041294,0.26370137017070977,0.23466960691900723,0.29362007280241414,0.09434077380952378,0.3822216251123091,-0.062237943620844574,0.08410505952380952,0.08410505952380952,0.46632668463611865,0.1784458333333333,0.49842951482479786,0.26779869804207324,0.23825503355704697,2086
HuggingFaceH4/zephyr-7b-beta,4,few_shot_adult,7,371,-0.28098545316711593,-0.29965397033560404,-0.2623126391656634,0.2705967683063792,0.234351521091572,0.3081029597672112,0.014295684523809526,0.29528113769092545,0.025471566150044936,0.03968422619047619,0.03968422619047619,0.33496536388140163,0.05397991071428572,0.3747326145552561,0.2160493912921803,0.14956855225311602,2086
HuggingFaceH4/zephyr-7b-beta,5,intent_principle,7,371,-0.3366281643081761,-0.3568845412344915,-0.3162904674277898,0.214954057165319,0.1803271654136764,0.2505892069869277,0.10487574404761905,0.4415039083557951,-0.012714558063791525,0.02062857142857143,0.02062857142857143,0.46213247978436656,0.12550431547619048,0.554293665768194,0.27542710450354796,0.3044103547459252,2086
mistralai/Mistral-7B-Instruct-v0.3,1,baseline,7,371,-0.4603357030548068,-0.4809855099514154,-0.4386120545137437,0.0,0.0,0.0,0.1269029761904762,0.5872386792452831,-0.1345835691823899,0.17520714285714284,0.17520714285714284,0.7624458221024258,0.30211011904761903,0.7547652291105121,0.3357086311252296,0.13662511984659637,2086
mistralai/Mistral-7B-Instruct-v0.3,2,belief_cue,7,371,-0.44182612309074565,-0.46365357916055583,-0.4179425615130728,0.018509579964061162,0.004085937162941432,0.03223048496553429,0.17024345238095237,0.612069575471698,-0.1358365790655883,0.11039107142857144,0.11039107142857144,0.7224606469002695,0.2806345238095238,0.7568675202156335,0.3416074979561572,0.19463087248322147,2086
mistralai/Mistral-7B-Instruct-v0.3,3,worked_example,7,371,-0.2658421889038634,-0.2822728052658142,-0.2491379390448226,0.1944935141509434,0.17226383675040735,0.2160028309472728,0.07538110119047622,0.3412232900943396,-0.06022153245732256,0.1509888392857143,0.1509888392857143,0.49221212938005393,0.22636994047619052,0.5073716981132076,0.2640695853691493,0.09491850431447747,2086
mistralai/Mistral-7B-Instruct-v0.3,4,few_shot_adult,7,371,-0.4264084372192273,-0.4429939783924455,-0.4081983755194295,0.033927265835579534,0.013446897782479606,0.054347127145226014,0.11961160714285712,0.5460200443620844,-0.10942629716981125,0.10814181547619048,0.10814181547619048,0.6541618598382749,0.2277534226190476,0.6643471698113208,0.2776049490247585,0.04985618408437201,2086
mistralai/Mistral-7B-Instruct-v0.3,5,intent_principle,7,371,-0.3986569575471698,-0.418319342538388,-0.37779566102187484,0.06167874550763702,0.03769465885732866,0.08550597839000616,0.16991666666666666,0.5685736242138365,-0.12089321653189573,0.06583958333333333,0.06583958333333333,0.6344132075471698,0.23575625,0.6834366576819407,0.29712202369199303,0.14093959731543623,2086
